en,Single_ent,Multiple_ents,en_masked,token_count
"On my way home from work, I detoured through the park, which I never did, but the weather was perfect. And I was wearing a floppy-brimmed hat, which I never had, but Mom mailed it to me the week before, and I felt like I owed it to her to at least try it out. I was reading as I walked—which I’d vowed to stop doing because I’d nearly caused a bike accident doing so weeks earlier—when suddenly, a warm breeze caught the hat’s brim. It lifted off my head and swooped over an azalea bush. Right to a tall, handsome blond man’s feet.",,[],,130
"If it was fate, then it’s reasonable to assume fate a little bit hates me, because when he bent to retrieve the hat, another gust swept it into the air, and I chased after it right into a trash can.",,[],,46
"He came up with a compromise: I’d furnish the place, add piecemeal to the assortment of furniture we’d brought from Richmond, while he covered the bills.",,[],,35
"He walked me to the couch and sat me down. Then, as far as I could figure, a couple of tectonic plates must have smashed together, because the whole world lurched, and my ears started ringing so loudly I could only catch bits of what he was saying. None of it could be right. It didn’t make sense.",,[],,69
"No. No, he didn’t cheat on me? No, he simply confessed his love to someone who was not me? I was trying to jam the pieces of the puzzle together, but nothing fit. Every sentence he said was incompatible with the last.",,[],,51
"I shoved him away, and his eyes widened in shock for just a second. Then he nodded, somberly, and headed for the door, totally empty-handed. Like he had everything he needed and not a lick of it was in this house.",,[],,51
"It was the only time I’d seen her cry. She was my best friend and favorite person in the world, but she wasn’t a soft woman. I’d always thought of her as completely invulnerable.",,[],,43
"There was no point clinging to something that wasn’t really yours. Mom was the only permanent thing in my life, the only thing that mattered.",,[],,30
"Still, a chorus of ridiculous little voices rises as I approach, cries of “Miss Daffy!” and other adorable mispronunciations of my name. In my heart, it feels like little kernels are bursting into fluffy blossoms of popcorn.",,[],,49
"Through laughter, he bumps me aside, clumsily swiping the key from my hand to make his own attempt. “Shit!” he says as it glances off the lock.",,[],,38
"He flinches. I’m not sure at which part, but something I said definitely shifted his mood a bit. “They’re also rich,” he says. “Ninety dollars is nothing to them, and at least this way, they have to spend the next few months worrying that we’ll show up and ruin their big day.”",,[],,69
"The fast-forward doesn’t help. I remember falling into bed, exhausted, only to realize I couldn’t sleep, because I was also a little bit turned on.",,[],,33
"The next silence extends too long. I’m incapable of breaking it, because the only thing I can think to say is, I don’t know why I said that—it’s an outright lie, but I also cannot. Cannot tell him that.",,[],,49
My jaw drops. Is he really insinuating that my fake relationship won’t survive three months to his wedding . . . when his relationship started just over a month ago?,,[],,34
"He laughs into another huge bite of his sandwich, which reminds me to eat mine. “We’re not going to their wedding as a fake couple,” I say.",,[],,33
"“I want to get out,” she says. “I want to look hot in public and drink alcohol and talk about something other than Dungeons & Dragons.”",,[],,31
"We pause in front of the entrance to the hallway, where Miles’s room, the bathroom, and my room are tucked off of the living room. “Cute place,” she says.",,[],,37
"“What?” I pass through the doorway and see her not on the right, in my room, but to the left, in Miles’s. She’s wandering through it like it’s a museum, moving from the snowboard and battered hockey sticks in the corner to the plants and incense holders in the windowsill.",,[],,61
"A Relationship Guy, who craved the bond his parents had. Who liked routine, and texted back in a reasonable amount of time and shared his calendar with me.",,[],,34
"A smell like burning cedar wafts toward us as we enter the dimly lit room. A sleek modern bar runs along the left wall, the wall behind it entirely smoked glass, massive wine casks stacked behind it and softly glowing in golden light. The other three walls are likewise glass, but these look out over the vineyards, a narrow wooden counter mounted along them so people can watch the sunset while they sip. High-tops are arranged in the middle of the room, and in the windowed wall opposite the bar, a huge slate fireplace reaches toward the vaulted ceiling, flames crackling and leaping within it.",,[],,124
"Despite his somewhat threadbare and hole-ridden T-shirt and work pants, he looks completely at home here, the warm glow behind the bar casting him in more of an artisanal light than a burned-out one.",,[],,43
"I didn’t tell anyone at work about the breakup, per se. But when you have three weeks scheduled off work for a honeymoon, then unceremoniously cancel the request, people talk.",,[],,39
"“Things go smoother if you don’t let people get a rise out of you,” he says. “If you give them control over how you feel, they’ll always use it.”",,[],,37
"He smiles, but his jaw is tight, and the smile doesn’t reach his eyes. “It’s not cynical. If you don’t give other people responsibility for your feelings, you can have a decent relationship with most of them.”",,[],,47
“That tiny little beach all the fudgies go to?” he says. “With the teal Adirondack chairs? That sand’s probably not even local. Bet it’s trucked in from Florida.”,,[],,39
“Cherry Hill must be close behind it.” I release my grip on him as I hop to the far side of the log. “That place was packed.”,,[],,32
"We fall back into step. The earth goes sandy as we climb. The trees thin, until suddenly we reach the crest and we’re overlooking the steep slope of a dune. At its foot, the dark lake rolls in on the sand, and across the expanse of beach, several bonfires blaze in the dark, several tents ringed around the most distant.",,[],,73
"There was a time when I was okay at making friends. But that was probably four or five relocations back. Eventually, it didn’t seem worth it anymore, cracking myself open to let someone in, only to have them violently extracted months later when Mom got transferred again.",,[],,55
"His smile unzips slowly, from one side of his mouth. After a long moment, he leans forward and presses a kiss to my temple. “Thank you,” he says, arms tightening around me.",,[],,43
"(When they got to his house after dinner, he made her sit with him in the car for twenty unspeaking minutes while the Phish album he’d put on finished playing, then did the exact same thing after he drove her home.)",,[],,49
"“Yeah, I’ve hit my limit on daily X-rated flower metaphors, so that’s the one thing I can’t help you with,” I tell him.",,[],,33
"He shrugs. “I’ll try again on Monday. Actually, I was on my way in to Cherry Hill and I just wanted to double-check we’re still on for tomorrow. Would’ve texted, but I forgot my phone at home.”",,[],,50
"“Since it’s not 1998,” he says, “no, I don’t have her on speed dial. But we text whenever she’s got something special in.”",,[],,35
"His tongue slips into my mouth, experimentally, and then a little deeper, tangling with mine. A thrill shoots down the front of my rib cage as he turns us one hundred and eighty degrees, backing me into the side of the driver’s seat, settling his hips in against mine.",,[],,58
"Neither of us broaches the kiss, and I genuinely can’t tell whether he’s had a single thought about it since we left the lavender farm. Every time I zone out, though, a snippet replays in my mind, my skin warming from the memory.",,[],,53
"I forge on: “Like I said, you don’t owe me any explanation. He just brought it up to be a jerk, and it’s none of my business.”",,[],,35
"“Are you kidding?” I say. “My mom and I used to play this game we called Whiny Babies. We’d just take turns complaining about smaller and stupider things until we ran out. Like, the girl I sat next to in English lit chewed her pencil really loudly. Whoever had the smallest complaint got to choose dinner.”",,[],,69
"“I guess all families are complicated, one way or another.” I think of my empty driveway, of standing barefoot on the floor vent, letting the heat billow through my pajamas as I watched the window and waited. To be worth it, to be chosen.",,[],,52
"I cast my mind back, to before grad school, before undergrad even, all the way to the first moment I remember loving a story. Feeling like I was living it. Being, even as a child, bowled over by how something imaginary could become real, could wring every emotion from me or make me homesick for places I’d never been.",,[],,73
"Instead my hands scrape up his arms. They feel amazing. Not gym arms, just arms that get a fair amount of daily use. For such a scruffy man, his skin is smooth, the hairs on his forearms fine and soft. My fingers instinctively follow the ridges of his veins up to his biceps, the anchor tattoo on one and the old-school bird on the other. I follow the curve of his shoulders, carried by an unstoppable current.",,[],,94
"But we’re not stopping either. His hand sails up from my hip bone, his fingertips catching the bottom edge of my breast. He keeps kissing me, his fingers teasing the curve but not going higher.",,[],,41
"I cry out from want. His cool hands climb my feverish skin under my shirt, his touch almost painfully light as his tongue moves over me more urgently. His hands slide down to squeeze my waist and he draws back, cold air stinging my skin. “You’re so sexy,” he rasps. Heat flushes from my hairline down to my thighs.",,[],,74
"He sits up and pulls me snug against him, kissing me fiercely, the way we kissed in the parking lot except with so much more touching, groping, gasping, more privacy, more skin, more everything. Every piece of him feels so good, so inviting.",,[],,56
"He laughs. My abdomen feels like one of those water wiggler toys, the glitter and liquid inside bubbling furiously to the top as it flips. I’m sure I’m blushing.",,[],,39
"I still make it home before them and have just finished putting everything away when two very loud voices move down the hallway, and the door swings open.",,[],,30
"She narrows her gaze on me. Then she straightens, lips pursing sourly as she considers me, like I’m a particularly tricky poker opponent. But I’m not. I’m terrible at lying, except when that one unhinged demon possessed me to make up a whole-ass boyfriend.",,[],,61
"“I already did!” I cry, running past both of them to the far side of the counter. “I like the beard! It’s grown on me!”",,[],,32
"She keeps up a steady line of questions that he parries swiftly about each other’s jobs (finance and theme park management, respectively) and each other’s pets (three cats, two German shepherds) from the register to the transport van to the boat launch.",,[],,53
