Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['caroline beaufort', 'caroline', 'beaufort']",abraham lincoln,0,0.43,incorrect,abraham,0,0.27,incorrect,job,0,0.2,incorrect,god,0,0.18,incorrect,joseph,0,0.29,incorrect,adam,0,0.19,incorrect,madame defarge,0,0.39,incorrect,heidi,0,0.15,incorrect,job,0,0.2,incorrect,adama,0,0.18,incorrect,job,0,0.2,incorrect,abraham,0,0.27,incorrect,god,0,0.18,incorrect,adam,0,0.19,incorrect,heidi,0,0.15,incorrect,adama,0,0.18,incorrect,agnes,0,0.46,incorrect,madame defarge,0,0.39,incorrect,oliver twist,0,0.41,incorrect,hasir kizi,0,0.33,incorrect,nguyen,0,0.29,incorrect,ngo tat to,0,0.3,incorrect,ella,0,0.33,incorrect,maria,0,0.46,incorrect,madame defarge,0,0.39,incorrect,hasir kizi,0,0.33,incorrect,ngo tat to,0,0.3,incorrect,maria,0,0.46,incorrect
['elizabeth'],victor frankenstein,0,0.29,incorrect,frankenstein,0,0.29,incorrect,elizabeth,1,1.0,correct,frankenstein,0,0.29,incorrect,god,0,0.0,incorrect,victor frankenstein,0,0.29,incorrect,elizabeth bennet,0,0.72,correct,hamlet,0,0.4,incorrect,elizabeth,1,1.0,correct,victor frankenstein,0,0.29,incorrect,frankenstein,0,0.29,incorrect,frankenstein,0,0.29,incorrect,frankenstein,0,0.29,incorrect,victor frankenstein,0,0.29,incorrect,hamlet,0,0.4,incorrect,victor frankenstein,0,0.29,incorrect,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,victor,0,0.27,incorrect,elizabeth,1,1.0,correct,victor,0,0.27,incorrect,mi padre,0,0.35,incorrect,frankenstein,0,0.29,incorrect,elizabeth,1,1.0,correct,victor,0,0.27,incorrect,victor,0,0.27,incorrect,frankenstein,0,0.29,incorrect
"['señor', 'señor krempe', 'm', 'hoạ', 'krempe', 'hủy', 'thần hủy hoạ', 'thần']",frankenstein,0,0.35,incorrect,jesus,0,0.25,incorrect,eden,0,0.44,incorrect,god,0,0.33,incorrect,adam,0,0.4,incorrect,job,0,0.33,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,nigeria,0,0.33,incorrect,god,0,0.33,incorrect,jesus,0,0.25,incorrect,god,0,0.33,incorrect,job,0,0.33,incorrect,frankenstein,0,0.35,incorrect,nigeria,0,0.33,incorrect,dante,0,0.44,incorrect,frankenstein,0,0.35,incorrect,victor frankenstein,0,0.39,incorrect,frankenstein,0,0.35,incorrect,victor frankenstein,0,0.39,incorrect,frankenstein,0,0.35,incorrect,dios,0,0.29,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect
"['profesör', 'm', 'profesör waldman', 'waldman']",heathcliff,0,0.24,incorrect,abraham,0,0.29,incorrect,leser,0,0.46,incorrect,leser,0,0.46,incorrect,abraham,0,0.29,incorrect,abraham,0,0.29,incorrect,heathcliff,0,0.24,incorrect,heathcliff,0,0.24,incorrect,heathcliff,0,0.24,incorrect,toy,0,0.18,incorrect,abel,0,0.36,incorrect,abraham,0,0.29,incorrect,leser,0,0.46,incorrect,abraham,0,0.29,incorrect,heathcliff,0,0.24,incorrect,toy,0,0.18,incorrect,elizabeth,0,0.25,incorrect,byron,0,0.31,incorrect,bayan,0,0.5,incorrect,ali,0,0.4,incorrect,elizabeth,0,0.25,incorrect,victor,0,0.29,incorrect,edmundo,0,0.43,incorrect,sancho,0,0.31,incorrect,byron,0,0.31,incorrect,ali,0,0.4,incorrect,victor,0,0.29,incorrect,sancho,0,0.31,incorrect
"['krempe', 'señor krempe', 'm', 'señor']",job,0,0.25,incorrect,abraham,0,0.31,incorrect,job,0,0.25,incorrect,abraham,0,0.31,incorrect,heathcliff,0,0.13,incorrect,abraham,0,0.31,incorrect,heathcliff,0,0.13,incorrect,frankenstein,0,0.35,incorrect,edgar allan poe,0,0.37,incorrect,adam,0,0.4,incorrect,jesus,0,0.2,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,frankenstein,0,0.35,incorrect,adam,0,0.4,incorrect,henry,0,0.6,incorrect,heathcliff,0,0.13,incorrect,heathcliff,0,0.13,incorrect,heathcliff,0,0.13,incorrect,heathcliff,0,0.13,incorrect,dong,0,0.22,incorrect,heathcliff,0,0.13,incorrect,edgar,0,0.4,incorrect,heathcliff,0,0.13,incorrect,heathcliff,0,0.13,incorrect,dong,0,0.22,incorrect,edgar,0,0.4,incorrect
['dante'],job,0,0.0,incorrect,job,0,0.0,incorrect,god,0,0.25,incorrect,paul,0,0.22,incorrect,job,0,0.0,incorrect,abraham,0,0.17,incorrect,edgar allan poe,0,0.4,incorrect,frankenstein,0,0.47,incorrect,god,0,0.25,incorrect,adam,0,0.44,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect,paul,0,0.22,incorrect,abraham,0,0.17,incorrect,frankenstein,0,0.47,incorrect,adam,0,0.44,incorrect,henry clerval,0,0.22,incorrect,frankenstein,0,0.47,incorrect,victor,0,0.18,incorrect,frankenstein,0,0.47,incorrect,victor,0,0.18,incorrect,frankenstein,0,0.47,incorrect,henry clerval,0,0.22,incorrect,frankenstein,0,0.47,incorrect,frankenstein,0,0.47,incorrect,frankenstein,0,0.47,incorrect,frankenstein,0,0.47,incorrect,frankenstein,0,0.47,incorrect
"['frankenstein', 'clerval']",god,0,0.0,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.29,incorrect,heathcliff,0,0.35,incorrect,heathcliff,0,0.35,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,ke,0,0.29,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.29,incorrect,heathcliff,0,0.35,incorrect,god,0,0.0,incorrect,elizabeth,0,0.29,incorrect,heathcliff,0,0.35,incorrect,bayan fairfax,0,0.24,incorrect,tanri,0,0.35,incorrect,phileas,0,0.43,incorrect,thay,0,0.18,incorrect,enrique,0,0.32,incorrect,heathcliff,0,0.35,incorrect,heathcliff,0,0.35,incorrect,tanri,0,0.35,incorrect,thay,0,0.18,incorrect,heathcliff,0,0.35,incorrect
['clerval'],oliver twist,0,0.32,incorrect,abraham,0,0.29,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.29,incorrect,nahea,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,adama,0,0.17,incorrect,god,0,0.0,incorrect,abraham,0,0.29,incorrect,god,0,0.0,incorrect,nahea,0,0.33,incorrect,god,0,0.0,incorrect,adama,0,0.17,incorrect,elizabeth,0,0.25,incorrect,god,0,0.0,incorrect,emma,0,0.36,incorrect,yucel,0,0.5,incorrect,phileas,0,0.43,incorrect,duc,0,0.2,incorrect,senor,0,0.33,incorrect,adan,0,0.18,incorrect,god,0,0.0,incorrect,yucel,0,0.5,incorrect,duc,0,0.2,incorrect,adan,0,0.18,incorrect
['henry'],goethe,0,0.36,incorrect,latin,0,0.2,incorrect,carl jung,0,0.14,incorrect,aristotle,0,0.14,incorrect,alexander,0,0.43,incorrect,alexander,0,0.43,incorrect,hafiz,0,0.2,incorrect,edward,0,0.36,incorrect,goethe,0,0.36,incorrect,aristotle,0,0.14,incorrect,aristotle,0,0.14,incorrect,latin,0,0.2,incorrect,aristotle,0,0.14,incorrect,alexander,0,0.43,incorrect,edward,0,0.36,incorrect,aristotle,0,0.14,incorrect,victor,0,0.18,incorrect,goethe,0,0.36,incorrect,edward,0,0.36,incorrect,goethe,0,0.36,incorrect,emerson,0,0.33,incorrect,dong,0,0.22,incorrect,byron,0,0.2,incorrect,homero,0,0.55,incorrect,goethe,0,0.36,incorrect,goethe,0,0.36,incorrect,dong,0,0.22,incorrect,homero,0,0.55,incorrect
"['clerval', 'querido', 'querido clerval']",geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,paul,0,0.36,incorrect,geneva,0,0.46,incorrect,frankenstein,0,0.21,incorrect,wordsworth,0,0.35,incorrect,robinson crusoe,0,0.4,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,wordsworth,0,0.35,incorrect,geneva,0,0.46,incorrect,henry clerval,0,0.71,correct,geneva,0,0.46,incorrect,elizabeth,0,0.25,incorrect,cenevre,0,0.43,incorrect,elizabeth,0,0.25,incorrect,geneva,0,0.46,incorrect,henry,0,0.33,incorrect,frankenstein,0,0.21,incorrect,geneva,0,0.46,incorrect,cenevre,0,0.43,incorrect,geneva,0,0.46,incorrect,frankenstein,0,0.21,incorrect
