Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['moses', 'moisés', 'musa']",god,0,0.25,incorrect,job,0,0.25,incorrect,jesus,0,0.44,incorrect,abraham,0,0.18,incorrect,adam,0,0.25,incorrect,abraham,0,0.18,incorrect,snuff,0,0.22,incorrect,god,0,0.25,incorrect,snuff,0,0.22,incorrect,midina,0,0.4,incorrect,god,0,0.25,incorrect,job,0,0.25,incorrect,abraham,0,0.18,incorrect,abraham,0,0.18,incorrect,god,0,0.25,incorrect,midina,0,0.4,incorrect,tom,0,0.29,incorrect,widow,0,0.2,incorrect,nuh,0,0.29,incorrect,nuh,0,0.29,incorrect,khong tu,0,0.17,incorrect,dong,0,0.22,incorrect,sancho,0,0.4,incorrect,rape,0,0.25,incorrect,widow,0,0.2,incorrect,nuh,0,0.29,incorrect,dong,0,0.22,incorrect,rape,0,0.25,incorrect
"['tom sawyer', 'tom', 'sawyer']",david,0,0.18,incorrect,david,0,0.18,incorrect,jesus,0,0.18,incorrect,god,0,0.33,incorrect,jesus,0,0.18,incorrect,abraham,0,0.31,incorrect,orpheus,0,0.24,incorrect,godot,0,0.25,incorrect,jerusalem,0,0.4,incorrect,adam,0,0.29,incorrect,joale,0,0.4,incorrect,david,0,0.18,incorrect,god,0,0.33,incorrect,abraham,0,0.31,incorrect,godot,0,0.25,incorrect,adam,0,0.29,incorrect,tom,1,1.0,correct,emily,0,0.27,incorrect,charlie,0,0.31,incorrect,orpheus,0,0.24,incorrect,duc,0,0.0,incorrect,dan,0,0.22,incorrect,el,0,0.25,incorrect,orfeo,0,0.27,incorrect,emily,0,0.27,incorrect,orpheus,0,0.24,incorrect,dan,0,0.22,incorrect,orfeo,0,0.27,incorrect
"['bayan', 'bayan watson', 'watson']",job,0,0.25,incorrect,whippoorwill,0,0.22,incorrect,edgar allan poe,0,0.37,incorrect,job,0,0.25,incorrect,heathcliff,0,0.25,incorrect,abraham,0,0.5,incorrect,heathcliff,0,0.25,incorrect,macbeth,0,0.31,incorrect,ichabod,0,0.31,incorrect,ramatoakely,0,0.35,incorrect,esther,0,0.17,incorrect,whippoorwill,0,0.22,incorrect,job,0,0.25,incorrect,abraham,0,0.5,incorrect,macbeth,0,0.31,incorrect,ramatoakely,0,0.35,incorrect,miss watson,0,0.71,correct,huck,0,0.0,incorrect,heathcliff,0,0.25,incorrect,heathcliff,0,0.25,incorrect,emily,0,0.2,incorrect,dong,0,0.4,incorrect,miss watson,0,0.71,correct,emily,0,0.2,incorrect,huck,0,0.0,incorrect,heathcliff,0,0.25,incorrect,dong,0,0.4,incorrect,emily,0,0.2,incorrect
"['tom sawyer', 'tom', 'sawyer']",tom,1,1.0,correct,tom,1,1.0,correct,god,0,0.33,incorrect,yo-yo,0,0.27,incorrect,corrie,0,0.25,incorrect,corrie,0,0.25,incorrect,tom,1,1.0,correct,macbeth,0,0.35,incorrect,tom sawyer,1,1.0,correct,jack,0,0.2,incorrect,alice,0,0.36,incorrect,tom,1,1.0,correct,yo-yo,0,0.27,incorrect,corrie,0,0.25,incorrect,macbeth,0,0.35,incorrect,jack,0,0.2,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,kardesim,0,0.29,incorrect,bayan,0,0.36,incorrect,duc,0,0.0,incorrect,dong,0,0.29,incorrect,tom,1,1.0,correct,emily,0,0.27,incorrect,tom,1,1.0,correct,bayan,0,0.36,incorrect,dong,0,0.29,incorrect,emily,0,0.27,incorrect
['tom'],orunmila,0,0.36,incorrect,abraham,0,0.2,incorrect,moses,0,0.25,incorrect,samuel,0,0.22,incorrect,theseus,0,0.2,incorrect,abraham,0,0.2,incorrect,tom sawyer,0,0.46,incorrect,david,0,0.0,incorrect,moses,0,0.25,incorrect,noah,0,0.29,incorrect,job,0,0.33,incorrect,abraham,0,0.2,incorrect,samuel,0,0.22,incorrect,abraham,0,0.2,incorrect,david,0,0.0,incorrect,noah,0,0.29,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,tom,1,1.0,correct,ali baba,0,0.0,incorrect,duc,0,0.0,incorrect,dat,0,0.33,incorrect,tom,1,1.0,correct,ali baba,0,0.0,incorrect,tom,1,1.0,correct,ali baba,0,0.0,incorrect,dat,0,0.33,incorrect,ali baba,0,0.0,incorrect
['tom'],robinson crusoe,0,0.11,incorrect,abraham,0,0.2,incorrect,moses,0,0.25,incorrect,abel,0,0.0,incorrect,abraham,0,0.2,incorrect,abraham,0,0.2,incorrect,robinson crusoe,0,0.11,incorrect,macduff,0,0.2,incorrect,moses,0,0.25,incorrect,esther,0,0.22,incorrect,abel,0,0.0,incorrect,abraham,0,0.2,incorrect,abel,0,0.0,incorrect,abraham,0,0.2,incorrect,macduff,0,0.2,incorrect,esther,0,0.22,incorrect,tom,1,1.0,correct,harry,0,0.0,incorrect,pip,0,0.0,incorrect,hac,0,0.0,incorrect,tom,1,1.0,correct,dua,0,0.0,incorrect,pip,0,0.0,incorrect,abraham,0,0.2,incorrect,harry,0,0.0,incorrect,hac,0,0.0,incorrect,dua,0,0.0,incorrect,abraham,0,0.2,incorrect
['tom'],samson,0,0.22,incorrect,jesus,0,0.0,incorrect,robinson crusoe,0,0.11,incorrect,robinson crusoe,0,0.11,incorrect,adam,0,0.29,incorrect,abraham,0,0.2,incorrect,defoe,0,0.25,incorrect,robinson crusoe,0,0.11,incorrect,robinson crusoe,0,0.11,incorrect,moise,0,0.25,incorrect,robinson crusoe,0,0.11,incorrect,jesus,0,0.0,incorrect,robinson crusoe,0,0.11,incorrect,abraham,0,0.2,incorrect,robinson crusoe,0,0.11,incorrect,moise,0,0.25,incorrect,tom,1,1.0,correct,robinson crusoe,0,0.11,incorrect,robert louis stevenson,0,0.16,incorrect,defoe,0,0.25,incorrect,tom,1,1.0,correct,duc,0,0.0,incorrect,tom,1,1.0,correct,long john silver,0,0.11,incorrect,robinson crusoe,0,0.11,incorrect,defoe,0,0.25,incorrect,duc,0,0.0,incorrect,long john silver,0,0.11,incorrect
"['tom sawyer', 'tom', 'sawyer']",robin hood,0,0.2,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,jonah,0,0.27,incorrect,jonah,0,0.27,incorrect,robin hood,0,0.2,incorrect,robin hood,0,0.2,incorrect,herodote,0,0.29,incorrect,god,0,0.33,incorrect,samson,0,0.33,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,jonah,0,0.27,incorrect,robin hood,0,0.2,incorrect,god,0,0.33,incorrect,tom,1,1.0,correct,alfred noyes,0,0.33,incorrect,robin hood,0,0.2,incorrect,robin hood,0,0.2,incorrect,dien,0,0.2,incorrect,duc,0,0.0,incorrect,tom,1,1.0,correct,salteadores,0,0.47,incorrect,alfred noyes,0,0.33,incorrect,robin hood,0,0.2,incorrect,duc,0,0.0,incorrect,salteadores,0,0.47,incorrect
"['barnes', 'tommy', 'tommy barnes']",oliver twist,0,0.25,incorrect,abraham,0,0.31,incorrect,esau,0,0.4,incorrect,god,0,0.25,incorrect,lazarus,0,0.46,incorrect,adam,0,0.22,incorrect,oliver,0,0.22,incorrect,robin hood,0,0.27,incorrect,jonah,0,0.24,incorrect,noah,0,0.25,incorrect,joseph,0,0.22,incorrect,abraham,0,0.31,incorrect,god,0,0.25,incorrect,adam,0,0.22,incorrect,robin hood,0,0.27,incorrect,noah,0,0.25,incorrect,tom,0,0.75,correct,little boy,0,0.4,incorrect,tom,0,0.75,correct,robin hood,0,0.27,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,nino,0,0.22,incorrect,papa,0,0.2,incorrect,little boy,0,0.4,incorrect,robin hood,0,0.27,incorrect,duc,0,0.0,incorrect,papa,0,0.2,incorrect
['tom'],abraham,0,0.2,incorrect,abraham,0,0.2,incorrect,judas,0,0.0,incorrect,abraham,0,0.2,incorrect,noah,0,0.29,incorrect,abraham,0,0.2,incorrect,tom sawyer,0,0.46,incorrect,robert,0,0.22,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,yaba soma,0,0.33,incorrect,abraham,0,0.2,incorrect,abraham,0,0.2,incorrect,abraham,0,0.2,incorrect,robert,0,0.22,incorrect,god,0,0.33,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,tom,1,1.0,correct,herkes,0,0.0,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,tom,1,1.0,correct,herkes,0,0.0,incorrect,duc,0,0.0,incorrect,tom,1,1.0,correct
