Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",robinson crusoe,0,0.3,incorrect,robinson crusoe,0,0.3,incorrect,paul,0,0.44,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,aliya izzetbegovic,0,0.35,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,ali,0,0.75,correct,inci,0,0.6,incorrect,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,inci,0,0.6,incorrect,thuy kieu,0,0.29,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",humpty dumpty,0,0.0,incorrect,pinocchio,0,0.4,incorrect,heathcliff,0,0.4,incorrect,oliver twist,0,0.35,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,charlie,0,0.67,incorrect,insan,0,0.36,incorrect,alice,1,1.0,correct,dong,0,0.0,incorrect,alicia,1,1.0,correct,maria,0,0.55,incorrect,alice,1,1.0,correct,insan,0,0.36,incorrect,dong,0,0.0,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,jack,0,0.44,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,dong,0,0.0,incorrect,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,dong,0,0.0,incorrect,alicia,1,1.0,correct
"['alicia', 'alice']",god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,emily,0,0.2,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,alice,1,1.0,correct,gulliver,0,0.46,incorrect,alice,1,1.0,correct,goldilocks,0,0.4,incorrect,alicia,1,1.0,correct,al,0,0.57,incorrect,emily,0,0.2,incorrect,gulliver,0,0.46,incorrect,goldilocks,0,0.4,incorrect,al,0,0.57,incorrect
['dodo'],oliver twist,0,0.12,incorrect,abraham lincoln,0,0.11,incorrect,abraham,0,0.0,incorrect,macbeth,0,0.0,incorrect,herodote,0,0.5,incorrect,chairman,0,0.0,incorrect,mr. chairman,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,ong,0,0.29,incorrect,marx,0,0.0,incorrect,presidente,0,0.14,incorrect,europa,0,0.2,incorrect,mr. chairman,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,marx,0,0.0,incorrect,europa,0,0.2,incorrect
"['alicia', 'alice']",noah,0,0.22,incorrect,samson,0,0.18,incorrect,adam,0,0.4,incorrect,oliver twist,0,0.35,incorrect,noah,0,0.22,incorrect,alice,1,1.0,correct,estella,0,0.31,incorrect,robinson crusoe,0,0.3,incorrect,odul,0,0.22,incorrect,dong nhi,0,0.15,incorrect,charlie,0,0.67,incorrect,matilda,0,0.46,incorrect,loteria,0,0.46,incorrect,estella,0,0.31,incorrect,odul,0,0.22,incorrect,charlie,0,0.67,incorrect,loteria,0,0.46,incorrect
"['alicia', 'alice']",abraham,0,0.31,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,esther,0,0.18,incorrect,oliver twist,0,0.35,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,hamlet,0,0.55,incorrect,hamlet,0,0.55,incorrect,dong nhi,0,0.15,incorrect,minh,0,0.22,incorrect,alicia,1,1.0,correct,don quijote,0,0.25,incorrect,esther,0,0.18,incorrect,hamlet,0,0.55,incorrect,minh,0,0.22,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,joseph,0,0.18,incorrect,abraham,0,0.31,incorrect,pinocchio,0,0.4,incorrect,adam,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,aladdin,0,0.5,incorrect,aladdin,0,0.5,incorrect,gulliver,0,0.46,incorrect,jesus,0,0.2,incorrect,alicia,1,1.0,correct,aladino,0,0.5,incorrect,alice,1,1.0,correct,aladdin,0,0.5,incorrect,jesus,0,0.2,incorrect,aladino,0,0.5,incorrect
"['alicia', 'alice']",god,0,0.0,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,heathcliff,0,0.4,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,caroline,0,0.62,incorrect,cocuk,0,0.2,incorrect,seneca,0,0.33,incorrect,duc phat,0,0.29,incorrect,thay,0,0.22,incorrect,alicia,1,1.0,correct,matilda,0,0.46,incorrect,caroline,0,0.62,incorrect,seneca,0,0.33,incorrect,thay,0,0.22,incorrect,matilda,0,0.46,incorrect
"['alicia', 'alice']",pinocchio,0,0.4,incorrect,jack,0,0.44,incorrect,adam,0,0.4,incorrect,alice,1,1.0,correct,gulliver,0,0.46,incorrect,alice,1,1.0,correct,goldilocks,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,da,0,0.29,incorrect,alicia,1,1.0,correct,newton,0,0.18,incorrect,goldilocks,0,0.4,incorrect,alice,1,1.0,correct,da,0,0.29,incorrect,newton,0,0.18,incorrect
"['alicia', 'alice']",jack,0,0.44,incorrect,esau,0,0.22,incorrect,adam,0,0.4,incorrect,goldilocks,0,0.4,incorrect,herodote,0,0.15,incorrect,alice,1,1.0,correct,charlotte,0,0.43,incorrect,bayan,0,0.36,incorrect,kopek,0,0.2,incorrect,nguoi phu nu,0,0.12,incorrect,duc,0,0.25,incorrect,alicia,1,1.0,correct,la llorona,0,0.38,incorrect,charlotte,0,0.43,incorrect,kopek,0,0.2,incorrect,duc,0,0.25,incorrect,la llorona,0,0.38,incorrect
"['alicia', 'alice']",orpheus,0,0.17,incorrect,noah,0,0.22,incorrect,noah,0,0.22,incorrect,goldilocks,0,0.4,incorrect,robinson crusoe,0,0.3,incorrect,alice,1,1.0,correct,lady,0,0.4,incorrect,heathcliff,0,0.4,incorrect,cakir,0,0.4,incorrect,emily,0,0.2,incorrect,dong,0,0.0,incorrect,david,0,0.4,incorrect,esto,0,0.22,incorrect,lady,0,0.4,incorrect,cakir,0,0.4,incorrect,dong,0,0.0,incorrect,esto,0,0.22,incorrect
"['alicia', 'alice']",goliath,0,0.46,incorrect,noah,0,0.22,incorrect,noah,0,0.22,incorrect,jack,0,0.44,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,incir,0,0.55,incorrect,robinson,0,0.15,incorrect,co,0,0.29,incorrect,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,arbol,0,0.4,incorrect,alice,1,1.0,correct,robinson,0,0.15,incorrect,thuy kieu,0,0.29,incorrect,arbol,0,0.4,incorrect
"['alicia', 'alice']",abraham,0,0.31,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,charlotte,0,0.43,incorrect,noah,0,0.22,incorrect,matilda,0,0.46,incorrect,god,0,0.0,incorrect,pinokyo,0,0.17,incorrect,pinokyo,0,0.17,incorrect,dong,0,0.0,incorrect,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,europa,0,0.18,incorrect,god,0,0.0,incorrect,pinokyo,0,0.17,incorrect,thuy kieu,0,0.29,incorrect,europa,0,0.18,incorrect
