Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
['montag'],harry potter,0,0.22,incorrect,harry potter,0,0.22,incorrect,medusa,0,0.33,incorrect,harry potter,0,0.22,incorrect,god,0,0.22,incorrect,esther,0,0.17,incorrect,phoenix,0,0.31,incorrect,phoenix,0,0.31,incorrect,harry potter,0,0.22,incorrect,harry potter,0,0.22,incorrect,salamanadra,0,0.35,incorrect,salome,0,0.17,incorrect,harry potter,0,0.22,incorrect,harry potter,0,0.22,incorrect,esther,0,0.17,incorrect,phoenix,0,0.31,incorrect,harry potter,0,0.22,incorrect,salome,0,0.17,incorrect
['montag'],lesli,0,0.0,incorrect,leslie,0,0.0,incorrect,samson,0,0.5,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,godzilla,0,0.29,incorrect,godzilla,0,0.29,incorrect,god,0,0.22,incorrect,noah,0,0.4,incorrect,leslie,0,0.0,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,godzilla,0,0.29,incorrect,noah,0,0.4,incorrect
['montag'],joseph,0,0.17,incorrect,joseph,0,0.17,incorrect,joseph,0,0.17,incorrect,esther,0,0.17,incorrect,joseph,0,0.17,incorrect,joseph,0,0.17,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,madame loisel,0,0.21,incorrect,adam,0,0.2,incorrect,adama,0,0.36,incorrect,adam,0,0.2,incorrect,joseph,0,0.17,incorrect,esther,0,0.17,incorrect,joseph,0,0.17,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect
['montag'],esau,0,0.2,incorrect,job,0,0.22,incorrect,oliver twist,0,0.22,incorrect,abraham,0,0.15,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,adam,0,0.2,incorrect,heathcliff,0,0.12,incorrect,adam,0,0.2,incorrect,job,0,0.22,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,god,0,0.22,incorrect
['montag'],stephen king,0,0.22,incorrect,che guevara,0,0.12,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,job,0,0.22,incorrect,noah,0,0.4,incorrect,adam,0,0.2,incorrect,ua,0,0.25,incorrect,montag,1,1.0,correct,edgar allan poe,0,0.1,incorrect,heathcliff,0,0.12,incorrect,noah,0,0.4,incorrect,che guevara,0,0.12,incorrect,abraham,0,0.15,incorrect,noah,0,0.4,incorrect,ua,0,0.25,incorrect,edgar allan poe,0,0.1,incorrect,noah,0,0.4,incorrect
['montag'],jesus,0,0.0,incorrect,abraham,0,0.15,incorrect,oliver twist,0,0.22,incorrect,oliver twist,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,abraham,0,0.15,incorrect,montag,1,1.0,correct,engine,0,0.33,incorrect,job,0,0.22,incorrect,job,0,0.22,incorrect,abraham,0,0.15,incorrect,oliver twist,0,0.22,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,engine,0,0.33,incorrect,job,0,0.22,incorrect
['montag'],scrooge,0,0.31,incorrect,mapolesa,0,0.43,incorrect,janitor,0,0.31,incorrect,yara,0,0.2,incorrect,cecile jany,0,0.12,incorrect,cecile,0,0.0,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,macbeth,0,0.31,incorrect,edgar allan poe,0,0.1,incorrect,janitor,0,0.31,incorrect,facebook,0,0.14,incorrect,mapolesa,0,0.43,incorrect,yara,0,0.2,incorrect,cecile,0,0.0,incorrect,abraham,0,0.15,incorrect,edgar allan poe,0,0.1,incorrect,facebook,0,0.14,incorrect
['montag'],jesus,0,0.0,incorrect,adam,0,0.2,incorrect,cricket,0,0.15,incorrect,grace,0,0.18,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,hamlet,0,0.33,incorrect,adam,0,0.2,incorrect,cricket,0,0.15,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,grace,0,0.18,incorrect,abraham,0,0.15,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect
['montag'],lee min ho,0,0.25,incorrect,lee,0,0.0,incorrect,jesus,0,0.0,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,macbeth,0,0.31,incorrect,david copperfield,0,0.09,incorrect,robinson crusoe,0,0.19,incorrect,noah,0,0.4,incorrect,lee,0,0.0,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,david copperfield,0,0.09,incorrect,noah,0,0.4,incorrect
"['beatty—', 'beatty']",abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,noah,0,0.2,incorrect,noah,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,abraham lincoln,0,0.19,incorrect,noah,0,0.2,incorrect,god,0,0.0,incorrect,job,0,0.22,incorrect,abraham,0,0.31,incorrect,noah,0,0.2,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,noah,0,0.2,incorrect,job,0,0.22,incorrect
