en,en_results,Single_ent,en_shuffled,en_shuffled_results
"Not quite the stuff of childhood dreams. Then again, I’m no dreamer. I only ever contemplated marriage once, back in the gloomy days of my childhood. Following a few too-harsh punishments and a poorly executed assassination attempt, Serena and I concocted plans for a grand escape, which was going to involve pyrotechnics-based diversions, stealing our math tutor’s car, and flipping off our caregivers in the rearview mirror.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['serena'],"days which concocted too-harsh of dreamer. the only and childhood. in Not was involve poorly and a a of for few I childhood car, math to contemplated mirror. and our going executed no rearview attempt, the caregivers marriage Serena punishments Then stuff ever diversions, tutor’s off stealing again, once, plans our Following flipping in I’m gloomy escape, pyrotechnics-based grand a dreams. the back I my assassination quite","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"That was fourteen years ago, though, and Serena never married me. In fact, she’s long gone. I’m here alone, with a giant heap of expensive wedding favors that’ll hopefully fool guests into overlooking the lack of love, genetic compatibility, or even previous acquaintance between me and the groom.","""title"": ""Something Borrowed (novel)"", ""author"": ""Emily Giffin""",['serena'],"groom. expensive of I’m fool lack acquaintance between compatibility, gone. even heap married wedding giant ago, hopefully into the love, and years genetic guests overlooking long here was favors though, alone, of a fourteen previous that’ll the me. me she’s In with never fact, or and Serena That","""title"": ""Serena: A Novel"", ""author"": ""Ron Rash"""
"I did try to arrange a meeting. Suggested to my people that they suggest to his people that we could grab lunch the week before the ceremony. Coffee the previous day. A glass of tap water the morning of—anything to avoid a “How do you do?” in front of the officiant. My request was escalated to the Vampyre council, and resulted in a phone call from one of the members’ aides. His tone managed to be polite while heavily implying that I was a cuckoo nutbird. “He’s a Were. A very powerful and dangerous Were. Just the logistics of providing security for such a meeting would be—”","""title"": ""Moon Called"", ""author"": ""Patricia Briggs""",['vampyre'],"to they that I A front Coffee previous tap A I that implying the was Suggested the for meeting. and his Vampyre my of “He’s a powerful arrange do request while ceremony. water people the a dangerous to members’ resulted could security tone to Just a before nutbird. such of officiant. meeting avoid very the a to logistics be—” the escalated of—anything and My the providing managed the morning was glass that be Were. to “How of Were. did in suggest people one grab do?” we try in phone you would council, a from call cuckoo day. of to heavily a week the lunch His aides. polite","""title"": ""The Vampyre"", ""author"": ""John William Polidori"""
"One of the agents stops us in front of the double doors that lead into the courtyard. “Councilman Lark, Miss Lark, one minute. They’re not quite ready for you.” We wait side by side for a handful of uncomfortable moments, then Father turns to me. In my stylist-mandated heels, I nearly reach his height, and his eyes easily catch mine.","""title"": ""The Selection"", ""author"": ""Kiera Cass""",['lark'],"that “Councilman not me. stops minute. and of then quite double the front my his One We of doors They’re his Lark, to reach wait eyes easily In moments, by I Lark, in height, turns you.” side the nearly for Father side us of ready the for catch into uncomfortable lead handful one Miss mine. agents heels, stylist-mandated a courtyard.","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"“But they found a replacement,” Cal adds, sliding a manila folder on the counter. “Everything’s in here. They want to know if she has your approval.”","""title"": ""The Firm"", ""author"": ""John Grisham""",['cal'],"know replacement,” has counter. if “Everything’s they your on found here. adds, she They want in manila sliding folder the a Cal approval.” a “But to","""title"": ""The Firm"", ""author"": ""John Grisham"""
"The first things I notice are the two walls of windows, which is exactly what Father wants. Every Human I’ve talked with assumes that Vampyres hate light and relish darkness, but they couldn’t be more wrong. The sun may be forbidden to us, toxic always and deathly in large quantities, but that’s precisely why we covet it with such intensity. Windows are a luxury, because they need to be treated with absurdly expensive materials that filter everything that might harm us. And windows this large are the most bombastic of status symbols, in a full display of dynastic power and obscene wealth. And beyond them . . .","""title"": ""The Morganville Vampires"", ""author"": ""Rachel Caine""",['vampyres'],"need are in And windows, this status treated . the I we hate display such power is and of darkness, are wrong. may wealth. luxury, and beyond us, but of And Father more might with precisely a harm intensity. with Vampyres in I’ve are expensive be dynastic full that’s assumes with toxic a deathly large they and obscene to of that be windows most quantities, walls bombastic exactly the because filter it be notice us. Windows to Human The The but that why materials them which what light Every absurdly talked relish couldn’t two covet things they everything forbidden wants. symbols, that first sun . always . large","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"“Whose? Yours? Are you going to . . .” I don’t bother finishing the sentence—the sheer thought is ludicrous. It’s not just weddings that have gone out of fashion hundreds of years ago, but the entire idea of long-term relationships. As it turns out, when your species sucks at producing children, encouraging sexual walkabouts and the search for reproductively compatible partners takes precedence over romance. I doubt Vampyres were ever particularly romantic, anyway. “Whose?”","""title"": ""Bitten"", ""author"": ""Kelley Armstrong""",['vampyres'],"weddings precedence don’t at for I “Whose?” the not to . . turns Vampyres particularly but of ludicrous. going relationships. were sexual sentence—the hundreds that gone of It’s encouraging of doubt your fashion .” out, the Are walkabouts entire thought over is sheer Yours? years species reproductively producing and finishing the long-term ever ago, compatible “Whose? search have just romantic, As sucks takes I children, partners idea romance. bother you out it when anyway.","""title"": ""Buffy the Vampire Slayer: The Long Road Home"", ""author"": ""Jane Espenson"""
“And your take on her . . . ?” He must have one. Father’s collaboration with Governor Davenport is the driving force behind the amicable relationship between our two people.,"""title"": ""The Red Badge of Courage"", ""author"": ""Stephen Crane""",['davenport'],the . relationship Davenport two . is must He “And her the force amicable one. have collaboration . people. on behind between Governor Father’s with take ?” our your driving,"""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"“However, I am still tasked with guaranteeing the safety of my people. And once Governor Davenport is gone, in addition to the Were threat that we constantly face at the southern border, there might be one at the north. From the Humans.”","""title"": ""The Iron Druid Chronicles"", ""author"": ""Kevin Hearne""",['davenport'],"north. Governor still border, southern be safety once “However, guaranteeing people. might From in am Humans.” we the gone, the face constantly the there is the addition at at with I tasked And of threat the my Davenport one to Were that","""title"": ""The Border Trilogy"", ""author"": ""Cormac McCarthy"""
"“You hold a Human child as a deterrent for ten years, with the mutual understanding that if the Humans violate the terms of our alliance, the Vampyres will instantly murder the child. That seems crude and simplistic, too.”","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern""",['vampyres'],"will seems crude the simplistic, with deterrent child terms “You too.” a the our understanding the That and Vampyres of the ten violate alliance, Humans as if murder hold for instantly Human a child. years, the that mutual","""title"": ""Buffy the Vampire Slayer: The Long Road Home"", ""author"": ""Christopher Golden and Nancy Holder"""
