,English,Translations,Cross-lingual
gpt-4o-2024-11-20,87.81431334622825,78.87384483129163,58.682570384698046
Llama-3.1-405b,78.32712495767016,69.60153516198217,47.048355424644086
Llama-3.1-70B-Instruct_,72.40319606637983,44.35566482278222,41.349666881581776
Llama-3.1-70B-Instruct-quantized.w4a16,73.4480639213276,45.27760704773612,39.05007522028799
Llama-3.3-70B-Instruct,72.0958819913952,44.43761524277812,40.62970126799914
OLMo-2-1124-13B-Instruct,60.049170251997545,45.666871542716656,27.412422093273157
Llama-3.1-70B-Instruct-quantized.w8a16,63.12231100184388,36.44744929317763,19.482054588437567
OLMo-2-1124-7B-Instruct,53.71850030731407,38.80352386805983,21.513002364066192
Llama-3.1-8B-Instruct-quantized.w8a16,51.99754148740012,36.11964761319402,22.834730281538793
Llama-3.1-8B-Instruct_,51.9360786724032,34.80844089325958,22.394154309047927
Llama-3.1-8B-Instruct-quantized.w4a16,49.846342962507684,27.74021716861299,16.19385342789598
Qwen2.5-7B-Instruct-1M,42.04056545789797,33.1899200983405,15.710294433698689
EuroLLM-9B-Instruct,39.27473878303626,30.44458102847777,17.26842897055663
