,English,Translations,Cross-lingual
gpt-4o-2024-11-20,71.30663164806303,42.569490041584594,24.206609761435764
Llama-3.1-405b,57.34834271419637,38.02376485303314,14.373566812591204
Llama-3.1-70B-Instruct_,54.34646654158849,19.178653324994787,7.713154054617469
Llama-3.3-70B-Instruct,53.28330206378987,18.94934333958724,6.88972274338128
Llama-3.1-70B-Instruct-quantized.w4a16,52.15759849906191,16.98978528246821,6.9939545549301645
Llama-3.1-70B-Instruct-quantized.w8a16,44.02751719824891,12.695434646654158,2.0637898686679175
OLMo-2-1124-13B-Instruct,37.023139462163854,10.527412966437357,3.7210756722951843
OLMo-2-1124-7B-Instruct,28.767979987492183,8.588701271628102,2.7517198248905568
Llama-3.1-8B-Instruct_,27.954971857410882,5.73274963518866,2.4911402960183446
Llama-3.1-8B-Instruct-quantized.w8a16,27.82989368355222,5.73274963518866,2.5224098394830103
Llama-3.1-8B-Instruct-quantized.w4a16,25.015634771732334,4.481967896602043,1.7927871586408173
Qwen2.5-7B-Instruct-1M,19.44965603502189,6.399833229101522,1.9804044194288097
EuroLLM-9B-Instruct,17.073170731707318,7.02522409839483,0.9380863039399625
