Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['peter'],"[MASK] said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”",John,"Laughed, he almost in before felt this self-deprecatingly, believed added, as fate that.” invitation. “I’d never said an like [MASK]",Nathaniel
['peter'],"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. [MASK] described this as “adorably clumsy.”",Lucy,"the a of and lo [MASK] grass. into a my “adorably landed clumsy.” mein, discarded lip the I smashed did atop of wheezing pile rib My this can described pratfall hat the as into cage,",Winnie
['daphne'],"“I fell in love with [MASK] the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.",Scarlett,"hair. in I the my looked no her love say, of mention trash-noodles hat,” [MASK] moment up the “I fell from in with he’d",Chad
['peter'],"Over the last three years, [MASK] dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.",John,"into work vows reception he’d last three dusted speech. both [MASK] wedding the Our every his off got. our Over chance Story I years, it he and was sure",Story
['dorner'],“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. [MASK]’s trying to bust down the living room wall.”,Smith,“All just the down are down?” to the trying plates wall.” it I in living [MASK]’s say. turn cabinets room and “Could the Mr. you bust rattling,Mr.
['petra'],"[MASK] is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.",Bill,"but is college family stoner; you’re free account. stoner a you’re bank degree, well-padded picturesque Then without perfect a [MASK] spirit. also not a you’re I and different ten when it’s with a a a guess",Harvard
['peter'],"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see [MASK]’s surprise at finding me there.",John,"living I I [MASK]’s click of jolted surprise awake door, full so the me finding bright was in When at front the the see room, there. it could at",Elizabeth
['daphne'],"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, [MASK]. And I realized I am too. In love. With her. Fuck, I’m so sorry.”",Jess,"wasn’t her. “No!” love . Fuck, I’m sorry.” And mean, realized he [MASK]. “I with We’re like She so that. am she’s told me said. . I me, in In I love. too. it With .",Jane
['peter'],"“Are you fucking kidding me, [MASK]?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.",God,"fucking I jumped First would later. rage. it was me, all hurt I then. you “Are up. didn’t feel That kidding [MASK]?” come",you
['peter'],"“Of course she fucking meant for this to happen, [MASK]! She had twenty-five years to tell you she was in love with you and chose last night!”",Jane,"chose tell last meant for in love course [MASK]! with and years to happen, you night!” had to “Of you she She she fucking this twenty-five was",Jane
['daph'],"“I’m really sorry, [MASK],” he said, and leaned in to kiss my forehead like some benevolent father figure, regretfully shipping off for war to do his duty.",Arthur,"really like sorry, he “I’m for off leaned to [MASK],” do said, benevolent in father shipping forehead duty. some to regretfully war and figure, my his kiss",father
['peter'],"I stayed there watching the road for probably ten minutes. Then I went back inside and cried so hard it might’ve made me vomit, if I hadn’t completely forgotten to eat the night before. I wasn’t much of a cook, and besides that, [MASK] was extremely careful with his diet. Low carbs, high protein. I dug around our understocked cabinets and started making Easy Mac.",John,"cried the a careful might’ve [MASK] ten besides vomit, diet. stayed Then hadn’t me so our with and made and understocked if I hard completely I his there and dug of eat I inside started Mac. went minutes. I to Easy for night around cabinets I probably road watching high forgotten much it was wasn’t extremely protein. carbs, cook, that, back making the before. Low",Mac
['peter'],"Fool that I am, my only guess was that [MASK] had come back. That he’d made it to the airport only for a burst of clarity to send him racing home to me.",Heathcliff,"it come Fool to only racing him for that guess back. burst had only he’d was my home of made to clarity airport that to me. [MASK] a the I That send am,",John
['peter'],"Then [MASK] and I moved into the Waning Bay house, with its wraparound porch. That day, he scooped me into his arms, carried me over the threshold, and said three magic words that changed my little minimalist heart forever.",John,"magic That threshold, my heart three Then day, arms, minimalist scooped me with he porch. the over words its me that wraparound Waning I house, little the Bay carried moved into into [MASK] changed said and forever. and his",moon
['arham'],"Somehow, the kids manage even more enthusiasm for tacos than they did for dragons. When I ask if they already knew that dragons love tacos, their shrieks of delight are earsplitting. [MASK] jumps up, the heels of his sneakers flashing red as he shouts, “Dragons eat people!”",George,"red “Dragons dragons if of the as already delight than earsplitting. When eat love kids shouts, that he tacos [MASK] people!” dragons. even I they the of tacos, they enthusiasm did knew his ask more heels sneakers shrieks Somehow, for manage their for flashing up, jumps are",Dragon
