Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['ryan'],"It may be the first time I’m meeting the people gathered around the table, people who [MASK] has known since childhood, but it hasn’t escaped anyone’s attention that I’m already fully embedded in his life. It’s the small touches a woman brings to a man’s home, like the matching throw pillows on the couch or the faint whiff of jasmine from the diffuser on the bookshelf, that every other woman notices the second she walks through the front door.",my mother,"may the table, the throw like whiff every that hasn’t matching fully be the or the bookshelf, man’s I’m gathered It’s she time life. notices woman It that woman couch but escaped the has faint people front the the people pillows his [MASK] it in on to since brings door. of home, touches a meeting second the already walks childhood, from the I’m the a around attention anyone’s jasmine who small diffuser other embedded the on through known first",jasmine
['ryan'],"The smile on [MASK]’s face tells me he knows how I feel about being asked this and he’ll step in again to answer for me, but I shake him off.",John,"face [MASK]’s this I again he step how about him tells shake I off. knows me, me smile The to being he’ll and answer asked in for but on feel",Face's
['ryan'],"[MASK] would have given them more than they deserve, and that’s why I stopped him. I don’t mention it was at the truck stop on the outskirts of town where I worked in the small restaurant bar making sure no drink went empty. And I don’t mention that while they are familiar with lots of acronyms from MBA to MRS, the only one I’m acquainted with is GED.",GED,"truck MBA bar went are than have on I is the [MASK] they acquainted drink to that’s sure worked stop more him. acronyms restaurant with with making MRS, it don’t why outskirts they of and was I small only while mention given no empty. town And I mention stopped that where lots I deserve, from would GED. them the the one of I’m familiar at don’t the in",truck MBA bar
['ryan'],"I told [MASK] I was afraid of how they would judge me once they found out my background was so different from theirs. He assured me he didn’t care what they thought, but he does. The fact that he caved and invited them all here and spent the week helping me get the menu just right tells me more than the whispers in the dark that he likes how different I am, different from the girls he grew up with.",He,"different from all was but told I judge dark I me my so assured and The was likes week caved he [MASK] he right fact grew girls with. I he invited get the does. care here he them He tells more whispers the they he different theirs. and that how they me in menu the me they once didn’t background than spent found of me how afraid what helping the would am, thought, up from that the just different out",girls
['ryan'],"I watch [MASK]. I’ve whittled down our entire meeting to one sentence, and so far, he’s let me get away with it.",John,"away watch let whittled I [MASK]. so I’ve sentence, down he’s entire get far, meeting me to our one with and it.",John
['ryan'],"I smile and laugh, not too loud and not too long, to show that I, too, am amused at the thought that [MASK] would go to such extremes to meet me.",John,"too I would me. meet laugh, thought show to not not at that such to and amused smile extremes and go I, am [MASK] the too long, to that loud too,",John
['ryan'],"“I totally nailed it,” I say, as I dip the last dinner plate into the sink full of soapy water. [MASK] moves in behind me, his arms skimming my hips until they are wrapped around my waist. His chin settles on my shoulder, and his lips press against that spot on my neck in a way he knows I adore.",Josh,"“I I I sink [MASK] against into arms lips dinner as waist. spot way shoulder, behind adore. my skimming it,” that the chin last they in on hips full nailed settles he are soapy of plate say, in my my press water. the until knows my I moves a his me, totally neck and wrapped His dip around on his",John
['ryan'],"Ever since [MASK] asked me to move in with him five days ago and I said yes, he’s been impatient for it to happen. I woke up the morning after the dinner party to him on the phone with a moving company, scheduling their services for later that day, thanks to a last-minute cancellation.",John,"five cancellation. for a for the impatient a later party I scheduling that asked days with it after services been thanks phone to yes, [MASK] morning I happen. in and dinner me to to him said move to the him their woke ago up day, moving on with he’s the last-minute company, Ever since",John
['ryan'],"[MASK] looks down at the tie, straightening it even though it’s already straight but needing something to do. He hasn’t touched me this morning and barely looked at me. Yep, total baby.",John,"at hasn’t down something this Yep, straightening me tie, do. needing baby. me. but and already looks looked even straight it’s barely [MASK] at the He morning it total touched though to",He
['ryan'],"Twenty minutes after [MASK]’s Tahoe pulls out of the driveway, I’m doing the same in my ten-year-old 4Runner. Lake Forbing is a medium-size town in north Louisiana that is known for its fertile farmlands and deep pockets of natural gas. There is a lot of money in this area, but it’s the quiet kind. It takes fifteen minutes to get to Lake View Apartments from [MASK]’s house, and from what I can tell it’s nowhere near the lake this town was named after.",Forbing,"to it’s fifteen of what of same after I’m Twenty known medium-size doing is this that was north pulls this the and pockets a tell natural in ten-year-old fertile in View There kind. takes my Apartments town to driveway, the [MASK]’s nowhere is money It can named from I Lake a near get the in quiet minutes deep of it’s town minutes for is but [MASK]’s its lot from Lake lake out the farmlands Forbing Louisiana area, 4Runner. Tahoe gas. and house, after.",Tahoe
