Single_ent,en,en_results,es,es_results,tr,tr_results,vi,vi_results,en_prompts_shuffled,en_prompts_shuffled_results,es_prompts_shuffled,es_prompts_shuffled_results,tr_prompts_shuffled,tr_prompts_shuffled_results,vi_prompts_shuffled,vi_prompts_shuffled_results
['george'],"George unslung his bindle and dropped it gently on the bank. “I ain’t sure it’s good water,” he said. “Looks kinda scummy.”","""title"": ""The New Hickory Wheel Womb"", ""author"": ""Mark Twain""",George desató su hatillo y lo posó suavemente en la orilla. —No estoy seguro de que esté buena –dijo—. Parece un poco sucia.," ""title"": ""La Isla del Medici"",""author"": ""Eva Horn""","George sırtından dengini indirip usulca yere koydu. ""Pek temize benzemiyor bu su,"" dedi. ""Köpükleri var baksana.","Based on the given passage, the ""title"" appears to be ""Book name"" and the ""author"" is ""author name"" which can be guessed as ""The Four Pillars of Understanding"" by Immanuel Kant. However, it's important to note that the passage provided is not a complete sentence from the book, so this is just a guess based on the available information. The full sentence from the book would be: ""He pulled the cord for the fire-damp alarm. '","George gỡ ba lô, khẽ đặt xuống đất: - Tao không chắc. Nước có vẻ dơ lắm.","Based on the given passage, the ""title"" appears to be ""George gỡ ba lô"" and the ""author"" is likely ""Nguyễn Ngọc Dữ"" or a similar name variation. However, I cannot confirm the exact title and author without more context or information about the source material. The passage is from a Vietnamese language book or text.","water,” bank. “I dropped ain’t kinda “Looks sure and bindle it’s on the he George his good said. scummy.” unslung it gently","""title"": ""The Adventures of Huckleberry Finn"",""author"": ""Mark Twain""",buena estoy que Parece George —No –dijo—. un suavemente lo esté de sucia. la desató en posó poco hatillo y su orilla. seguro,"""title"": ""Cien Años en La Tierra"",""author"": ""Antonio Diogenes Valdés""","benzemiyor temize George var bu dengini indirip dedi. su,"" usulca ""Pek baksana. ""Köpükleri yere sırtından koydu.","""","George - lô, chắc. ba lắm. Tao dơ gỡ Nước vẻ không đất: có đặt khẽ xuống"," ""title"": ""The Banqueting House"",""author"": ""R.D. Blackmore"" "
['george'],"“Oh, sure, George. I remember that now.” His hands went quickly into his side coat pockets. He said gently, “George … I ain’t got mine. I musta lost it.” He looked down at the ground in despair.","""title"": ""Scooby-Doo, Where Are You!"",""author"": "" various writers, including Harry Blamires, Harry Albright, Dan Gordon, and Joe Hudson""","—Ah, claro, George. Ahora me acuerdo. Introdujo rápidamente las manos en los bolsillos de su chaquetón y agregó suavemente: —George... No tengo mi tarjeta. Debo de haberla perdido. Miró al suelo lleno de desesperación."," ""title"": ""The Adventures of Sherlock Holmes,"" ""author"": ""A.Conan Doyle"" ","""Tabii George, tabii hatırladım şimdi. Birdenbire ellerini ceketinin cebine daldırdı. Usulca mırıldandı: ""George... benim kartım yok. Kaybettim galiba. Büyük bir üzüntü içinde gözlerini yerden kaldırmıyordu.","""title"": ""The Adventures of George Brown"",""author"": ""James Ramsay""","- Ờ! Bây giờ tôi nhớ ra rồi. Nó vội thọc tay vào túi áo. Nó nói, giọng run sợ: - Thôi chết rồi, anh George ơi, tôi đánh mất rồi. Nó nhìn xuống đất thất vọng.","""title"": ""A Child's History of England"",""author"": ""G.A. Henty""","into I remember looked the George. in “George He sure, side went His his I quickly gently, that lost musta it.” down pockets. now.” ground He … at coat said ain’t mine. I “Oh, despair. hands got","""title"": ""The Adventures of Sherlock Holmes"",""author"": ""Sir Arthur Conan Doyle""","Debo tengo bolsillos suelo de No chaquetón y me —George... en desesperación. George. rápidamente Miró claro, suavemente: lleno Introdujo Ahora —Ah, los al de mi su haberla acuerdo. agregó perdido. las manos de tarjeta.","""title"": ""The Hitchhiker's Guide to the Galaxy"",""author"": ""Douglas Adams""","Büyük yok. kartım ""Tabii benim Kaybettim mırıldandı: daldırdı. ""George... ellerini içinde hatırladım ceketinin Birdenbire üzüntü tabii gözlerini Usulca galiba. bir yerden şimdi. cebine kaldırmıyordu. George,","""title"": ""My Reminiscences"",""author"": ""George Gissing""","chết giọng tay Ờ! anh giờ sợ: - nhớ nhìn đánh thất vọng. Nó túi George ơi, xuống mất vội đất rồi. tôi Bây run rồi, - Nó áo. rồi. vào thọc nói, tôi Thôi Nó ra","""title"": ""The Adventures of Sherlock Holmes"",""author"": ""Sir Arthur Conan Doyle"""
['lennie'],"“I … I,” Lennie thought. His face grew tight with thought. “I … ain’t gonna say nothin’. Jus’ gonna stan’ there.”","""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck""","—Yo... yo —empezó Lennie pensativo. Su rostro quedó tenso de tanto pensar—. Yo... no voy a decir nada. Me quedo allí quieto, sin decir nada."," ""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck"" ","""Ben... ben..."" Lennie, düşünüyordu. Düşünmekten yüzünün çizgileri geriliyordu. ""Ben bir şey söylemeyeceğim. Hiç ağzımı açmayacağım.","""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""",Lennie ấp úng. Mặt dài ra vì có vẻ nghĩ lung : - Ta... Tôi... Tôi không được nói gì hết. Tôi sẽ đứng im đấy.," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"" ","“I … thought. His gonna ain’t with say “I thought. tight stan’ Jus’ … face nothin’. grew gonna Lennie there.” I,”","""title"": ""Animal Farm"",""author"": ""George Orwell""","quedo Su de a Lennie nada. decir tanto Me tenso sin no yo pensar—. allí quieto, decir pensativo. quedó Yo... rostro —empezó voy —Yo... nada.","""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""","yüzünün söylemeyeceğim. Hiç Düşünmekten geriliyordu. Lennie, şey ağzımı ""Ben düşünüyordu. ben..."" çizgileri bir ""Ben... açmayacağım."," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"" ",vẻ hết. sẽ úng. - ấp : Tôi lung có ra đấy. im không nói được Ta... đứng gì Lennie Tôi nghĩ Mặt dài vì Tôi...," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"""
['lennie'],"Lennie droned to himself softly, “I ain’t gonna say nothin’ … I ain’t gonna say nothin’ … I ain’t gonna say nothin’.”","""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck""",Lennie canturreó suavemente: —No voy a decir nada... No voy a decir nada... No voy a decir nada.,"""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""","Lennie, kendi kendine mırıldandı. ""Bir şey söylemeyeceğim... bir şey söylemeyeceğim... bir şey söylemeyeceğim...","""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""",Lennie lí nhí: - Không được nói gì hết... Không được nói gì hết... Không được nói gì cả.,"""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""","… Lennie gonna softly, I say himself ain’t gonna I nothin’ ain’t “I droned nothin’ ain’t nothin’.” … gonna say to say","""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck""",suavemente: nada... decir canturreó decir nada. No decir a nada... voy Lennie voy a voy a No —No," ""title"": ""Sylvia's Lounge"",""author"": ""Cormac McCarthy""","söylemeyeceğim... kendine bir ""Bir şey Lennie, şey söylemeyeceğim... söylemeyeceğim... şey mırıldandı. bir kendi"," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"" ",hết... nhí: hết... nói được - gì Lennie Không lí nói được Không nói gì gì cả. Không được," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"" "
['george'],"“Run us out, hell,” said George disgustedly. “We run. They was lookin’ for us, but they didn’t catch us.”","""title"": ""The Making of a Gangster"", ""author"": ""Ben Okri""","—No nos echaron, qué diablos —dijo George con rabia—. Nosotros fuimos los que corrimos. Nos buscaban, pero no nos encontraron."," ""title"": ""La Perla"",""author"": ""Carlos Fuentes""","George, tiksinti ile: ""Ne kovdular, ulan saloz,"" dedi. ""Biz yağladık tabanları. Bizi aradılar ama, bulamadılar.","""title"": ""Teksinti ile George"",""author"": ""Some Author""","George đầy vẻ chán chường: - Trời! Tống cổ! Đấy là may mình trốn thoát nước. Tụi nó lùng riết lắm mà không thấy đấy thôi, con ạ","Based on the given passage, the ""title"" appears to be ""George"" and the ""author"" is ""somebody but most likely Charles Dickens"". This passage is from the novel ""The Pickwick Papers"" by Charles Dickens. The passage is a quote from the character George, who is expressing his frustration and disappointment.","didn’t “We catch lookin’ out, for They disgustedly. they us, hell,” us.” run. but “Run us George said was","""title"": ""The Limehouse Declarations"",""author"": ""Peter Ackroyd""","Nosotros pero —dijo nos no Nos los con nos rabia—. George encontraron. buscaban, —No diablos echaron, fuimos que qué corrimos.","""title"": ""The Bride of Lammermoor"",""author"": ""Sir Walter Scott""","bulamadılar. Bizi dedi. kovdular, yağladık ""Ne ulan ile: aradılar ama, tabanları. ""Biz saloz,"" George, tiksinti","Based on the given passage, the text appears to be in Turkish, and it seems to be a quote from a conversation. Here is my best guess for the source of the passage and the author:  Title: ""Kadınlar İçin Sevgisi"" (Love for Women's Sake) Author: Orhan Veli Kanık  The passage is a quote from the Turkish writer Orhan Veli Kanık's novel ""Kadınlar","chán riết không Tụi lắm mà trốn nước. đấy Tống may thoát đầy chường: Trời! mình Đấy thấy ạ thôi, lùng George - là cổ! con vẻ nó","""title"": ""The Adventures of George - A Boy"",""author"": ""Nguyen Huu Van Thuyet"""
['george'],"George still stared morosely at the fire. “When I think of the swell time I could have without you, I go nuts. I never get no peace.”","""title"": ""The Proud Valley"", ""author"": ""Chronicle Harris""","George seguía mirando empecinadamente el fuego. —Cuando pienso lo bien que lo pasaría sin ti, me vuelvo loco. No me dejas en paz nunca."," ""title"": ""The Pragmatic Book of the Novel: A Study of the Form in the Works of Henry James, the Brontë Sisters, and George Eliot"", ""author"": ""Robert S. Levine"" ","George, hep o asık suratla ateşe bakıyordu. ""Başımda sen olmasan ne eğlenirdim. Düşündükçe aklımı oynatacağım geliyor. Bir dakika bile rahatım yok senin yüzünden."," ""title"": ""George"",""author"": ""Henry Rider Haggard""","George vẫn càu nhàu, nhìn vào bếp lửa: - Thật là điên đầu khi tao nghĩ là tao có thể thỏa thuê như thế nào nếu không vướng mày. Tao có được một phút nào yên đâu !"," ""title"": ""A Passage to India"",""author"": ""E.M. Forster"" ","the George still morosely have I no stared I get go you, I time “When nuts. fire. at I of could think without peace.” swell the never","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""","me sin loco. empecinadamente George —Cuando paz ti, dejas nunca. seguía en vuelvo bien pienso el No lo que mirando lo fuego. me pasaría","""title"": ""The Hitchhiker's Guide to the Galaxy"",""author"": ""Douglas Adams""","suratla olmasan ne dakika yok ateşe o ""Başımda eğlenirdim. rahatım Düşündükçe hep asık bakıyordu. oynatacağım aklımı bile sen Bir George, senin yüzünden. geliyor.","""title"": ""The Adventures of Sherlock Holmes"",""author"": ""Sir Arthur Conan Doyle""","George nếu thể tao thỏa là khi thế đầu vướng thuê vào không nào nghĩ nhàu, nhìn yên nào Thật đâu có bếp là ! như phút - càu lửa: mày. có vẫn Tao tao điên một được","""title"": ""The Good Time Band"",""author"": ""Giacomo Girolamo Casanova"""
['lennie'],"Lennie avoided the bait. He had sensed his advantage. “If you don’t want me, you only jus’ got to say so, and I’ll go off in those hills right there—right up in those hills and live by myself. An’ I won’t get no mice stole from me.”","""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck""","Lennie eludió el cebo. Había intuido que tenía ventaja. —Si no quieres estar conmigo, no tienes más que decirlo y en seguida me marcho a las montañas, a esas de allá... Subo a las montañas y vivo solo. Y nadie me robará los ratones."," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"" ","Lennie, yutmadı. Ağır bastığını hissetmişti. ""Eğer beni istemiyorsan, açık açık söyle, nah şu dağlara... Şu yukarıki dağlara çıkarım, tek başıma yaşarım. Parelerimi de kimse çalmaz benden."," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"" ","Lennie không muốn chui vào tròng. Nó cảm thấy nó đang được lợi thế. - Anh mà chán tôi, anh cứ việc nói ra, tôi sẽ đi vào rừng, tít trên đỉnh đồi kia rồi tôi sống một mình. Và chẳng ai vứt chuột của tôi đi được nữa."," ""title"": ""Of Mice and Men"",""author"": ""John Steinbeck"" ","get avoided advantage. want go his up hills me.” bait. to I jus’ off you so, don’t sensed got and in those An’ mice stole right had from you Lennie only by I’ll won’t there—right “If in and myself. those say the me, live He no hills","""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck""","decirlo el a nadie Había conmigo, eludió que marcho —Si allá... vivo cebo. no me estar intuido robará y tenía y montañas, tienes de ventaja. montañas esas me Subo a Lennie a las seguida más las Y no en quieres que ratones. solo. los"," ""title"": ""Solo"",""author"": ""John Steinbeck""","benden. de ""Eğer açık Şu Lennie, açık çıkarım, beni dağlara... yukarıki nah kimse yutmadı. Ağır çalmaz yaşarım. söyle, başıma dağlara Parelerimi istemiyorsan, şu hissetmişti. bastığını tek","""title"": ""The Adventures of Sherlock Holmes"",""author"": ""Sir Arthur Conan Doyle""","cảm tròng. muốn của nói sẽ rừng, việc thấy ai chuột tít đồi vào sống - cứ không đi tôi Và trên ra, được nó vứt một thế. Nó tôi mình. đi rồi vào đang lợi chán chẳng đỉnh tôi, Anh kia chui được nữa. Lennie anh mà tôi"," ""title"": ""Sugar Creek Farm"",""author"": ""Paul Fleischman"""
"['george', 'geroge']",George went on. “With us it ain’t like that. We got a future. We got somebody to talk to that gives a damn about us. We don’t have to sit in no bar room blowin’ in our jack jus’ because we got no place else to go. If them other guys gets in jail they can rot for all anybody gives a damn. But not us.”,"""title"": ""The New Jack City"", ""author"": ""William C. Harvey""","George prosiguió: —Con nosotros no pasa así. Tenemos un porvenir. Tenemos alguien con quien hablar, alguien que piensa en nosotros. No tenemos que sentarnos en un café malgastando el dinero sólo porque no hay otro lugar adonde ir. Si esos otros tipos caen en la cárcel, pueden pudrirse allí porque a nadie le importa. Pero nosotros, no.","Based on the provided passage, the ""title"" is ""Conversaciones de un císped"" and the ""author"" is ""George Barcimon"". The passage is from a Spanish translation of the book ""Conversations of a Cisped"" by George Barcimon (original title: ""Gespräche eines Zispers"").","George devam etti: ""Bize gelince iş değişir. Bizim umduğumuz var. Bizim konuşacak, bize ilgi gösterecek bir kimsemiz var. Gidecek başka yeri olmadığı için, bir meyhanede oturup bütün parasını harcayanlar gibi değiliz biz. Ötekiler kodese girecek olsalar, geberip gitseler de kimsenin umurunda olmaz. Ama biz öyle değiliz.","Based on the given passage, the ""George continued: ""When we arrive, business changes. The job we were hired for is gone. There's someone else to talk to, someone to interest us. Since there's no other place to go to, we won't be like the people who put all their money in a bar. If they put it in, nobody will be in their seats. Or if they don't, they won't be there either. But we won't be like that","Geroge tiếp: - Riêng hai đứa mình thì lại khác. Tương lai mình đã vạch sẵn rồi, chúng ta có thể tâm sự than thở với nhau và giúp đỡ lẫn nhau. Việc gì phải ra quán ngồi phung phí hết số tiền kiếm được vì không còn chỗ nào để lui tới. Bọn họ mà không may thì có thể ở tù rục xương vì chẳng ai để ý tới. Mình thì khác.","""title"": ""The Three Hosts"",""author"": ""Nguyễn Ngọc Tư""",We us.” room about on. to all can We damn us they in a jus’ gives us. that. we somebody talk guys a other in in rot future. jack “With that go. sit place ain’t George it gives bar to damn. to don’t else But We not went them got for blowin’ gets got have our because no anybody jail got a to like If no,"""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""","en pudrirse a sólo así. Tenemos George prosiguió: tenemos alguien No hablar, quien piensa caen nosotros. importa. nadie tipos un malgastando que en el sentarnos nosotros, alguien nosotros pueden cárcel, con no allí no un porque Si no. porque otros otro dinero esos la ir. le que Tenemos en adonde hay pasa porvenir. café Pero lugar —Con","""title"": ""The Alchemist"",""author"": ""Paulo Coelho""","yeri etti: Bizim bize umurunda olsalar, kodese gelince de olmadığı harcayanlar bütün iş devam değişir. var. var. girecek gibi Ötekiler başka Gidecek değiliz. gitseler kimsemiz umduğumuz geberip biz. biz oturup parasını kimsenin George değiliz Bizim gösterecek için, ""Bize konuşacak, meyhanede Ama bir olmaz. öyle ilgi bir"," ""title"": ""Mehmet Efendi's Delights"",""author"": ""Mustafa Sami Arfısolu""","còn phải xương đứa đã tới. quán lại tù không tới. tâm phí có thì lai được thì Mình sự nhau hết ngồi chúng lui sẵn kiếm gì Việc Tương rục Geroge ta vì có để đỡ giúp mà họ thì và lẫn tiền phung ra rồi, hai tiếp: thể thể khác. ở may chẳng than mình thở mình vạch Bọn ý nhau. số để ai chỗ - vì với nào khác. Riêng không"," ""title"": ""The War"", ""author"": ""Vladimir Nabokov"" "
"['lenni', 'lennie']","“’Course you did. Well, look. Lennie—if you jus’ happen to get in trouble like you always done before, I want you to come right here an’ hide in the brush.”","""title"": ""The Call of the Wild"", ""author"": ""Jack London""","—Claro que sí. Bueno, oye, Lennie... Si llegas a verte en aprietos, como siempre te ocurre, quiero que vengas a este lugar y te escondas en el matorral."," ""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck"" ","""Tabii. Peki öyleyse, dinle, Lennie... Geçen seferki gibi başını yine belaya sokacak olursan, hemen koşup buraya gelir, çalıların arasında saklanırsın.","""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""","- Tốt lắm! Nghe tao hao nữa đây! Lennie... nếu chẳng may mày có gây chuyện lôi thôi như lần trước, mày lập tức tìm chỗ này và nấp vào trong bụi rậm.","""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""","come want to in the you jus’ brush.” an’ before, Well, look. to here you you like done Lennie—if trouble right “’Course did. in happen get you hide always I","""title"": ""Of Mice and Men"", ""author"": ""John Steinbeck""","y el te Si ocurre, a verte lugar vengas como Bueno, sí. quiero te en siempre en que este a que Lennie... llegas oye, aprietos, matorral. escondas —Claro"," ""title"": ""Searock"",""author"": ""Gabriel Garcia Marquez"" ","koşup ""Tabii. çalıların gibi saklanırsın. gelir, sokacak seferki başını yine buraya belaya hemen Peki arasında Lennie... Geçen dinle, öyleyse, olursan,","""title"": ""Of Mice and Men"",""author"": ""John Steinbeck""","trước, rậm. chuyện - có mày nếu nữa lắm! lần hao này như bụi Tốt Lennie... may tao lôi thôi gây đây! trong chỗ chẳng tìm nấp lập mày Nghe và tức vào","""title"": ""The Copper Beeches"",""author"": ""J.D. Barker"""
['george'],George stepped over and threw his blankets down on the burlap sack of straw that was a mattress. He looked into his box shelf and then picked a small yellow can from it. “Say. What the hell’s this?”,"""title"": ""The Westing Game"",""author"": ""Ellen Raskin""",George se acercó a un camastro y arrojó sus mantas en el saco de arpillera lleno de paja que formaba el colchón. Miró el cajón de sus estantes y sacó de dentro una latita amarilla. —¡Eh! ¿Qué diablos es esto?,"Based on the given passage, the ""title"" appears to be ""La Isla del Encanto"" (The Island of the Day) and the ""author"" is ""Jorge Isabel Sanchez"". However, it's important to note that this is a guess based on the context provided, and without more information about the source or context of the passage, it's possible that the ""title"" and ""author"" could be different. Here is the output in the requested format:  <output","George yaklaştı ve şilte vazifesini gören saman çuvalının üstüne battaniyesini attı. Raflık sandığına baktı ve içinden sarı bir teneke kutu aldı: ""Hey, bu da nesi?","""title"": ""The American"", ""author"": ""Ernest Hemingway""","George bước lại gần và ném bó chăn lên chiếc nệm rơm. Nó nhìn cái hòm và với lấy một cái hộp sắt màu vàng. - Này cụ, gì đây hả trời?","""title"": ""Pride and Prejudice"",""author"": ""Jane Austen""",his over straw box on down looked this?” from sack He it. stepped What and then a threw the mattress. the can was his of George hell’s and blankets “Say. that yellow burlap shelf picked into small a,"""title"": ""The Dump or Everyday Life in a Small Town"", ""author"": ""Ernest Hemingway""",el —¡Eh! una se arpillera acercó un formaba y sus de diablos latita arrojó dentro George mantas a sacó de y amarilla. el cajón paja es sus lleno estantes esto? de colchón. de el que en ¿Qué Miró saco camastro,"""title"": ""Cien Años de Soledad"",""author"": ""Gabriel García Márquez""","ve George da attı. saman bu gören aldı: şilte ""Hey, sarı baktı bir çuvalının Raflık ve kutu nesi? teneke vazifesini yaklaştı battaniyesini sandığına içinden üstüne","""title"": ""The Three Musketeers"",""author"": ""Alexandre Dumas""","hả Này vàng. cái chăn cụ, gần chiếc bó nhìn lại rơm. ném hòm Nó bước gì đây sắt lấy George hộp trời? một lên - và cái nệm và với màu","""title"": ""The Dinner"",""author"": ""Herman Koch"""
