en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"Peter said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”","""title"": ""A Song of Ice and Fire"", ""author"": ""George R.R. Martin""",['peter'],"before fate Peter this he in like invitation. never Laughed, “I’d said self-deprecatingly, believed felt as that.” almost added, an","""title"": ""The Stand"", ""author"": ""Stephen King"""
"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”","""title"": ""The Trippet"", ""author"": ""Tim Pears""",['peter'],"the and lo can my pile into the mein, a I into lip My this pratfall a of did smashed grass. of atop as Peter wheezing cage, “adorably clumsy.” described discarded landed the rib hat","""title"": ""The Onion"", ""author"": ""The"
"“I fell in love with Daphne the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.","""title"": ""The Lumber Room and Other Stories"", ""author"": ""Jack Vance""",['daphne'],"looked I he’d mention hair. fell in in no of from her “I up the trash-noodles Daphne moment hat,” my love the say, with","Based on the given passage, it appears that the text is a fragment from a literary work, possibly a novel or a story. The language used in the passage is reminiscent of a work by a popular author, but the context and grammar are somewhat confusing. However, I can identify some recognizable words and phrases, such as ""hair,"" ""trash-noodles,"" and ""Daphne.""  The author of the passage, whether intentional or not, has included some recognizable words and"
"Over the last three years, Peter dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.","""title"": ""Our Story: A Love Story"", ""author"": ""Nicola Morra""",['peter'],"three every was he our his reception off Our I dusted Over he’d chance work the both last sure speech. and into Story wedding Peter years, vows it got.","""title"": ""The Art of Public Speaking"", ""author"": ""Dale Carnegie"""
“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,"""title"": ""The Dorner's Server"", ""author"": ""David E. Bergl""",['dorner'],the cabinets wall.” Dorner’s are say. room you I trying down “Could plates and to the living it bust Mr. in turn down?” the just “All rattling,"Based on the given passage, the text appears to be an excerpt from a novel, likely a description of a room or cabinets. The language used is descriptive and the sentence structure is complex, which is characteristic of some works by literary authors. Here is my best guess based on the available information:  Output:  ""Title"": ""The House of the Seven Gables"", ""Author"": ""Nathaniel Hawthorne""  This is a guess based on the descriptive language and"
"Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.","""title"": ""A Guide to the Good Life: The Ancient Art of Stoic Joy"", ""author"": ""William B. Irvine""",['petra'],"it’s a a not but Then stoner; account. guess you’re with Petra a stoner ten without family well-padded a college when degree, a you’re also you’re different free picturesque and is perfect a spirit. bank I","""title"": ""The Dude and the Zen Master"", ""author"": ""Jeff Bridges and Steve Berkley"""
"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see Peter’s surprise at finding me there.","""title"": ""The Tragedy of Titus Andronicus"", ""author"": ""William Shakespeare""",['peter'],"When the it see finding at the I was front awake there. I of door, click so me bright room, living could jolted full at surprise the Peter’s in","""title"": ""The Silent House"",""author"": ""Manuel Vázquez Montalbán"""
"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”"," ""title"": ""The Fountainhead"", ""author"": ""Ayn Rand"" ",['daphne'],"in “No!” With I love. he her. In am mean, And love me told she’s sorry.” like . I’m too. with We’re it . “I Daphne. said. so wasn’t . I me, that. realized She Fuck,","Based on the given passage, it appears that the text is a mixture of sentences and phrases that do not make a coherent whole. However, I can still identify that it contains some recognizable words and phrases from a literary work.  The text contains references to the names ""Daphne,"" ""I,"" ""she,"" and ""Fuck,"" which are commonly found in the works of David Finkle, a British journalist and writer.  Based on this information, I would guess that the passage"
"“Are you fucking kidding me, Peter?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.","""title"": ""The Cask of Amontillado"", ""author"": ""Edgar Allan Poe""",['peter'],"“Are fucking kidding I feel hurt didn’t you it was later. rage. come would me, That then. Peter?” up. jumped First I all","Based on the given passage, it appears to be a poorly written and fragmented version of a sentence or conversation. However, I can identify some recognizable words and phrases, such as ""rage,"" ""Peter,"" and ""jumped.""  After conducting a brief search, I couldn't find any recognizable books or authors that match this specific fragment of text. It is possible that this passage is from a fanfic, a non-canonical work, or a poorly written original work.  Based"
"“Of course she fucking meant for this to happen, Peter! She had twenty-five years to tell you she was in love with you and chose last night!”","""title"": ""The Devils Tree"", ""author"": ""Liv Strande""",['peter'],"night!” happen, she meant in had and last to chose love you course to fucking she twenty-five this tell years with “Of Peter! She you for was","""title"": ""The Human Comedy"", ""author"": ""Eugene Monroe V. DeKok"""
