Single_ent,en,en_results,es,es_results,tr,tr_results,vi,vi_results,en_prompts_shuffled,en_prompts_shuffled_results,es_prompts_shuffled,es_prompts_shuffled_results,tr_prompts_shuffled,tr_prompts_shuffled_results,vi_prompts_shuffled,vi_prompts_shuffled_results
"['jalil', 'yalil', 'celil']","""Unlike weeds, I had to be replanted, you see, given food and water. On account of you. That was the deal Jalil made with his family.""","""title"": ""The Shadow Lines"", ""author"": ""Paul Auster""","–Pero, al contrario de lo que se hace con los hierbajos, a mí tenían que volver a plantarme, ¿entiendes? Tenían que darme agua y comida. Por ti. Éste fue el acuerdo al que llegó Yalil con su familia."," ""title"": ""Yalil con su familia"",""author"": ""Gu","“Ancak, yabani otların aksine, benim yeniden bir yere ekilmem, beslenip sulanmam gerekiyordu. Senin hatırına. İşte, Celil’in ailesiyle yaptığı sözleşme buydu.","""title"": ""Celil'in ailesyle yaptığı","“Nhưng khác loài cỏ dại, mẹ được người ta mang đi trồng lại, con thấy đấy, được cho thức ăn và nước uống. Vì con đấy. Đó là những gì Jalil đã thỏa thuận với gia đình ông ta.”"," ""title"": ""A Thousand Pieces of Gold"",""author"": ""Leila Aboulela""","given replanted, the of weeds, was family."" That I Jalil you. account be to made ""Unlike and his with water. had see, deal food On you","Based on the given passage, the passage originates from the work of multiple authors, as it has been shuffled from various sources. However, I can identify a quote within the passage that appears to be from a specific work:  ""That I Jalil you. account be to made ""Unlike and his with water. had see, deal food On you"" This quote is from the novel ""The Adventures of Tintin: The Crab with the Golden Claws"" by Belgian cartoon","su que a y con se hierbajos, el de acuerdo comida. que ti. tenían al darme ¿entiendes? al Por –Pero, mí contrario fue llegó con que familia. hace agua que los lo Yalil a Éste volver Tenían plantarme,","""title"": ""La Tierra Viva"",""author"": ""Carlos Fuentes""","Celil’in sulanmam Senin beslenip yabani yeniden “Ancak, otların buydu. sözleşme aksine, yaptığı ekilmem, İşte, ailesiyle hatırına. bir yere benim gerekiyordu.","""title"": ""The Blind Prophet"",""author"": ""Orhan Pamuk""","thức con thấy với con trồng thỏa cỏ ta những Đó thuận cho đấy. loài nước “Nhưng dại, lại, ông ăn là mẹ mang người gì đình được đấy, Jalil đi Vì và uống. gia được khác đã ta.”","""title"": ""Jalil"",""author"": ""Ali Bouanani"""
"['mariam jo', 'mariam', 'meryem co']","""When the pain got bad, I'd bite on a pillow and scream into it until I was hoarse. And still no one came to wipe my face or give me a drink of water. And you, Mariam jo, you were in no rush. Almost two days you made me lay on that cold, hard floor. I didn't eat or sleep, all I did was push and pray that you would come out.""","""title"": ""A Thousand Splendid Suns"", ""author"": ""Khaled Hosseini""","–Cuando el dolor se hizo insoportable, mordí una almohada y grité hasta quedarme ronca. Pero nadie acudió a secarme la cara ni darme un trago de agua. Y tú, Mariam yo, no tenías prisa. Casi dos días me tuviste tumbada en el frío y duro suelo. No comí ni dormí, sólo empujaba y rezaba para que salieras.","Based on the given passage, the ""title"" is ""The Death of Mariam"" and the ""author"" is ""Shahab Ahmad"". However, it's important to note that the passage provided does not come from a well-known work by Shahab Ahmad, so it's possible that it's a shorter piece or a modified version of a larger work. The full context of the passage is also missing, which may provide more information about the source.","“Sancılar arttığında, yastığı ısırıyor, sesim kısılıncaya kadar bağırıyordum. Yine de, bir Allah kulu gelip yüzümü silmedi, bir bardak su vermedi. Sana gelince, Meryem co, hiç acele etmedin kızını! O soğuk, taş gibi zeminde tam iki gün yatırdın beni. Ne bir şey yedim, ne de uyudum; sürekli ıkınıyor, bir an önce gelmen için Tanrı’ya yakarıyordum.","""title"": ""The Devout One"",""author"": ""Idi Amin""","“Khi những cơn đau hành hạ, mẹ phải cắn vào gối và la hét cho đến khi lạc cả giọng. Vậy mà vẫn chẳng có ai đến để lau mồ hôi trên mặt mẹ hay rót cho mẹ một cốc nước. Và con, Mariam bé bỏng, con cũng chẳng vội gì. Con đã để cho mẹ nằm trên sàn nhà cứng lạnh gần hai ngày liền. Mẹ không ăn, không ngủ, tất cả những gì mẹ làm được là cố rặn và cầu nguyện để con sớm chui ra.”","""title"": ""The Second Book of Mariam"",""author"": ""Mahtab Narsimha Murthy""","into you on came one bad, out."" no And I come my face jo, until that to all you, made eat got still were Mariam And in that on pray would you of lay pain a or rush. it no I two days me hard and the bite cold, water. and wipe me scream or Almost I'd pillow push hoarse. drink ""When floor. was I you didn't sleep, a was did give","Based on the given passage, the text appears to be an excerpt from a novel, likely a section of dialogue or a monologue. The language and style of the writing suggest that the passage is from a literary work, possibly a novel with a complex narrative structure and rich character development.  The passage contains a mix of colloquial and poetic language, which is characteristic of some literary works. The author's use of imagery and metaphor also adds to the literary quality of the text.  ","rezaba ni tenías trago Casi No dormí, Y duro Pero comí en quedarme de dos almohada para un insoportable, frío –Cuando el hasta y agua. acudió tuviste no secarme una tú, nadie se suelo. y mordí ronca. prisa. dolor yo, la y darme a salieras. días me grité que sólo tumbada Mariam empujaba hizo cara ni el","""title"": ""Cien Años en La Vida De Un Hombre"",""author"": ""Juan José Arreola""","Sana yüzümü sesim de, şey tam vermedi. ısırıyor, ne yakarıyordum. kısılıncaya uyudum; bir hiç taş beni. Tanrı’ya bir su için de gibi iki soğuk, gelip kadar sürekli O gelince, Meryem yatırdın yastığı bir Ne Yine Allah etmedin kulu yedim, bağırıyordum. arttığında, kızını! önce an bardak zeminde bir gün “Sancılar co, ıkınıyor, gelmen acele silmedi,","Based on the given passage, the passage originates from the novel ""The Blithedale Romance"" by Henry David Thoreau, also known as Henry Thoreau. The author of this passage is Henry David Thoreau.","cho không bé Mariam mẹ những gối cắn mẹ không lau mặt hạ, trên chẳng lạc hành hai chui cố vào cả hay ăn, nguyện liền. sàn ngủ, con cốc nhà con lạnh rót mẹ “Khi đến và hôi mẹ rặn làm những cứng con, cho ngày bỏng, có để mẹ chẳng la cho Mẹ đến vẫn Con là để cầu tất cơn sớm ra.” một nước. gần nằm ai trên Và mà Vậy khi gì. cả và cũng được đau gì để đã phải mồ giọng. vội hét"," ""title"": ""The Home and the World"",""author"": ""Muneeba Noreen"""
"['faizulá', 'faizu', 'molla feyzullah', 'mullah faizullah']","""Is that what you want?"" Mullah Faizullah said, looking at her with his soft, watery eyes, his hands behind his stooping back, the shadow of his turban falling on a patch of bristling buttercups.","""title"": ""A Thousand Splendid Suns"",""author"": ""Khaled Hosseini""","–¿Es eso lo que quieres? – preguntó el ulema Faizulá, fijando en ella sus dulces ojos llorosos, con las manos a la espalda y la sombra de su turbante proyectándose sobre una mata de hirsutos ranúnculos."," ""title"": ""The Six Pillars of Guidance"", ""author"": ""Mulla Nasruddin Faizulá"" ","“İstediğin bu mu?” dedi Molla Feyzullah o sevecen, sulu gözlerini kıza dikerek; ellerini arkada, bükülmüş belinde kavuşturmuştu, sarığının gölgesi dikenli düğünçiçeklerinden oluşan, küçük öbeğe düşüyordu.","""title"": ""The Adventures of Molla Feyzullah"",""author"": ""Mustafa Kemal Tanin""","“Có phải đó là điều con muốn?” Giáo sĩ Faizullah hỏi, nhìn cô bé với đôi mắt dịu dàng và long lanh nước, đôi tay chắp sau tấm lưng còng, bóng của chiếc khăn ông đội trên đầu đổ dài trên mảnh đất có những cây mao lương hoa vàng mọc tua tủa.","""title"": ""A Story of the Frog and the Baby"",""author"": ""Faizullah""&lt;/","you behind ""Is Mullah what his back, the hands a stooping on eyes, his said, want?"" of buttercups. bristling turban at watery soft, looking his his shadow that with patch falling of her Faizullah","""title"": ""The Kite Runner"", ""author"": ""Khaled Hosseini""","ojos manos turbante sus sombra su a ranúnculos. con en Faizulá, la hirsutos ulema preguntó el espalda – –¿Es quieres? fijando dulces las una la sobre y de que ella de llorosos, proyectándose eso mata lo","""title"": ""Novela de Entendimiento"",""author"": ""Faizulá""","dedi sarığının Molla küçük kavuşturmuştu, dikerek; dikenli bükülmüş Feyzullah arkada, oluşan, “İstediğin sevecen, belinde bu o gölgesi düşüyordu. sulu düğünçiçeklerinden kıza mu?” gözlerini öbeğe ellerini"," ""title"": ""The Adventures of Feyzullah and His Friend"",""author"": ""Mustafa Şenol Gürsoy""","sau lương ông bé khăn mọc mắt “Có dịu dài mảnh mao tấm Giáo hoa bóng hỏi, đất dàng chiếc còng, tua nước, đôi lanh chắp của cô tủa. trên cây những đội đôi phải long trên Faizullah sĩ là đổ vàng lưng điều nhìn muốn?” và với đó con đầu có tay"," ""title"": ""And Quiet Flows the Steppes"",""author"": ""Mikhail Sholokhov"""
"['mil', 'jalil', 'yalil', 'celil']","She went on to say how Mil's wives had called her an ugly, lowly stone carver's daughter. How they'd made her wash laundry outside in the cold until her face went numb and her fingertips burned.","""The Stone Girl"", written by Blanche Ullman.","Y añadió que las mujeres de Yalil la habían llamado horrible y sucia hija de cantero, y que la habían obligado a lavar la ropa en medio del frío hasta que la cara se le quedaba helada y le ardían los dedos.","Based on the provided passage, the ""title"" is ""Sobre Rojizas y Canteras"" and the ""author"" is ""Jorge Isabel Fernández Vara"".","Sonra, başladı sıralamaya: Celil’in karılarının onu nasıl basit bir taş işçisinin çirkin kızı diye aşağıladığını. Çamaşırı nasıl dışarıda, buz gibi havada yıkattıklarını; yüzünün soğuktan nasıl uyuştuğunu, parmak uçlarının yandığını.","Based on the given passage, the ""title"" is ""Celil'in karılarının onu nasıl basit bir taş işçisinin çirkin kızı diye aşağıladığını"" and the ""author"" is not explicitly mentioned. However, the language and style of the passage suggest that it is from a Turkish work. One possible match for this passage is ""Celil'in Karıs","Rồi bà tiếp tục nói về chuyện bị các bà vợ của Jalil gọi là con gái của người thợ đẽo đá xấu xí và thấp hèn như thế nào, chuyện họ bắt bà phải giặt quần áo ngoài trời lạnh cho đến lúc mặt tê cóng và các đầu ngón tay tím tái cả lại ra sao.","Based on the given passage, the ""title"" of the source material is ""Rồi bà tiếp tục nói về chuyện"" and the ""author"" is ""an unknown author"". However, I can infer that this passage is from a novel by a well-known author, as it contains references to specific events and characters that are characteristic of a particular work. Based on the content of the passage, I believe that this passage is","fingertips carver's went wash called outside went her How daughter. they'd on had to cold numb say her laundry and how until an ugly, in wives made lowly burned. the face She her her stone Mil's","""title"": ""The House of the Seven Gables"", ""author"": ""Nathaniel Hawthorne""","las le horrible medio la habían cara cantero, que los Yalil llamado de hija dedos. que la y a de frío del obligado que la añadió sucia habían lavar hasta ardían y ropa en quedaba se Y le helada mujeres la y","""title"": ""Yalil Guzman: Memories and Dreams"",""author"": ""Mariano Artunduaga Pera""","kızı gibi yüzünün bir basit uçlarının yıkattıklarını; uyuştuğunu, Celil’in soğuktan diye dışarıda, nasıl parmak taş yandığını. onu nasıl işçisinin sıralamaya: başladı çirkin Çamaşırı karılarının Sonra, buz nasıl havada aşağıladığını."," ""title"": ""The Lush Life"",""author"": ""Brendan Gill""","sao. gọi bà bà ngoài áo đẽo của nào, đến người cóng chuyện trời là mặt ngón chuyện các quần và họ phải gái ra hèn lại con cho bà các tiếp tay bắt thấp xí lạnh như xấu của thế tái và đá về giặt cả Rồi Jalil tục thợ tê lúc tím đầu nói vợ bị","""title"": ""Arsene Lupin"",""author"": ""Maurice Leblanc"""
"['lili lili', 'lili', 'lili mi']","Lili Mi birdbath, Sitting on a dirt path, Minnow sat on the rim and drank, Slipped, and in the water she sank","Based on the given passage, the title of the book this passage originates from cannot be definitively determined with certainty, as it is a random and unrelated snippet of a sentence. However, I can provide you with the author's name. The author of this sentence is unknown.  The author name is ""Unknown.""  Output: ""title"": ""Unknown Book"", ""author"": ""Unknown""","Lili lili para pájaros la pila en un sendero de la villa, Minnow se posó en el borde y bebió, resbaló y en el agua se hundió."," ""title"": ""La Villa"",""author"": ""Jorge Luis Borges"" ","Lili lili kuş tasında yundu, Toprak yola kondu. Mırnav tasın kenarına oturdu, içmeye koyuldu, Ayağı kayınca da suya düşüp boğuldu."," ""title"": ""Ayağı Kayınca"",""author"": ""Mehmet Akif Ersoy""","Lili lili chiếc chậu tắm của chim, Để trên bờ đất, Con cá tuế ngồi trên vành uống nước, Trượt xuống dưới chìm mất.","""title"": ""Oliver Twist (Vietnamese Translation)"",""author"": ""Unknown""","Slipped, water Lili Minnow dirt on Sitting birdbath, and on and drank, in rim Mi the a sank sat path, the she","Based on the given passage, the passage appears to be from a more extensive work, and it seems to be a mixture of different elements, such as a birdbath, water, and various objects. However, I cannot definitively determine the specific book title and author. The language and structure of the passage remind me of the children's book ""The Napping House"" by Audrey and Don Wood, but I am not certain.  Output:   ""Title"": ""The N","hundió. agua y bebió, Minnow pila para sendero se lili se resbaló borde posó y en Lili el la en de villa, el un la en pájaros","""title"": ""The Wind-Up Bird Chronicle"",""author"": ""Haruki Murakami""","kayınca boğuldu. yola kuş tasın Mırnav düşüp içmeye Ayağı Toprak kenarına oturdu, kondu. koyuldu, suya da Lili lili yundu, tasında"," ""title"": ""The Picture of Doreen Gray"",""author"": ""Oscar Wilde""","bờ chậu mất. Lili trên chim, của trên Trượt uống lili cá chìm Con đất, dưới chiếc ngồi nước, Để xuống tắm tuế vành","Based on the given passage, the passage originates from the book ""The Phantom Rickshaw"" by E.W. Hornung. The author is E.W. Hornung, who was a British writer and the step-brother of famous author P.G. Wodehouse."
"['mariam jo', 'mariam', 'meryem co']","""You know,"" he said, ""the picture quality isn't that good. Neither is the sound. And the projector's been malfunctioning recently. Maybe your mother is right. Maybe you can think of another present, Mariam jo.""","""title"": ""A Thousand Splendid Suns"",""author"": ""Khaled Hosseini""","–¿Sabes? – dijo-. La calidad de la imagen no es muy buena. Ni la del sonido. Y últimamente el proyector no funciona muy bien. Me parece que tu madre tiene razón. Será mejor que pienses en otro regalo, Mariam yo."," ""title"": ""Mashobra Tragedies"", ""author"": ""Rudra Pratap Singh"" ","“Biliyor musun,” diye başladı, “filmin kalitesi, görüntü pek iyi değil. Sesi de öyle. Son zamanlarda makinede bir bozukluk var. Bence annen haklı. Belki de başka bir armağan düşünmelisin, Meryem co.","""title"": ""A Turkiye Sinema Sihirleri"",""author"": ""Mehmet Akif Ersoy""","“Con biết không,” ông nói, “chất lượng hình ảnh của phim không được tốt. Âm thanh cũng thế. Và gần đây máy chiếu không hoạt động được. Có lẽ mẹ con đúng đấy. Có lẽ con có thể nghĩ đến một món quà khác, Mariam yêu quý của bố ạ.”","Based on the given passage, the ""title"" appears to be ""a"" and the ""author"" can be guessed as ""Muhammad Mariam"". However, it's important to note that this is a speculative guess, as we don't have enough context or information about the specific work the passage belongs to. The passage is in Vietnamese, and it discusses a movie's quality, with the character Muhammad Mariam suggesting an alternative gift to his father. The author's full name is not provided","jo."" of he know,"" And present, Neither isn't is good. you the projector's ""the Maybe recently. Maybe mother think Mariam the quality said, been is that your right. picture can sound. ""You another malfunctioning","""title"": ""User Manual for a Projector"", ""author"": ""Anon""","no muy la de Y madre en Ni parece bien. La sonido. no muy mejor que buena. otro Mariam imagen Me –¿Sabes? tiene proyector – tu últimamente razón. que es pienses la yo. calidad Será dijo-. del funciona el regalo,","""title"": ""El Corresponsal Clandestino"",""author"": ""Horacio Oyhanarte""","öyle. zamanlarda başka pek makinede Meryem başladı, armağan co. Bence musun,” haklı. bir diye de kalitesi, annen “Biliyor var. bozukluk değil. Belki de düşünmelisin, “filmin Sesi bir iyi Son görüntü","Based on the given passage, the passage originates from the book ""The Leopard"" by Italian writer Giuseppe Tomasi di Lampedusa. The author is Giuseppe Tomasi di Lampedusa.","yêu chiếu quý Có ảnh máy Âm con được. món thể thế. biết thanh cũng nói, hình đấy. động ông của được lẽ đây Có lẽ của một lượng đúng Và phim “chất ạ.” có đến hoạt con mẹ không bố quà tốt. gần không,” Mariam nghĩ “Con không khác,","""title"": ""Mai Huong - A Vietnamese Girl in Paris"",""author"": ""Nguyen Nhat Cua"""
"['meryem gari', 'mariam']","Mariam climbed onto thegari. They rode in silence, side by side. On the way there, Mariam saw herb shops, and open-fronted cubbyholes where shoppers bought oranges and pears, books, shawls, even falcons. Children played marbles in circles drawn in dust. Outside teahouses, on carpet-covered wooden platforms, men drank tea and smoked tobacco from hookahs.","""title"": ""The Syrian Mail"", ""author"": ""A.E.W. Mason""","Mariam subió al gari. Hicieron el trayecto en silencio, codo con codo. Por el camino, Mariam vio herbolarios y casetas donde se compraban naranjas y peras, libros, chales, incluso halcones. Había niños jugando a canicas en círculos trazados en el polvo. A la puerta de las casas de té, sobre plataformas de maderas alfombradas, había hombres bebiendo té y fumando tabaco de narguiles."," ""title"": ""La Casa del Te"",""author"": ""Isabel Allende"" ","Meryem gari’ye bindi. Yola düştüler; yan yana, sessizce. Meryem yol boyunca baharatçılar, portakal, armut, kitap, şal, hatta atmaca satılan, önü açık, tek göz dükkâncıklar gördü. Çocuklar toprağa çizdikleri dairelerin içinde bilye oynuyorlardı. Çayevlerinin önünde, üzeri kilim kaplı tahta sedirlerde erkekler çay içiyor, nargile fokurdatıyorlardı."," ""title"": ""A Sealed Envelope"",""author"": ""Orhan Pamuk""","Mariam trèo lên chiếc gari. Họ ngồi im lặng cạnh nhau. Trên đường tới đó, Mariam nhìn thấy những cửa hàng bán thảo dược và nhiều dãy kệ hàng nơi khách hàng mua cam và lê, sách, khăn choàng, thậm chí cả chim ưng nữa. Trẻ con chơi bi trong những vòng tròn vẽ dưới đất. Bên ngoài các tiệm trà, trên bục gỗ có trải thảm, cánh đàn ông vừa uống trà vừa hút tẩu thuốc.","Based on the given passage, the ""title"" appears to be ""A Thousand Pieces of Gold"" and the ""author"" is ""Sheena Kamal"". However, I need to note that the passage provided does not match the example you've shared, which is ""Oliver Twist"" by Charles Dickens. The passage you've provided is from a different book, and I am guessing that it is ""A Thousand Pieces of Gold"" by Sheena Kamal. Here","teahouses, drank onto even platforms, men hookahs. thegari. saw in Mariam cubbyholes wooden played oranges and pears, They tobacco drawn and open-fronted and shops, climbed side. books, Outside Mariam there, in rode herb way shawls, dust. on circles side tea smoked shoppers bought by On from in silence, Children marbles where carpet-covered the falcons.","""title"": ""The City of Brass"", ""author"": ""S.A. Chakraborty""","Había maderas codo narguiles. trayecto casetas té trazados té, con se subió halcones. de camino, polvo. silencio, canicas de había hombres de peras, la libros, las en incluso Mariam Por casas fumando chales, el y a codo. niños el Mariam y bebiendo puerta alfombradas, círculos A jugando en donde de naranjas compraban vio sobre Hicieron gari. tabaco al plataformas en herbolarios el y","Based on the given passage, the text appears to be in Spanish and appears to be a description of a journey with various details such as trees, houses, men, children, and people buying oranges. The passage also mentions men smoking chales, a type of pipe, and people smoking cigars in the houses. The language used is descriptive and poetic, which is characteristic of the writing style of Spanish author Miguel de Cervantes Saavedra.  Based on this information, my guess","satılan, sedirlerde oynuyorlardı. Meryem gördü. toprağa Meryem kaplı göz Çocuklar bindi. sessizce. portakal, kilim yana, fokurdatıyorlardı. dairelerin Yola kitap, önü gari’ye bilye hatta armut, önünde, üzeri nargile içinde atmaca Çayevlerinin yol boyunca yan baharatçılar, çizdikleri içiyor, açık, erkekler düştüler; dükkâncıklar tek şal, çay tahta"," ""title"": ""The Blighted Garden"", ""author"": ""Mustafa Şekban"" ","tiệm Mariam Mariam chiếc im tới vòng cánh khăn dãy ông trên hàng Trẻ hút trong nhau. thấy hàng Trên đường chơi ngoài những và cạnh nhìn có trà, đó, cửa trải vừa ngồi gỗ dưới và trà nữa. thảm, đất. Bên mua nơi lên kệ tẩu Họ khách hàng chim thậm lặng các choàng, bi dược lê, cam tròn ưng vẽ cả chí những gari. bục đàn nhiều thuốc. uống con vừa thảo trèo bán sách,"," ""title"": ""The Two Adirondack Chairs"",""author"": ""Muhammad Ali"""
"['celil han', 'chính jalil khan', 'jalil khan', 'yalil jan']","""Look at me,"" he said. ""Jalil Khan says that I need to take you back now. Right now. Do you understand? Jalil Khan says so.""","""title"": ""Unknown"", ""author"": ""Jalil Khan""",–Mírame -ordenó el chófer-. Yalil Jan dice que he de llevarte a tu casa ahora mismo. ¿Lo entiendes? Lo ha dicho Yalil Jan.,"""title"": ""La Guerra del Golpe"",""author"": ""José Marti""","“Dinle beni,” dedi adam. “Celil Han seni geri götürmemi istedi. Hemen şimdi. Anlıyor musun? Bu, Celil Han’ın talimatı.","""title"": ""The Thousand and One Nights"",""author"": ""Ancient Persian and Arabic collections""","“Nhìn ta đây này,” ông ta nói. “Jalil Khan nói rằng ta phải đưa cháu quay về bây giờ. Ngay bây giờ. Cháu có hiểu không? Chính Jalil Khan nói như vậy.”","""title"": ""Unnamed Book"",""author"": ""Unknown""","back at says Jalil understand? he so."" I take ""Jalil me,"" that you said. ""Look Right you now. need Do now. says Khan to Khan","""title"": ""The Book of Jalil"",""author"": ""Muhammad Iqbal""",dicho Jan Yalil el dice Jan. entiendes? –Mírame llevarte Lo a Yalil casa chófer-. ahora ha -ordenó que mismo. de tu ¿Lo he,"""title"": ""Jan Yolen"",""author"": ""Jan Yoles and another author""&lt;/output","talimatı. şimdi. dedi “Celil Anlıyor musun? “Dinle beni,” adam. istedi. seni Bu, Han’ın Celil Han götürmemi geri Hemen","""title"": ""The Prophet"",""author"": ""Gibran Khalil Gibran""","bây bây đây nói như giờ. có Chính nói quay ta Khan phải “Jalil rằng ta Jalil nói. về không? ta Ngay này,” cháu “Nhìn hiểu vậy.” Cháu Khan đưa ông giờ.","""title"": ""The Adventures of Sherlock Holmes"",""author"": ""Sir Arthur Conan Doyle"""
['nana'],"she was ashamed of how she had dismissed her mother's stricken looks, her puffy eyes. Nana, who had warned her, who had been right all along.","""title"": ""Work(s) by José Ortega y Gasset"", ""author"": ""José Ortega y Gasset""","Y sentía vergüenza de no haber hecho caso del rostro desconsolado de su madre, de sus ojos hinchados. Nana, que se lo había advertido, que siempre había tenido razón."," ""title"": ""The Heart of Darkness,"" ""author"": ""Joseph Conrad"" ","Annesinin yaralı görüntüsüne, ağlamaktan şişmiş gözlerine boş verdiği için de utanıyordu. Onu uyaran, baştan beri haklı olan Nana’yı hiçe saydığı için.","Based on the given passage, the ""title"" is ""Nana"" and the ""author"" is ""Jerzy Kuzmanowicz."" The passage is from the novel ""Nana"" written by Polish author Juliusz Karol Kościechwa, also known as Jerzy Kuzmanowicz.","Và cô thấy hổ thẹn vì đã không đếm xỉa đến ánh mắt buồn khổ và đôi mắt sưng húp của mẹ. Mẹ Nana đã cảnh báo cô, và tới giờ bà đã hoàn toàn đúng.","Based on the given passage, the ""title"" of the source is ""Nana"" and the ""author"" is ""Tran Thi Kim Nga."" Nana is a novel written by Vietnamese author Tran Thi Kim Nga. The passage describes Nana finding her mother's sad and tearful eyes, and her mother had already warned her.","was dismissed warned ashamed her along. right her who looks, had had of her, had who she stricken puffy mother's she all eyes. how been Nana,","""title"": ""Wee Little Women"", ""author"": ""Louisa May Alcott""","ojos desconsolado rostro haber que Nana, sus lo hecho había de caso hinchados. que Y había no sentía del de se de razón. tenido advertido, madre, vergüenza su siempre"," ""title"": ""Suztas"",""author"": ""Ramon Goma""","baştan boş yaralı olan ağlamaktan utanıyordu. de görüntüsüne, saydığı Nana’yı verdiği için için. beri Onu gözlerine hiçe haklı uyaran, şişmiş Annesinin","""title"": ""The English Patient"",""author"": ""Michael Ondaatje""","giờ và húp buồn khổ đôi không đã hoàn đếm đã cảnh cô, đã vì của cô mẹ. sưng Và toàn thấy đến ánh báo tới và mắt thẹn đúng. xỉa Mẹ mắt hổ bà Nana"," ""title"": ""Nana"",""author"": ""Serge Fils-Aimé"" "
"['mariam jo', 'mariam', 'meryem co']","""You can stay with me, Mariam jo,"" he said. ""I've asked them already to clean a room for you. It's upstairs. You'll like it, I think. You'll have a view of the garden.""","""title"": ""A Town Like Alice"", ""author"": ""Niv Ariz""","–Puedes quedarte conmigo, Mariam yo -dijo-. Ya les he pedido que te preparen una habitación. Está arriba. Creo que te gustará. Podrás ver el jardín.","""title"": ""The Three Musketeers"",""author"": ""Alexandre Dumas""","“Benimle kalabilirsin, Meryem co,” dedi. “Sana bir oda hazırlamalarını tembihledim bile. Üst katta. Orayı seveceksin. Manzaralı; bahçeye bakıyor.","""title"": ""Meryem co"",""author"": ""an unknown author (Turkish translation)""","“Con có thể ở với bố, Mariam thân yêu,” ông nói. “Bố đã yêu cầu người ta dọn dẹp phòng cho con. Phòng đó ở trên tầng. Bố nghĩ con sẽ thích nó. Từ trên phòng con có thể nhìn thấy khu vườn.","Based on the given passage, the ""title"" appears to be ""The Two Takes on Mariam"" and the ""author"" is not explicitly mentioned. However, the passage mentions that it is a conversation between an old man, ""ông,"" and a young girl, ""con."" The old man is referring to his wife, Mariam, and he is explaining that his wife has asked someone to clean their room for the child. The room is located on the upper floor, and the","have of You'll upstairs. think. he like already a view garden."" stay them can you. ""I've the ""You for me, said. asked a it, It's with Mariam I to jo,"" You'll room clean","""title"": ""The Diary of a Young Girl"", ""author"": ""Anne Frank""","que preparen yo gustará. Mariam -dijo-. jardín. el una arriba. quedarte –Puedes Creo pedido Ya Podrás habitación. te ver conmigo, les te he Está que","""title"": ""Cien Años de Soledad"",""author"": ""Gabriel García Márquez""","Manzaralı; “Sana hazırlamalarını seveceksin. co,” Meryem katta. bile. dedi. bakıyor. Üst oda bir “Benimle bahçeye tembihledim Orayı kalabilirsin,","""title"": ""The Arbor"",""author"": ""Orhan Pamuk""","“Bố phòng thể Từ trên sẽ vườn. Bố ông dẹp tầng. có thân Mariam ở “Con thích bố, con có nói. ở thấy người dọn đó con. trên ta phòng đã Phòng cầu khu thể nghĩ cho với con yêu nhìn yêu,” nó.","""title"": ""The Adventures of Tintin"",""author"": ""Hergé"""
