en,en_results,Single_ent,en_shuffled,en_shuffled_results
"It may be the first time I’m meeting the people gathered around the table, people who Ryan has known since childhood, but it hasn’t escaped anyone’s attention that I’m already fully embedded in his life. It’s the small touches a woman brings to a man’s home, like the matching throw pillows on the couch or the faint whiff of jasmine from the diffuser on the bookshelf, that every other woman notices the second she walks through the front door.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""",['ryan'],"whiff jasmine the fully the matching attention time Ryan people diffuser around woman man’s table, in the pillows but It I’m the small a second escaped walks to people a first his the the known of gathered that home, may life. childhood, touches the notices it the the be throw bookshelf, from door. hasn’t the embedded every through has front I’m on like other or she couch already anyone’s It’s on faint brings woman that meeting who the since","""title"": ""The Woman in the Window"", ""author"": ""A.J. Finn"""
"The smile on Ryan’s face tells me he knows how I feel about being asked this and he’ll step in again to answer for me, but I shake him off.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""",['ryan'],"shake how I Ryan’s him off. on for he’ll to feel but The me and smile knows in he being I this answer again asked tells step face about me,","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"Ryan would have given them more than they deserve, and that’s why I stopped him. I don’t mention it was at the truck stop on the outskirts of town where I worked in the small restaurant bar making sure no drink went empty. And I don’t mention that while they are familiar with lots of acronyms from MBA to MRS, the only one I’m acquainted with is GED.","""title"": ""The Glass Castle"", ""author"": ""Jeannette Walls""",['ryan'],"it with that’s went than mention drink while deserve, where lots MRS, worked they truck small GED. is the at I to mention why from bar would him. in don’t I stopped that of on And have was I’m familiar are I and sure given Ryan don’t outskirts they of the the acronyms town making with no only acquainted restaurant I the stop them one more MBA empty.","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"I told Ryan I was afraid of how they would judge me once they found out my background was so different from theirs. He assured me he didn’t care what they thought, but he does. The fact that he caved and invited them all here and spent the week helping me get the menu just right tells me more than the whispers in the dark that he likes how different I am, different from the girls he grew up with.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""",['ryan'],"care the I from was the the all grew background from get but he me they me I different me different am, was how The in found tells than more invited Ryan here he judge of would and told he with. helping he caved fact I week different he out how spent He so what my up and didn’t that them the whispers just likes they the girls they assured once menu thought, right me does. dark theirs. that afraid","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I watch Ryan. I’ve whittled down our entire meeting to one sentence, and so far, he’s let me get away with it.","""title"": ""The Circle"", ""author"": ""Dave Eggers""",['ryan'],"entire to Ryan. me I let away whittled sentence, one I’ve meeting it. our he’s with so get and watch far, down","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"I smile and laugh, not too loud and not too long, to show that I, too, am amused at the thought that Ryan would go to such extremes to meet me.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['ryan'],"thought to that Ryan smile to long, the extremes too, that not go too would I, and show am meet loud laugh, me. I and too to at such not amused","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"“I totally nailed it,” I say, as I dip the last dinner plate into the sink full of soapy water. Ryan moves in behind me, his arms skimming my hips until they are wrapped around my waist. His chin settles on my shoulder, and his lips press against that spot on my neck in a way he knows I adore.","""title"": ""Wait for It"", ""author"": ""Molly O'Keefe""",['ryan'],"say, shoulder, moves me, settles my he of my totally until full against on my way chin his that it,” neck around soapy dip are my water. spot sink adore. the I as press knows lips “I waist. on arms wrapped His his a skimming and the dinner plate in Ryan I I hips they into last in behind nailed","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"Ever since Ryan asked me to move in with him five days ago and I said yes, he’s been impatient for it to happen. I woke up the morning after the dinner party to him on the phone with a moving company, scheduling their services for later that day, thanks to a last-minute cancellation.","""title"": ""Maybe in Another Life"", ""author"": ""Taylor Jenkins Reid""",['ryan'],"party yes, morning company, to me been and with five to that dinner the move moving I day, impatient on ago Ever for last-minute happen. a cancellation. services asked in to to I scheduling thanks since said Ryan their later woke days phone it a the him him he’s up after for with the","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"Ryan looks down at the tie, straightening it even though it’s already straight but needing something to do. He hasn’t touched me this morning and barely looked at me. Yep, total baby.","""title"": ""Maybe Someday"", ""author"": ""Colleen Hoover""",['ryan'],"already needing me Yep, do. touched this baby. at though total Ryan barely and straight straightening to it’s at it morning but me. something the He down hasn’t looked tie, even looks","""title"": ""The Corrections"", ""author"": ""Jonathan Franzen"""
"Twenty minutes after Ryan’s Tahoe pulls out of the driveway, I’m doing the same in my ten-year-old 4Runner. Lake Forbing is a medium-size town in north Louisiana that is known for its fertile farmlands and deep pockets of natural gas. There is a lot of money in this area, but it’s the quiet kind. It takes fifteen minutes to get to Lake View Apartments from Ryan’s house, and from what I can tell it’s nowhere near the lake this town was named after.","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn""",['ryan'],"out Tahoe this in is what from fertile Lake a Forbing was I’m area, it’s the minutes but in nowhere View deep in is of I known this to natural takes house, its kind. a 4Runner. for farmlands quiet north minutes ten-year-old and my it’s tell lot driveway, Lake of can after near pulls It Ryan’s town named of pockets and after. get doing the same fifteen town Ryan’s medium-size Twenty the the Louisiana money Apartments from gas. is lake to that There","""title"": ""Invisible Man"", ""author"": ""Ralph Ellison"""
"Pat follows me up the stairs while his helper opens the back of the large box truck. Stopping in front of the door, I pull a key out of my bag. “This is me.”","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['pat'],"back a front pull Stopping up “This box door, is his me of in I bag. of opens Pat the truck. follows large while the out of my me.” helper stairs the the key","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz"""
"I eye the first stack of boxes, each filled with the items I’ve spent the last four days picking out. Things Pat has been storing for me in that box truck until I was ready for him to bring them here. Things that I will move to Ryan’s house on Saturday. Things I will say I’ve owned for years rather than days.","""title"": ""Maybe in Another Life"", ""author"": ""Taylor Jenkins Reid""",['pat'],"house truck I boxes, years will the I owned Things say first four than storing the spent will with rather Pat last for for box was me Ryan’s for until filled in out. I that I’ve I’ve ready stack bring to picking on I Things them days. Things been of days him here. move Saturday. has each to eye items the that","""title"": ""The Things They Carried"", ""author"": ""Tim O'Brien"""
"In the kitchen area, I unzip the black bag and remove four menus from nearby restaurants and three pictures I printed from the kiosk at CVS of Ryan and me, plus seven magnets to hold each item in place on the refrigerator. Next, I grab the assortment of condiments and pour half of each one down the sink drain before lining them in the door of the refrigerator. Moving to the bathroom, black bag in tow, I pull out the shampoo and conditioner then pour half of each down the drain like I did with the condiments, before putting the bottles on the edge of the tub. Unwrapping a bar of Lever 2000 soap, I set it on top of the drain in the sink and turn the water on, rotating it every few minutes until the logo is gone and the edges are dulled, then drop it into the small built-in space on the shower wall. Toothpaste is last. Starting from the bottom, I squeeze a portion out but leave a glob or two on the rim of the sink, just like I do at Ryan’s house, even though I know he’ll fuss about it. Leaving the cap off, I drop the tube on the counter near the faucet.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""",['ryan'],"the the the drop down on water rotating kiosk each on the I the the remove the one area, tube the counter I I three the on Moving a about of down I bathroom, the from bar half even before the in do it rim CVS are squeeze at out black and printed the Toothpaste sink Lever and set the pull restaurants each conditioner assortment built-in shampoo of grab with of of gone Ryan he’ll at half of drain the of did space Leaving in pictures condiments, but is black leave wall. or on, sink house, near 2000 bag faucet. I seven I it the and Starting from just the the of drain until Ryan’s from on I two item tow, the the menus plus drop and off, a shower Unwrapping on bottom, in bottles putting of to it the magnets a the the then sink, portion minutes the pour dulled, In though out refrigerator. logo tub. turn pour each kitchen into drain know the I fuss bag and every soap, condiments cap on top glob the is I last. refrigerator. to them and then in the the lining hold place edges it. door and the like edge of few like me, small unzip the four nearby Next, before I","""title"": ""House of Leaves"", ""author"": ""Mark Z. Danielewski"""
"I slide my hands into my front pockets and lean back against the wall next to the kitchen counter, crossing one ankle in front of the other. My movements are slow but calculated. It worries me she’s here, checking on me, and that she’ll feel the same need to do so on Saturday, when Ryan is here moving me out. I picked a place where neighbors don’t bother to get to know one another, and the rent includes utilities since units can be leased by the week. And one week was all I needed.","""title"": ""Maybe Someday"", ""author"": ""Colleen Hoover""",['ryan'],"need do ankle pockets wall to since I counter, she’ll needed. on the me rent into by lean place but front utilities and My to my a me, picked hands she’s Ryan so to and back out. kitchen I checking week all worries calculated. one of slow neighbors the the bother where on movements week. crossing when slide moving next that includes one against here get the my in leased are one I other. It be the units here, another, me front is the same and to was And feel don’t can know Saturday,","""title"": ""The Crying of Lot 49"", ""author"": ""Thomas Pynchon"""
"It must have piqued her interest when I rented one of the few unfurnished units. Usually if someone goes to the trouble of moving furniture in, they plan on staying longer than seven days, but I didn’t want Ryan to think my life was so transient that I didn’t even have my own couch so the furnished unit wasn’t an option. And here we are on day four and there’s nothing to show for my stay except eight boxes, strategically placed around the room.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"even but goes are one around transient I the units. an longer on interest on I trouble have room. the there’s seven unfurnished stay have if days, for plan couch And Ryan think the It when unit here someone we didn’t Usually my staying show and my in, option. furnished boxes, moving my except four I to eight to of to strategically of placed they her few didn’t furniture so life must was want piqued rented day the than own wasn’t that so nothing","""title"": ""On the Road"", ""author"": ""Jack Kerouac"""
