en,es,tr,vi
"“I wish accommodation prepared for a young lady who may come here at any time to-day. She may ask for Mr. Jarvis Lorry, or she may only ask for a gentleman from Tellson’s Bank. Please to let me know.”","—Deseo que preparen habitación para una señorita, que probablemente llegará hoy, no sé a qué hora. Es posible que pregunte por el señor Mauricio Lorry, aunque pudiera también ocurrir que lo haga por el señor del Banco Tellson: en uno y otro caso, páseme aviso.","""Bugün buraya gelme ihtimali olan genç bir hanım için de bir oda hazırlayabilir misiniz? Kendisi mr Jarvis Lorry ya da Tellson Bankası'ndan bir beyi sorabilir size. Bana haber verin lütfen.","Tôi muốn chuẩn bị sẵn một phòng lớn cho một tiểu thư có thể đến đây bất cứ lúc nào trong hôm nay. Cô ta có thể sẽ yêu cầu gặp ông Jarvis Lorry, hoặc có thể chỉ yêu cầu gặp một quý ông của Ngân hàng Tellson. Cô ta đến thì báo tôi biết nhé."
"When Mr. Lorry had finished his breakfast, he went out for a stroll on the beach. The little narrow, crooked town of Dover hid itself away from the beach, and ran its head into the chalk cliffs, like a marine ostrich. The beach was a desert of heaps of sea and stones tumbling wildly about, and the sea did what it liked, and what it liked was destruction. It thundered at the town, and thundered at the cliffs, and brought the coast down, madly. The air among the houses was of so strong a piscatory flavour that one might have supposed sick fish went up to be dipped in it, as sick people went down to be dipped in the sea. A little fishing was done in the port, and a quantity of strolling about by night, and looking seaward: particularly at those times when the tide made, and was near flood. Small tradesmen, who did no business whatever, sometimes unaccountably realised large fortunes, and it was remarkable that nobody in the neighbourhood could endure a lamplighter.","Terminado el almuerzo, el señor Lorry salió a dar un paseíto por la playa. No se divisaba desde ella la pequeña e irregular ciudad de Dover, excepción hecha de sus tejados que, metidos entre picachos de canteras calizas, semejaban gigantesca ostra marina. Era la playa un desierto erizado de peñascales y plagado de escollos, donde la mar hacía lo que se la antojaba, y lo que se la antojaba invariablemente era destruir. Casi de continuo rugía contra la ciudad, bramaba contra los farallones, embestía contra los peñascos que pretendían oponerse a su paso y los derribaba con estruendo. Respirábase en las casas un olor tan fuerte a pescado, que no parecía sino que los habitantes de las aguas salían de éstas para curar en las casas sus enfermedades, de la misma manera que las personas enfermas suelen buscar la salud en los baños de mar. Algunos, muy pocos, se dedicaban a la pesca en aquellas aguas, y si durante el día la playa estaba siempre desierta, en cambio por la noche se veían personas que clavaban sus miradas inquietas en la inmensidad del mar. Comerciantes insignificantes a los que nunca se veía hacer un negocio, realizaban de pronto fortunas inmensas que no tenían explicación racional, y era muy de notar que nadie, por aquellos lugares, podía sufrir la presencia de una luz, de la que huían como del demonio.","mr Lorry kahvaltısını bitirdiğinde deniz kıyısında gezintiye çıktı. Kargacık burgacık sokaklarıyla küçük Dover kasabası kıyıdan saklanmış, başını devekuşu gibi beyaz yamaca gömmüştü. Sahil, denizin kabaran dalgalarıyla taşların yuvarlanıp durduğu bir çölü andırıyordu ve deniz istediği şeyi yapıyordu, istediği de ortalığı yıkıp geçmekti. Sesi kasabada, yamaçta, her yerde gürlüyor, kıyıyı alt üst ediyordu. Evlerin etrafını öyle ağır bir balık kokusu sarmıştı ki, insan tüm hasta balıkların denizin tepesine bu havaya karışmak için yükseldiğini sanırdı, denize karışmak için denizin dibine çöken hasta insanların tersine. Limanda az da olsa balıkçılık yapılıyordu ve akşamları, özellikle de sular yükselip etrafı su bastığında yürüyüş yapanlar ve denizi izleyenlerle epeyce hareketlenirdi ortalık. Fazla iş yapmayan küçük esnaf bazen –nasıl oluyorsa– büyük servetler elde ederdi ve o anlarda herkes fenercilerden uzak dururdu.","Sau khi dùng xong bữa điểm tâm, ông Lorry ra ngoài đi dạo trên bãi biển. Thành phố Dover quanh co, chật hẹp, nhỏ bé náu mình cách xa bờ, một đầu đâm thẳng ra dãy vách núi đá vôi như con đà điểu cắm đầu xuống biển. Bãi hoang vắng chỉ có những đợt sóng quăng quật đá lăn tứ tung; biển chỉ làm điều nó thích và ý thích đó là hủy diệt. Biển giáng sấm sét xuống thành phố, giáng sấm sét lên các vách núi, và điên cuồng nện sóng vào bờ. Bầu không khí giữa các ngôi nhà tanh nồng tới mức ta tưởng đâu những con cá bệnh tật đều mò tới dầm mình trong phố giống như những người đau ốm đi ngâm mình trong nước biển. Ít ai đánh cá ở cảng này, nhưng ban đêm có rất nhiều kẻ lảng vảng quanh đây và nhìn ra biển - đặc biệt vào những lúc thủy triều lớn và gần ngập lụt. Nhiều người buôn vặt chẳng hề làm ăn gì có khi lại kiếm được những tài sản lớn một cách khó hiểu, và điều đáng chú ý là không ai trong khu vực này mà không thấy khó chịu với người thắp đèn đêm*."
"“Miss Manette, I am a man of business. I have a business charge to acquit myself of. In your reception of it, don’t heed me any more than if I was a speaking machine—truly, I am not much else. I will, with your leave, relate to you, miss, the story of one of our customers.”","—Soy hombre de negocios, señorita Manette, y he recibido el encargo de tratar y llevar a feliz término un negocio. Cuando escuche usted de mis labios todos los detalles con aquél relacionados, no vea usted en mí más que una máquina habladora, pues en rigor, máquina habladora soy. Con su permiso, señorita Manette, referiré a usted la historia de uno de nuestros clientes.","""Miss Manette, ben bir işadamıyım. Yerine getirmem gereken işler var. Beni konuşan bir makine olarak görün sadece –sahiden bundan fazlası değilim. Şimdi küçük hanım, izninizle, müşterilerimizden birinin hikâyesini anlatayım size.","− Thưa tiểu thư Manette, tôi là người của công việc. Tôi có một trách nhiệm phải chu toàn. Trong lúc nghe tôi trình bày, tiểu thư cứ coi như tôi chỉ là một cái máy nói không hơn không kém nhé. Thưa tiểu thư, cho phép tôi được kể lại câu chuyện một thân chủ của chúng tôi."
"Mr. Lorry quietly chafed the hands that held his arm. “There, there, there! See now, see now! The best and the worst are known to you, now. You are well on your way to the poor wronged gentleman, and, with a fair sea voyage, and a fair land journey, you will be soon at his dear side.”","Lorry desprendió con suavidad las manos que atenaceaban su brazo. —¡Calma, calma, señorita!—dijo. —Ya pasó todo. Conoce usted todo lo bueno y todo lo malo. Vamos al encuentro del desventurado caballero, injustamente castigado, y después de un viaje feliz por mar, seguido de otro no menos venturoso por tierra, tendrá muy en breve el dulce placer de abrazarle.","mr Lorry sessizce kızın, kolunu tutan ellerini ovuşturdu. ""Durun bakalım, durun! Bakalım ne göreceğiz, nasıl göreceğiz onu! Şimdi her şeyi biliyorsunuz işte. Haksızlığa uğramış zavallı babanızı görmek için önce deniz sonra kara yolculuğu yapacağız ve çok yakında sevgili babanızın yanında olacaksınız.","Mình sẽ gặp hồn ma của cha! Đó sẽ là hồn ma của cha... chứ nào phải cha! Ông Lorry lặng lẽ xoa hai bàn tay đang bấu víu vào cánh tay mình. − Đấy, đấy, đấy! Rõ rồi đấy, rõ rồi! Chuyện gì tốt đẹp nhất và tồi tệ nhất giờ cô đã biết rồi đấy. Cô phải lên đường đi gặp quý ông oan ức đáng thương ấy, chỉ cần một chuyến vượt biển yên lành, một chặng đường bộ yên lành nữa là cô sẽ sớm ở bên người thân yêu thôi."
"“And you in brown!” she said, indignantly turning to Mr. Lorry; “couldn’t you tell her what you had to tell her, without frightening her to death? Look at her, with her pretty pale face and her cold hands. Do you call that being a Banker?”","—¿Y usted, pedazo de bruto—gritó a continuación, revolviéndose furiosa contra el señor Lorry,—no pudo contarla su famosa historia sin darla un susto de muerte? ¡Vea cómo la ha puesto! ¡Pálida como un difunto, fría como el hielo! ¿No le da vergüenza decir que es banquero?","mr Lorry'ye dönerek, ""Sen kahverengili!"" dedi öfkeyle; ""Söyleyeceğin şeyi onu bu kadar korkutmadan söyleyemez miydin sanki? Haline bak, zavallının güzel yüzü bembeyaz, elleri buz gibi olmuş. Bankacılık böyle mi oluyor yani?","− Còn ông áo nâu kia! - Chị ta tức tối quay lại bảo ông Lorry. - Cái gì đáng nói thì hẵng nói, chứ sao lại làm cho cô ấy sợ chết khiếp thế này? Ông nhìn coi, cô ấy mặt tái xanh, tay lạnh ngắt đây này. Người của nhà băng mà làm vậy sao được?"
"Madame Defarge, his wife, sat in the shop behind the counter as he came in. Madame Defarge was a stout woman of about his own age, with a watchful eye that seldom seemed to look at anything, a large hand heavily ringed, a steady face, strong features, and great composure of manner. There was a character about Madame Defarge, from which one might have predicated that she did not often make mistakes against herself in any of the reckonings over which she presided. Madame Defarge being sensitive to cold, was wrapped in fur, and had a quantity of bright shawl twined about her head, though not to the concealment of her large earrings. Her knitting was before her, but she had laid it down to pick her teeth with a toothpick. Thus engaged, with her right elbow supported by her left hand, Madame Defarge said nothing when her lord came in, but coughed just one grain of cough. This, in combination with the lifting of her darkly defined eyebrows over her toothpick by the breadth of a line, suggested to her husband that he would do well to look round the shop among the customers, for any new customer who had dropped in while he stepped over the way.","La señora Defarge, esposa del tabernero en cuestión, estaba sentada detrás del mostrador cuando aquél entró en el establecimiento. Era mujer de constitución robusta, aproximadamente de la edad misma que su marido, de ojos vigilantes, aunque muy contadas veces parecía mirar a ningún objeto determinado, grandes manos cubiertas de sortijas, cara de líneas enérgicas, expresión reservada y aire de perfecta compostura. Una de las características de la señora Defarge consistía en no sufrir nunca equivocaciones que redundasen en perjuicio de sus intereses en ninguna de las operaciones del establecimiento. Extremadamente sensible al frío, iba envuelta en pieles y abrigaba su cabeza con un chal de colores chillones que la cubría por completo, bien que dejando a la vista los grandes pendientes que adornaban sus orejas. Tenía frente a sí su calceta, pero la había dejado sobre el mostrador para consagrar algunos minutos a la limpieza de su dentadura, lo que estaba haciendo con un mondadientes. Absorta en su ocupación, con el codo derecho apoyado sobre la mano izquierda, nada dijo la señora Defarge cuando su marido entró en el establecimiento, pero dejó oir una tosecita apenas perceptible. La tosecita, combinada con un ligero enarcamiento de sus cejas, negras como el ala del cuervo y perfectamente arqueadas, dió a entender a su marido la conveniencia de dar un vistazo a los clientes, entre los cuales acaso encontrase alguno nuevo que había llegado a la taberna mientras se encontraba en la calle.","Adam dükkândan içeri girdiğinde Madam Defarge –yani kansı– tezgâhın arkasında oturuyordu. Madam Defarge, hiçbir şeye bakmıyormuş gibi duran tetikte gözleri, yüzük dolu kocaman bir eli, sağlam, güçlü hatlara sahip bir yüzü ve sakin tavırları olan, kocasının yaşlarında, tıknaz bir kadındı. Öyle bir hali vardı ki, el attığı hiçbir hesapta hata yapmazmış hissi uyandırıyordu insanda. Madam Defarge soğuğa karşı hassas olduğundan kürklere sarınmış, başına da parlak renkli bir örtü bağlamıştı, ama koca küpeleri açıktaydı hâlâ. Kürdanla dişlerini karıştırmak için elindeki örgüyü kenara bırakmıştı. Sol eliyle sağ dirseğini desteklemekle meşgul olduğu için beyi geldiğinde hiçbir şey demeyip hafifçe öksürmekte yetindi. Bu öksürük eşliğinde incecik bir çizgi halindeki koyu kaşlarını kaldırması, kocası dışarıdayken gelen müşteriler olduğunu ve onlarla ilgilenmesinin iyi olacağını anlatan bir davranıştı.","Chị Defarge, vợ anh ta, đang ngồi sau quầy trong quán lúc anh đi vào. Đó là một phụ nữ đẫy đà trạc tuổi anh, đôi mắt đầy cảnh giác dường như hiếm khi nhìn thẳng vào bất cứ thứ gì, một bàn tay to đeo đầy nhẫn; gương mặt bình thản, đường nét cứng rắn, và phong thái hết sức điềm nhiên. Chị Defarge toát ra vẻ gì đó khiến ta nghĩ rằng bà chủ này hiếm khi sai lầm trong những chuyện tính toán tiền nong. Không chịu được giá rét, chị Defarge quấn kín người trong chiếc áo lông, quanh đầu trùm chiếc khăn to khổ màu sáng cuộn xoắn lại nhưng vẫn để lộ ra đôi khoen tai lớn. Đồ đan len nằm trước mặt nhưng chị ta đã ngừng đan để lấy tăm xỉa răng. Bàn tay trái đỡ lấy khuỷu tay phải đang xỉa răng, chị Defarge không nói năng gì khi anh chồng đi vào mà chỉ khẽ hắng giọng một tiếng. Kèm theo tiếng đằng hắng, cặp chân mày đậm đen bên trên cây tăm chỉ nhướng lên một tí, ra hiệu cho anh chồng là nên nhìn quanh khách khứa trong tiệm xem ai đã ghé đến trong lúc anh ta đi qua bên kia đường."
"When this interchange of Christian name was effected, Madame Defarge, picking her teeth with her toothpick, coughed another grain of cough, and raised her eyebrows by the breadth of another line.","No bien hicieron los interlocutores el intercambio de sus nombres de pila, la señora Defarge tosió otro poquito y arqueó de nuevo las cejas.",Onlar böyle aynı isimle birbirlerine hitap ederek konuşurlarken hâlâ kürdanıyla dişini karıştıran Madam Defarge da gene hafifçe öksürüp ince bir çizgi oluşturan kaşlarını bir defa daha kaldırdı.,"Nghe cách gọi tên qua lại này, chị Defarge vẫn đang cầm tăm xỉa răng lại khẽ hắng giọng cái nữa và chân mày nhích cao thêm một chút."
"They paid for their wine, and left the place. The eyes of Monsieur Defarge were studying his wife at her knitting when the elderly gentleman advanced from his corner, and begged the favour of a word.","Pagaron los bebedores el consumo hecho, y se retiraron. Los ojos del tabernero parecían estudiar a su mujer y la calceta que estaba haciendo, cuando el caballero de edad avanzada se levantó manifestando deseos de hablar algunas palabras con Defarge.",Adamlar şaraplarının parasını ödeyip gittiler. Mösyö Defarge'ın gözleri örgüsünü ören karısının üzerindeyken yaşlı beyefendi köşesinden kalkıp yaklaştı ve onunla konuşmak istediğini söyledi.,"Ba người kia trả tiền rồi đi ra. Trong lúc anh Defarge chăm chú nhìn vợ đan len, ông già quý phái trong góc quán đi tới và xin được nói chuyện riêng."
"“Is it possible!” repeated Defarge, bitterly. “Yes. And a beautiful world we live in, when it is possible, and when many other such things are possible, and not only possible, but done—done, see you!—under that sky there, every day. Long live the Devil. Let us go on.”","—¿Posible? ¡Sería infalible, sí!—replicó con entonación amarga Defarge. —¡A fe que no podemos quejarnos de los atractivos que nos ofrece un mundo en que son posibles estas y otras atrocidades, de la hermosura de un cielo que contempla impasible los horrores que usted está viendo...! ¡El demonio nos gobierna!... ¡Viva el infierno! ¡Entremos, señor, entremos!","Defarge sertçe, ""Böyle bir şey mümkün mü?"" diye tekrar etti. ""Tabii ki. Yaşadığımız şu güzel dünyada, böyle bir şey mümkün, başka pek çok şey de mümkün, hatta mümkün olmakla kalmayıp şu göğün altında her gün gerçekten oluyor böyle şeyler –cidden oluyor! Şeytan giriyor insanın aklına. Neyse biz işimize bakalım.","− Tới mức vậy sao! - Defarge cay đắng lặp lại. - Vậy đó. Và cái thế giới ta đang sống mới tuyệt vời sao khi chuyện như vậy vẫn có thể, và khi nhiều chuyện khác tương tự cũng có thể, và không những có thể mà thực sự đã xảy ra... Đã xảy ra, ông nghe chưa!... Dưới vòm trời này, hàng ngày. Quỷ sứ vạn tuế. Ta đi tiếp nào."
"This dialogue had been held in so very low a whisper, that not a word of it had reached the young lady’s ears. But, by this time she trembled under such strong emotion, and her face expressed such deep anxiety, and, above all, such dread and terror, that Mr. Lorry felt it incumbent on him to speak a word or two of reassurance.","Tan en voz baja había sido sostenido el diálogo que queda copiado, que ni una palabra llegó a oídos de la niña. Era, empero, tan intensa la emoción que la dominaba, su rostro reflejaba tal expresión de espanto y tan viva ansiedad, que el señor Lorry creyó necesario dirigirle algunas palabras encaminadas a levantar su deprimido ánimo.","O kadar alçak sesle konuşmuşlardı ki, genç kız tek bir kelimesini bile duymadı bunların. Ama kapıya vardıklarında, böylesi yoğun bir duygunun etkisiyle tir tir titriyordu –ve yüzünde öyle derin bir endişe, dahası, korku ve telaş vardı ki, mr Lorry onu rahatlatmak için birkaç söz söyleme gereği duydu.","Hai người nói thì thào nên không lời nào đến tai cô gái. Nhưng tới lúc này thì cô đã run bần bật vì xúc động mạnh, gương mặt lộ vẻ lo lắng hết sức, và còn hơn thế, đầy khiếp đảm, hãi hùng, khiến ông Lorry cảm thấy phải có bổn phận nói đôi lời trấn an."
