en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"Aside from Eager Beaver, there are fourteen of us starting today. Fourteen of us fresh out of top-five graduate programs, and prestigious internships, and CV-beefing industry jobs accepted exclusively to look more attractive during NASA’s next round of recruitment. There’re fourteen of us, and the thirteen that aren’t me are all nodding enthusiastically.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['eager beaver'],"all programs, the of me more look round accepted and are from of Aside CV-beefing out us us that internships, industry starting exclusively to are enthusiastically. and thirteen there Fourteen Beaver, fourteen aren’t fresh of There’re attractive us, during today. nodding graduate NASA’s next jobs top-five of and recruitment. of Eager fourteen prestigious","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"The truth, though, is quite the opposite. I hated school at first sight—with the direct consequence that school hated the sullen, listless child that I was right back. In the first grade, I refused to learn how to write my name, even though Hannah is only three letters repeated twice. In junior high, I set a school record for the highest number of consecutive detention days—what happens when you decide to take a stand and not do homework for any of your classes because they are too boring, too difficult, too useless, or all of the above. Until the end of my sophomore year, I couldn’t wait to graduate and leave all of school behind: the books, the teachers, the grades, the cliques. Everything. I didn’t really have a plan for after, except for leaving now behind.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['hannah'],"the teachers, school I name, the hated decide Everything. sophomore In behind: a refused how I year, didn’t not the your of only the the all hated the sullen, my repeated happens graduate too truth, end highest the letters though, for the except take and after, stand boring, listless was is right three difficult, of grade, school for my have first or you of when child grades, first couldn’t I school for for I of write a consecutive though Until leave classes days—what they quite sight—with set all too useless, any really consequence because that even the are cliques. twice. is I now opposite. In school the leaving and books, detention I behind. do that junior to too of at wait to plan the to The a direct homework number high, above. back. to Hannah learn record","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“It’s like space is your whole personality,” the girl I casually hooked up with during most of my sophomore year of undergrad told me. It was after I explained that no, thank you, I wasn’t interested in going out for coffee to meet her friends because of a lecture on Kalpana Chawla I was planning to attend. “Do you have any other interests?” she asked. I threw her a quick “Nope,” waved good-bye, and wasn’t too surprised when, the following week, she didn’t reply to my offer to meet up. After all, I clearly couldn’t give her what she wanted.","""title"": ""Is Everyone Hanging Out Without Me? (And Other Concerns)"", ""author"": ""Mindy Kaling""",['kalpana chawla'],"on following asked. any coffee your other out clearly all, wasn’t wanted. whole a “Nope,” to I friends interests?” because couldn’t have I told personality,” the quick most year attend. Chawla didn’t her was no, girl my explained After during up. for she waved with thank lecture I meet a she hooked you I I to of was to planning her threw her “It’s of sophomore wasn’t my like too is offer It meet of surprised in interested that casually “Do after to reply up going week, good-bye, I when, she Kalpana the space me. and you, give undergrad what","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Yeah, I’m not sure.” She shrugs and continues to make her way through a Tupperware of broccoli, an apple, and approximately two fucktons of Cheez-Its. “I don’t really know much about him. His parents divorced, then people in my family had arguments and stopped talking to each other. There was a lot of prime Floyd dysfunction happening, so I haven’t actually spoken to him in years. But I heard from one of my other cousins that he was working on that thing that landed on Mars back when we were in high school. It was called something like . . . Contingency, or Carpentry, or Crudity—”","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""",['floyd'],"Floyd But my thing way and him. “I through make I two of divorced, know She arguments each other much in high . had like was family talking when called working or was landed my to prime There sure.” parents from to then I or her that to continues that actually that really him spoken Cheez-Its. Carpentry, dysfunction It Contingency, lot broccoli, haven’t and was His “Yeah, approximately people Mars fucktons other. apple, were in we on not happening, . Tupperware an stopped back school. heard I’m cousins a . he something of so on of don’t Crudity—” years. a of shrugs and one in about","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“I think so. Do the dates add up? Maybe it was some kind of summer internship? But honestly, it might just be Floyd family lore. I have an aunt who insists that we’re related to the Finnish royals, and according to Wikipedia there are no Finnish royals. So.” She shrugs and pops another handful of Cheez-Its in her mouth. “Would you like me to ask around, though? For the assignment?”","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""",['floyd'],"me be to She to Wikipedia think family an handful “Would royals, pops just who might the Finnish that Do so. we’re honestly, aunt like no have was ask add shrugs “I according summer I and the it Maybe Cheez-Its though? of But insists internship? and to there around, another So.” related you in assignment?” the up? lore. it Floyd dates mouth. of are her royals. kind Finnish For some","""title"": ""Finnish: A Novel"", ""author"": ""Unknown"""
"“By the way, I sent you my cousin-or-something’s contact info a while ago,” Mara tells me one night. We’re at the cheapest grad bar we’ve been able to find. She’s on her second Midori sour of the night. “Did you get it?”","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""",['mara'],"I to “By bar She’s while info the you second the sour on We’re at “Did sent tells cousin-or-something’s of get one find. me been it?” a we’ve cheapest night. night. contact able her grad ago,” Midori way, the my Mara you","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"He frowns, as if momentarily blanking on Mara’s name. “Ah, yes.” He nods. Only once. “Apparently,” he adds, which makes me laugh. He waits for me to take a seat across from him before folding back in his chair. I notice that he doesn’t hold out his hand, nor does he smile. Interesting. “Thank you for agreeing to meet with me.”","""title"": ""The Lunar Chronicles"", ""author"": ""Marissa Meyer""",['mara'],"Interesting. Mara’s makes hand, he frowns, which I notice in “Apparently,” meet that smile. if momentarily blanking name. doesn’t once. as across agreeing take seat does hold him his “Thank from a he back for to adds, with folding waits He “Ah, me.” his chair. you before for out yes.” laugh. nor Only to on He me he nods. He me","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“Officially: unclear. But I’m fairly sure my brother made CDs of it. Sent them to local TV stations and whatnot.” He gestures vaguely, and his forearm is dusted with freckles and pale-red hair. I want to grab his wrist, hold it in front of my eyes, study it at my leisure. Trace, smell, touch. “I haven’t spent a holiday with the Floyd side of the family in twenty years, but I’m told that the video is a source of great entertainment for all age groups at Thanksgiving.”","""title"": ""The Corrections"", ""author"": ""Jonathan Franzen""",['floyd'],"of to unclear. want brother it. spent all TV the with holiday is of haven’t for groups the vaguely, freckles whatnot.” years, local video I and I’m CDs forearm it Trace, dusted age hold source Floyd the wrist, front them Thanksgiving.” his grab twenty and fairly eyes, told He of made hair. of smell, at “Officially: with a it in touch. and is study Sent my my but in gestures that But to a I’m pale-red great leisure. “I at my stations his side sure entertainment family","""title"": ""House of Leaves"", ""author"": ""Mark Z. Danielewski"""
"The section is in C++. Which happens to be the very first language I taught myself back in high school, when every single Google search for “Skills + Necessary + NASA” led to the sad result of “Programming.” Python came after. Then SQL. Then HAL/S. For each language, I started out convinced that chewing on glass would surely be preferable. Then, at some point along the way, I began thinking in terms of functions, variables, conditional loops. A little after that, reading code became a bit like inspecting the label on the back of the conditioner bottle while showering: not particularly fun, but overall easy. I do have some talents, apparently.","""title"": ""A Big Ship at the Edge of the Universe"", ""author"": ""Alex White""",['python'],"do + talents, happens along Then on preferable. Then, not I in SQL. I bottle search every Google very little of began came while convinced school, that for functions, sad be overall became language, I in the The the point terms Then started For Python glass at when first section like the be label in easy. the thinking loops. chewing out Which language have apparently. code variables, back conditioner NASA” led some after. a of + but taught reading each bit single “Programming.” inspecting to some of fun, I result way, “Skills showering: back HAL/S. conditional to A myself Necessary that, would high after the the C++. is particularly on surely","""title"": ""A Briefer History of Time"", ""author"": ""Bill Bryson"""
"My heart rate picks up. Warmth twists in my lower stomach. I lean forward with a smile, feeling like I’m finally in my element. This, this, is what I know best. Depending on how busy I am with school, or work, or binge-watching K-dramas, I do this about once a week. Which amounts to quite a bit of practice. “Maybe I could come to your place?” I say, finding the sweet spot between comically suggestive and Let’s get together to play Cards Against Humanity. “And you could show me?”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['let'],"together in school, and my finding Which quite my your bit K-dramas, stomach. or this, could Against show comically forward you the My best. come like about me?” I spot am is do say, suggestive smile, I a to heart week. binge-watching I this element. “And sweet up. between busy to picks to finally a I how or twists rate work, place?” of feeling a Humanity. on with Warmth I lean play Depending practice. once with amounts could I’m get I lower Cards what This, know in Let’s “Maybe","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
