line_no,Single_ent,Multiple_ents,en,en_masked,vi,vi_masked,tr,tr_masked,es,es_masked,vi_translation,tr_translation,es_translation,token_count
51,,[],"“My dear fellow, I am not quite serious. But I can’t help detesting my relations. I suppose it comes from the fact that none of us can stand other people having the same faults as ourselves. I quite sympathize with the rage of the English democracy against what they call the vices of the upper orders. The masses feel that drunkenness, stupidity, and immorality should be their own special property, and that if any one of us makes an ass of himself, he is poaching on their preserves. When poor Southwark got into the divorce court, their indignation was quite magnificent. And yet I don’t suppose that ten per cent of the proletariat live correctly.”",,"“Bạn tôi ơi, tôi không nghiêm túc lắm đâu. Nhưng tôi không thể nào thôi căm ghét các mối quan hệ của mình. Tôi cho rằng do thực tế là không ai trong chúng ta có thể chịu đựng được việc người khác có các lỗi lầm giống như của chính chúng ta. Tôi hết sức thông cảm với cơn thịnh nộ của nền dân chủ Anh quốc trước cái mà họ gọi là thói hư tật xấu của giai cấp thượng lưu. Quần chúng cảm thấy rằng tật nghiện rượu, sự đần độn và thói đồi bại nên là đặc tính của riêng họ, và rằng nếu bất cứ ai trong số chúng ta mà lại đi làm trò cười cho thiên hạ thì y đã xâm phạm vào cấm địa của họ. Khi Southwark đáng thương ra tòa li hôn với vợ, sự phẫn nộ của họ thật sự là kỳ diệu. Tuy nhiên tôi không nghĩ là có được mười phần trăm tầng lớp dưới sống đúng mực.”",,"“Dostum, şaka yapıyorum. Gene de akrabalarımdan nefret etmemek elimde değil. Kendimizdeki kusurları başkalarında görmeye hiçbirimiz dayanamayız da ondan olsa gerek. İngiliz demokrasisinin, yüksek sınıfların kötü yönleri, dedikleri şeylere diş bilemesini ben çok iyi anlıyorum. Halk kitleleri ayyaşlık, aptallık, ahlaksızlık yalnızca onlara özgü olsun istiyor! Bizlerden biri kendini rezil etti mi onların özel mülküne tecavüz edilmiş gibi oluyorlar: Zavallı Southwarkcık kendini boşanma mahkemesinde bulunca halkın gösterdiği öfke harikaydı doğrusu. Oysa proletarya sınıfının onda birinin bile kusursuz yaşam sürdüğünü sanmıyorum.",,"—No hablo del todo en serio. Pero me es imposible no detestar a mi familia. Imagino que se debe a que nadie soporta a las personas que tienen sus mismos defectos. Entiendo perfectamente la indignación de la democracia inglesa ante lo que llama los vicios de las clases altas. Las masas consideran que embriaguez, estupidez e inmoralidad deben ser exclusivo patrimonio suyo, y cuando alguno de nosotros se pone en ridículo nos ven como cazadores furtivos en sus tierras. Cuando el pobre Southwark tuvo que presentarse en el Tribunal de Divorcios, la indignación de las masas fue realmente magnífica. Y, sin embargo, no creo que el diez por ciento del proletariado viva correctamente.",,"""My friend, I am not very serious. But I cannot help but hate my relationships. I suppose it is because none of us can tolerate others having the same faults as we do. I fully sympathize with the wrath of British democracy against what they call the vices of the upper class. The masses feel that alcoholism, stupidity, and depravity should be their own characteristics, and that if any of us make a fool of ourselves, we have encroached on their territory. When poor Southwark went to court to divorce his wife, their indignation was truly remarkable. However, I do not think that even ten percent of the lower class live properly.""","“My friend, I'm joking. Still, I can't help but hate my relatives. It's probably because none of us can stand seeing our own flaws in others. I understand very well the British democracy's grudge against what they call the bad traits of the upper classes. The masses want drunkenness, stupidity, and immorality to be exclusive to them! When one of us disgraces themselves, it's as if their private property has been violated: The public's outrage was truly remarkable when poor little Southwark found himself in the divorce court. Yet, I don't think even one-tenth of the proletariat lives a flawless life.”","—I'm not entirely serious. But it is impossible for me not to detest my family. I imagine it is because no one can stand people who have the same flaws as they do. I perfectly understand the indignation of English democracy at what it calls the vices of the upper classes. The masses believe that drunkenness, stupidity, and immorality should be their exclusive domain, and when one of us makes a fool of ourselves, they see us as poachers on their land. When poor Southwark had to appear in the Divorce Court, the indignation of the masses was truly magnificent. And yet, I don't think ten percent of the proletariat lives correctly.",141
121,,[],"The lad started and drew back. He was bareheaded, and the leaves had tossed his rebellious curls and tangled all their gilded threads. There was a look of fear in his eyes, such as people have when they are suddenly awakened. His finely chiselled nostrils quivered, and some hidden nerve shook the scarlet of his lips and left them trembling.",,"Chàng trai giật mình và lùi lại. Cậu để đầu trần, những chiếc lá hất tung các lọn tóc quăn bất trị và vò rối những sợi tơ mạ vàng của chúng. Có nét sợ hãi trong mắt cậu, như mọi người vẫn bị những khi họ thình lình tỉnh giấc. Đôi lỗ mũi chạm trổ tinh xảo rung lên, một sợi dây thần kinh ẩn mình nào đấy giật nhẹ đôi môi đỏ thắm của cậu và để mặc chúng run rẩy.",,"Genç adam irkilerek geriledi. Başı açıktı, ağacın yaprakları buklelerini dağıtmış, yaldızlı saç tellerini birbirine karıştırmıştı. Gözlerinde korkulu bir bakış vardı, uykudan birden uyandırılmış kişilerin gözlerindeki gibi. İnce, düzgün çizgili burun delikleri seğiriyordu, gizli bir sinir dudaklarını soldurup titretmiş gibiydi.",,"El muchacho se sobresaltó, apartándose. Llevaba la cabeza descubierta, y las hojas del arbusto le habían despeinado, enredando las hebras doradas. Había miedo en sus ojos, como sucede cuándo se despierta a alguien de repente. Le vibraron las aletas de la nariz y algún nervio escondido agitó el rojo de sus labios, haciéndolos temblar.",,"The young man was startled and stepped back. He was bareheaded, with leaves tossing his unruly curls and tangling their golden threads. There was a look of fear in his eyes, as people often have when they suddenly wake up. His finely chiseled nostrils quivered, some hidden nerve lightly tugged at his crimson lips, leaving them trembling.","The young man recoiled in shock. His head was bare, the leaves of the tree had tousled his curls and tangled his golden hair strands. There was a fearful look in his eyes, like the eyes of someone suddenly awakened from sleep. His thin, well-defined nostrils were twitching, as if a hidden nerve had drained the color from his lips and made them tremble.","The boy started, stepping back. His head was uncovered, and the leaves of the bush had tousled his hair, tangling the golden strands. There was fear in his eyes, as happens when someone is suddenly awakened. His nostrils flared and some hidden nerve twitched the red of his lips, making them tremble.",74
137,,[],"“Always! That is a dreadful word. It makes me shudder when I hear it. Women are so fond of using it. They spoil every romance by trying to make it last for ever. It is a meaningless word, too. The only difference between a caprice and a lifelong passion is that the caprice lasts a little longer.”",,“Mãi! Đó là một từ khủng khiếp. Nó khiến tôi rùng mình mỗi khi nghe thấy. Đàn bà rất thích dùng nó. Họ làm hỏng mọi chuyện tình lãng mạn bằng cách cố gắng làm cho chúng kéo dài vĩnh viễn. Nó cũng là một từ vô nghĩa nữa. Sự khác biệt duy nhất giữa sự tùy hứng và niềm đam mê trọn đời là ở chỗ sự tùy hứng kéo dài thêm được ít lâu.”,,"“Her zaman! Çok çirkin bir deyim bu. Duyar duymaz kanım donar. Kadınlar bayılırlar bunu kullanmaya. Her aşkı, sonsuza dek sürdürmeye çalışarak berbat ederler. Sözcük olarak da anlamsızdır. Bir kaprisle ebedi bir aşk arasındaki tek ayrım kaprisin biraz daha uzun ömürlü olmasıdır.",,"—¡Siempre! Terrible palabra. Hace que me estremezca cuando la oigo. Las mujeres son tan aficionadas a usarla. Echan a perder todas las historias de amor intentando que duren para siempre. Es, además, una palabra sin sentido. La única diferencia entre un capricho y una pasión para toda la vida es que el capricho dura un poco más.",,“Forever!” “That is a terrible word. It makes me shudder every time I hear it. Women love to use it. They ruin every romantic affair by trying to make it last forever. It is also a meaningless word. The only difference between a whim and a lifelong passion is that a whim lasts a little longer.”,"“Always! It's a very ugly expression. As soon as I hear it, my blood freezes. Women love to use it. They ruin every love by trying to make it last forever. As a word, it is also meaningless. The only difference between a whim and an eternal love is that the whim lasts a little longer.”","—Always! Terrible word. It makes me shudder when I hear it. Women are so fond of using it. They ruin all love stories by trying to make them last forever. It is, moreover, a meaningless word. The only difference between a whim and a lifelong passion is that the whim lasts a little longer.",69
253,,[],"Suddenly he stopped and glanced up at the houses. He found that he had passed his aunt’s some distance, and, smiling to himself, turned back. When he entered the somewhat sombre hall, the butler told him that they had gone in to lunch. He gave one of the footmen his hat and stick and passed into the dining-room.",,"Bỗng dưng y dừng lại và ngó lên các ngôi nhà. Y thấy rằng y đã đi qua nhà dì mình mấy quãng, và, tự cười với mình, quay lại. Lúc y bước vào cái sảnh hơi ảm đạm thì quản gia thưa với y rằng họ đã đi ăn rồi. Y đưa cho một người hầu cầm cái mũ và ba- toong của y, rồi đi vào phòng ăn.",,"Birden Lord Henry durdu, yandaki evlere baktı. Halasının evini epey geçtiğini görünce kendi kendine gülümseyerek geri döndü. Biraz kasvetli olan hole girdiğinde başuşak ona yemeğin başladığını bildirdi. Lord Henry şapkasıyla bastonunu uşak yamaklarından birine vererek yemek odasına girdi.",,"De repente, lord Henry se detuvo y contempló las casas que lo rodeaban. Se dio cuenta de que había dejado atrás la de su tía y, sonriendo, volvió sobre sus pasos. Cuando entró en el vestíbulo, un tanto sombrío, el mayordomo le hizo saber que los comensales ya se habían sentado a la mesa. Entregó el sombrero y el bastón a uno de los lacayos y pasó al comedor.",,"Suddenly, he stopped and looked up at the houses. He realized that he had walked past his aunt's house by several blocks, and, smiling to himself, turned back. When he stepped into the somewhat gloomy hall, the butler informed him that they had already gone to eat. He handed his hat and cane to a servant, then went into the dining room.","Suddenly, Lord Henry stopped and looked at the houses beside him. Seeing that he had passed his aunt's house by quite a bit, he turned back with a smile to himself. When he entered the somewhat gloomy hall, the head butler informed him that dinner had started. Lord Henry handed his hat and cane to one of the footmen and entered the dining room.","Suddenly, Lord Henry stopped and contemplated the houses that surrounded him. He realized that he had passed his aunt's house and, smiling, retraced his steps. When he entered the somewhat gloomy hall, the butler informed him that the diners had already sat down at the table. He handed his hat and cane to one of the footmen and proceeded to the dining room.",71
267,,[],"“Oh! but I have seen specimens of the inhabitants,” answered the duchess vaguely. “I must confess that most of them are extremely pretty. And they dress well, too. They get all their dresses in Paris. I wish I could afford to do the same.”",,"“Ồ! Nhưng tôi từng thấy vài thể loại dân đó,” nữ công tước trả lời, rất vô tâm. “Tôi phải thú nhận là phần lớn họ cực kỳ dễ thương. Và họ mặc đồ cũng đẹp nữa. Họ mua mọi món quần áo của họ ở Paris. Tôi ước gì mình có đủ khả năng làm thế.”",,"Düşes, “Ha! Ama ben oranın yerlilerinden örnekler gördüm,” diye konuştu. “Ne yalan söyleyeyim, çoğunluğu iyice alımlı. İyi de giyiniyorlar. Bütün kılıklarını Paris’ ten alıyorlar. Keşke benim durumum buna elverse!",,"—Sí, sí, pero yo he visto especímenes de sus habitantes —respondió vagamente la duquesa—. He de confesar que la mayoría de las mujeres son extraordinariamente bonitas. Y además visten bien. Compran toda la ropa en París. Me gustaría poder permitírmelo.",,"“Oh! But I have seen a few of those types of people,” the duchess replied, very carelessly. “I must admit that most of them are extremely charming. And they dress well too. They buy all their clothes in Paris. I wish I could afford to do that.”","The Duchess said, ""Ha! But I have seen examples of the natives from there."" ""To be honest, most of them are quite attractive. They also dress well. They get all their outfits from Paris. I wish my situation allowed for that!""","—Yes, yes, but I have seen specimens of its inhabitants —the duchess responded vaguely—. I must confess that most of the women are extraordinarily beautiful. And they also dress well. They buy all their clothes in Paris. I would like to be able to afford it.",54
298,,[],"“Yes,” he continued, “that is one of the great secrets of life. Nowadays most people die of a sort of creeping common sense, and discover when it is too late that the only things one never regrets are one’s mistakes.”",,"“Vâng,” y nói tiếp, “đó là một trong những bí mật vĩ đại nhất của cuộc sống. Ngày nay phần lớn mọi người chết vì một loại lương tri rón rén, và phát hiện ra lúc đã quá muộn rằng những thứ duy nhất mà người ta chẳng bao giờ hối tiếc chính là các lỗi lầm của mình.”",,"Lord Henry, “Evet,” diye ekledi. “Yaşamın büyük gizlerinden biridir bu. Şimdilerde çoğu kimse bir tür ilerlemiş sağduyu yüzünden ölüyor. İş işten geçtikten sonra ayırdına varıyorlar ki insanın pişman olmadığı tek şey hatalarıdır.",,—Sí —continuó el joven lord—; se trata de uno de los grandes secretos de la vida. En la actualidad la mayoría de la gente muere de una indigestión de sentido común y descubre cuando ya es demasiado tarde que lo único que nunca lamentamos son nuestros errores.,,"“Yes,” he continued, “that is one of the greatest secrets of life. Nowadays most people die of a creeping common sense, and discover too late that the only things one never regrets are one's mistakes.”","Lord Henry added, ""Yes."" ""It is one of the great mysteries of life. Nowadays, most people die of a sort of creeping common sense. They realize too late that the only things one never regrets are one's mistakes.""","—Yes —continued the young lord—; it is one of the great secrets of life. Nowadays, most people die of an indigestion of common sense and discover when it is already too late that the only things we never regret are our mistakes.",47
317,,[],"“I would sooner come with you; yes, I feel I must come with you. Do let me. And you will promise to talk to me all the time? No one talks so wonderfully as you do.”",,"“Tôi thích đi cùng anh hơn; vâng, tôi thấy tôi phải đi cùng anh. Hãy cho phép tôi. Và anh sẽ hứa là nói chuyện với tôi mọi lúc chứ? Không ai nói hay như anh.”",,"“Sizinle gelmeyi yeğlerim. Evet, sizinle olmak geliyor içimden. Kuzum, izin verin de geleyim. Hem de hiç durmadan benimle konuşacağınıza söz verin. Hiç kimse sizin kadar harikulade konuşamıyor.",,"—Prefiero ir con usted; sí, siento que debo ir con usted. Permítamelo. Y prometa hablarme todo el tiempo. Nadie lo hace tan bien.",,"“I prefer to go with you; yes, I feel I must go with you. Please allow me. And will you promise to talk to me all the time? No one speaks as well as you.”","“I would prefer to come with you. Yes, I feel like being with you. My dear, let me come with you. And promise me that you will talk to me without stopping. No one can talk as wonderfully as you.”","—I prefer to go with you; yes, I feel that I must go with you. Allow me. And promise to talk to me all the time. Nobody does it as well as you do.",42
350,,[],"“My dear boy, no woman is a genius. Women are a decorative sex. They never have anything to say, but they say it charmingly. Women represent the triumph of matter over mind, just as men represent the triumph of mind over morals.”",,"“Cậu bé thân mến của tôi ơi, chẳng có gái nào là thiên tài cả. Gái là giới tính để làm cảnh. Họ chẳng bao giờ có gì để nói, nhưng họ lại nói chuyện rất duyên. Gái đại diện cho chiến thắng của vật chất trước tinh thần, đúng như trai đại diện cho chiến thắng của tinh thần trước luân lý.”",,"“Sevgili yavrum, hiçbir kadın büyük yetenek olamaz. Kadınlar süs için yaratılmış bir cinstirler. Hiçbir zaman söyleyecek bir şeyleri yoktur, ama pek tatlı söylerler bunu. Kadınlar fiziğin zihin üstündeki yengisini simgelerler, nasıl ki erkekler de zihnin ahlak üstündeki yengisinin simgeleridir.",,"—Mi querido muchacho, ninguna mujer es un genio. Las mujeres son un sexo decorativo. Nunca tienen nada que decir, pero lo dicen encantadoramente. Representan el triunfo de la materia sobre la mente, de la misma manera que los hombres representan el triunfo de la mente sobre la moral.",,"“My dear boy, there are no girls who are geniuses. Girls are the gender meant for display. They never have anything to say, but they speak very charmingly. Girls represent the triumph of matter over spirit, just as boys represent the triumph of spirit over morality.”","“My dear child, no woman can be a great talent. Women are a gender created for adornment. They never have anything to say, but they say it very sweetly. Women symbolize the triumph of the physical over the mind, just as men symbolize the triumph of the mind over morality.”","—My dear boy, no woman is a genius. Women are a decorative sex. They never have anything to say, but they say it charmingly. They represent the triumph of matter over mind, in the same way that men represent the triumph of mind over morals.",50
379,,[],"“Then he asked me if I wrote for any of the newspapers. I told him I never even read them. He seemed terribly disappointed at that, and confided to me that all the dramatic critics were in a conspiracy against him, and that they were every one of them to be bought.”",,"“Sau đó lão hỏi tôi có phải tôi viết cho tờ báo nào đó không. Tôi bảo lão rằng tôi chưa bao giờ thậm chí là đọc chúng. Lão dường như thất vọng ghê gớm với việc ấy, và tâm sự với tôi rằng mọi nhà phê bình kịch nghệ đang tham gia vào một âm mưu hống lại lão, và rằng họ là cái bọn mà đứa nào cũng bị mua.”",,"“Sonra bana gazeteci olup olmadığımı sordu. Ben de gazete okumadığımı söyledim. Adam bunu duyunca çok büyük hayal kırıklığına uğradı, besbelli. Bütün tiyatro eleştirmenlerinin ona karşı komplo kurduklarını, hepsinin de hiç ayrımsız satılık olduklarını anlattı bana.",,"—Luego me preguntó si escribía para algún periódico. Le dije que nunca los leía. Pareció terriblemente decepcionado al oírlo, y me confesó que todos los críticos teatrales le eran hostiles y que a todos se los podía comprar.",,"“Then he asked me if I wrote for any newspaper. I told him that I had never even read them. He seemed terribly disappointed by that, and confided in me that all the theater critics were part of a conspiracy against him, and that they were all bought.”","“Then he asked me if I was a journalist. I told him that I didn't read newspapers. When he heard this, he was very disappointed, obviously. He told me that all theater critics were conspiring against him, and that they were all, without exception, for sale.”","—Then he asked me if I wrote for any newspaper. I told him that I never read them. He seemed terribly disappointed to hear that, and he confessed to me that all the theater critics were hostile to him and that they could all be bought.",59
423,,[],"He began to wonder whether we could ever make psychology so absolute a science that each little spring of life would be revealed to us. As it was, we always misunderstood ourselves and rarely understood others. Experience was of no ethical value. It was merely the name men gave to their mistakes. Moralists had, as a rule, regarded it as a mode of warning, had claimed for it a certain ethical efficacy in the formation of character, had praised it as something that taught us what to follow and showed us what to avoid. But there was no motive power in experience. It was as little of an active cause as conscience itself. All that it really demonstrated was that our future would be the same as our past, and that the sin we had done once, and with loathing, we would do many times, and with joy.",,"Y bắt đầu tự hỏi không biết ta có thể biến tâm lý học thành một môn khoa học thuần túy để mỗi vết nứt nhỏ của đời đều bị lộ ra trước ta hay không. Tuy nhiên ta luôn hiểu lầm về mình và hiếm khi hiểu được người khác. Kinh nghiệm không có giá trị luân thường đạo lý nào cả. Nó chỉ là cái tên mà con người gán cho các lỗi lầm của mình. Các nhà đạo đức học, theo lệ thường, xem nó như một phương thức cảnh báo, đã đòi cho nó một hiệu lực luân lý nhất định trong sự hình thành tính cách, đã tán dương nó như thứ gì đó dạy ta biết điều gì nên theo đuổi và cho ta thấy điều gì nên tránh. Nhưng không có động lực nào trong kinh nghiệm. Nó cũng ít mục đích tích cực như chính lương tâm. Mọi điều mà nó thật sự chứng minh được chỉ là tương lai ta cũng chẳng khác gì quá khứ ta, và cái tội lỗi mà ta từng có lần phạm phải, cùng với nỗi kinh tởm, thì ta vẫn sẽ phạm tiếp nhiều lần nữa, mà với niềm vui.",,"Lord Henry merak etmeye başlamıştı: Acaba psikolojiyi alabildiğine kesin, mutlak bir bilim dalı haline getirerek en küçük yaşam pınarlarının bile göz önüne serilmesini sağlamak elimizde miydi? Şu durumda kendi kendimizi hep yanlış anlıyor, başkalarını da pek seyrek anlayabiliyorduk. Deneyim denen şey etik yönden bir değer taşımıyordu. İnsanların hatalarına verdikleri bir addan ibaretti. Ahlakçılar genel olarak bunu bir tür uyarı saymışlar, kişiliğin gelişmesinde etik bir yararı olduğunu ileri sürmüşler, neyi izleyip neden kaçınacağımıza ilişkin bir işaret diye övünmüşlerdi. Şu var ki deneyimde itici güç yoktu. Oynadığı etkin rol vicdanın rolü kadar önemsizdi. Ortaya koyduğu tek gerçek, geleceğimizin de geçmişimize eş olacağıydı; bundan önce bir kez, tiksinerek işlediğimiz günahı bundan böyle birçok kez işleyecektik, hem de seve seve.",,"Empezó a preguntarse si alguna vez se conseguiría hacer de la psicología una ciencia tan exacta que fuese capaz de revelarnos hasta el último manantial de la vida. Mientras tanto, siempre nos equivocamos sobre nosotros mismos y raras veces entendemos a los demás. La experiencia carece de valor ético. Es sencillamente el nombre que dan los hombres a sus errores. Por regla general los moralistas la consideran una advertencia, reclaman para ella cierta eficacia ética en la formación del carácter, la alaban como algo que nos enseña qué camino hemos de seguir y qué abismos evitar. Pero la experiencia carece de fuerza determinante. Tiene tan poco de causa activa como la misma conciencia. Lo único que realmente demuestra es que nuestro futuro será igual a nuestro pasado, y que el pecado que hemos cometido una vez, y con amargura, lo repetiremos muchas veces, y con alegría.",,"Y began to wonder if it was possible to turn psychology into a pure science so that every small crack in life would be exposed before us. However, we always misunderstand ourselves and rarely understand others. Experience has no moral value at all. It is merely the name people give to their mistakes. Ethicists, as usual, see it as a warning method, demand a certain moral efficacy in character formation for it, and praise it as something that teaches us what to pursue and shows us what to avoid. But there is no motivation in experience. It has as little positive purpose as conscience itself. All it truly proves is that our future will be no different from our past, and the sin we once committed with disgust, we will continue to commit many times more, but with joy.","Lord Henry had begun to wonder: Was it within our power to turn psychology into an absolutely precise and definitive science, thereby ensuring that even the smallest springs of life were laid bare? In that case, we were always misunderstanding ourselves and rarely understanding others. What was called experience had no ethical value. It was merely a name people gave to their mistakes. Moralists generally considered it a kind of warning, claimed it had an ethical benefit in the development of personality, and boasted that it was a sign of what to follow and what to avoid. However, there was no driving force in experience. The active role it played was as insignificant as the role of conscience. The only truth it revealed was that our future would be equal to our past; we would commit the sin we once committed with disgust many times in the future, and this time with pleasure.","He began to wonder if psychology would ever become such an exact science that it could reveal to us the very last spring of life. Meanwhile, we always make mistakes about ourselves and rarely understand others. Experience lacks ethical value. It is simply the name men give to their errors. Generally, moralists consider it a warning, claim for it some ethical efficacy in character formation, and praise it as something that teaches us which path to follow and which abysses to avoid. But experience lacks determining force. It has as little active cause as conscience itself. The only thing it really proves is that our future will be the same as our past, and that the sin we have committed once, and with bitterness, we will repeat many times, and with joy.",167
