Book,Character List,Count,correct_guesses,accuracy,en
1984,"('eurasia', 'smit', 'smith', 'tim winston', 'winston', 'winston smith', ""winston'ın"", 'wiston')",35,433,0.4758241758241758,526
1984,"(""o'brien"",)",14,31,0.08516483516483517,205
1984,"('here', 'julia')",4,6,0.057692307692307696,871
1984,"('bayan parsons', 'parsons', 'señora parsons')",3,4,0.05128205128205128,40
1984,"('tom',)",1,3,0.11538461538461539,51
1984,"('katharine', ""katharine'in"", 'katherine')",1,0,0.0,17
1984,"('goldstein', 'huynh đ')",1,3,0.11538461538461539,37
A_Tale_of_Two_Cities,"('doktor manette', 'dr manette', 'luci', 'lucie', 'lucía', 'mane', 'manette', 'miss manette', 'señorita manette')",29,164,0.21750663129973474,167
A_Tale_of_Two_Cities,"('carton', 'carton-replicó lorry', 'dios-dijo lorry', 'jarvis lorr', 'jarvis lorry', 'lorr', 'lorry', 'mauricio lorry', 'mr jarvis lorry', 'mr lorry', 'señor lorry')",21,53,0.09706959706959707,369
A_Tale_of_Two_Cities,"('carlos', 'carlos darnay', 'charles', 'charles darnay', 'darna', 'darnay', 'mr darnay')",18,49,0.1047008547008547,148
A_Tale_of_Two_Cities,"('defarge', 'madam defarge', 'madame defarge', 'monsieur defarge', 'mösyö defarge', 'señora defarge')",17,112,0.25339366515837103,311
A_Tale_of_Two_Cities,"('miss pross', 'pross')",5,3,0.023076923076923078,162
A_Tale_of_Two_Cities,"('gabelle', 'gambelle', 'monsieur gabelle', 'mösyö gabelle', 'señor gabelle')",3,5,0.0641025641025641,29
A_Tale_of_Two_Cities,"('mr stryver', 'stryver', 'sydney')",3,11,0.14102564102564102,108
A_Tale_of_Two_Cities,"('jeremías lapa', 'jerry')",1,0,0.0,108
A_Tale_of_Two_Cities,"('marqués', 'monsieur the marquis', 'mösyö marki', 'ngài hu')",1,4,0.15384615384615385,29
A_Tale_of_Two_Cities,"('evrémond', 'evrémonde', 'yurttaş evremonde')",1,3,0.11538461538461539,46
A_Tale_of_Two_Cities,"('lucie darnay', 'lucía darnay')",1,0,0.0,1
A_thousand_splendid_suns,"('lail', 'laila', 'leyla', 'leyla co')",9,2,0.008547008547008548,1093
A_thousand_splendid_suns,"('mariam', 'mariam hiu', 'mariam jo', 'meryem', 'meryem co', 'meryem gari')",8,7,0.03365384615384615,1044
A_thousand_splendid_suns,"('rasheed', 'rashid', 'raşit')",8,1,0.004807692307692308,375
A_thousand_splendid_suns,"('iariq', 'peştun', 'tariq', 'tarık')",6,12,0.07692307692307693,344
A_thousand_splendid_suns,"('celil', 'celil han', 'chính jalil khan', 'jalil', 'jalil khan', 'mil', 'yalil', 'yalil jan')",6,0,0.0,201
A_thousand_splendid_suns,"('zalma', 'zalmai', 'zalmay')",2,0,0.0,110
A_thousand_splendid_suns,"('bibi', 'bibi co', 'bibi jo')",1,16,0.6153846153846154,11
A_thousand_splendid_suns,"('nana',)",1,1,0.038461538461538464,128
A_thousand_splendid_suns,"('lili', 'lili lili', 'lili mi')",1,0,0.0,5
A_thousand_splendid_suns,"('faizu', 'faizulá', 'molla feyzullah', 'mullah faizullah')",1,0,0.0,41
A_thousand_splendid_suns,"('nargis', 'nergis')",1,0,0.0,7
A_thousand_splendid_suns,"('alyona',)",1,0,0.0,11
A_thousand_splendid_suns,"('abdul sharif', 'abdül şerif')",1,0,0.0,12
A_thousand_splendid_suns,"('hamza', 'hamza uzunca')",1,0,0.0,19
Adventures_of_Huckleberry_Finn,"('cairo', 'jim', 'jim turner')",46,433,0.3620401337792642,379
Adventures_of_Huckleberry_Finn,"('tom', 'tom sawyer', 'tommy barnes', 'tow sawyer')",16,232,0.5576923076923077,273
Adventures_of_Huckleberry_Finn,"('buc', 'buck', 'buck harkness', 'buck harne')",5,25,0.19230769230769232,52
Adventures_of_Huckleberry_Finn,"('tha', 'thatcher', 'yargıç thatcher')",3,37,0.47435897435897434,1353
Adventures_of_Huckleberry_Finn,"('bayan watson', 'watson')",3,54,0.6923076923076923,25
Adventures_of_Huckleberry_Finn,"('mary jan', 'mary jane')",3,27,0.34615384615384615,45
Adventures_of_Huckleberry_Finn,"('willia', 'william')",2,9,0.17307692307692307,23
Adventures_of_Huckleberry_Finn,"('bay peter wilks', 'peter wilks')",2,1,0.019230769230769232,8
Adventures_of_Huckleberry_Finn,"('aunt sally', 'sally', 'sally teyze', 'saly')",2,9,0.17307692307692307,49
Adventures_of_Huckleberry_Finn,"('moisés', 'moses', 'musa')",1,0,0.0,4
Adventures_of_Huckleberry_Finn,"('bay bradish', 'bradish', 'misto bradish')",1,0,0.0,1
Adventures_of_Huckleberry_Finn,"('bayan charlotte', 'charlo', 'charlotte')",1,0,0.0,2
Adventures_of_Huckleberry_Finn,"('joh', 'john')",1,0,0.0,2
Adventures_of_Huckleberry_Finn,"('bayan hooker', 'hooker')",1,0,0.0,8
Adventures_of_Huckleberry_Finn,"('abner moore',)",1,9,0.34615384615384615,2
Adventures_of_Huckleberry_Finn,"('albay sherburn', 'colonel sherburn', 'sherburn')",1,1,0.038461538461538464,16
Adventures_of_Huckleberry_Finn,"('ricardo iii', 'richard', 'richard iii')",1,0,0.0,6
Adventures_of_Huckleberry_Finn,"('huck',)",1,3,0.11538461538461539,104
Adventures_of_Huckleberry_Finn,"('aguassucias', 'bilgewater', 'bridgewater')",1,0,0.0,10
Adventures_of_Huckleberry_Finn,"('harvey',)",1,0,0.0,22
Adventures_of_Huckleberry_Finn,"('elizabeth', 'lizabeth')",1,2,0.07692307692307693,2
Adventures_of_Huckleberry_Finn,"('barley', 'bartley', 'bayan bartley')",1,0,0.0,3
Adventures_of_Huckleberry_Finn,"('susan',)",1,0,0.0,10
Adventures_of_Huckleberry_Finn,"('levi bell', 'levi ben')",1,1,0.038461538461538464,5
Adventures_of_Huckleberry_Finn,"('tim collins',)",1,0,0.0,1
Adventures_of_Huckleberry_Finn,"('hines',)",1,0,0.0,6
