Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['mauricio', 'jarvis lorry', 'lorr', 'mr jarvis lorry', 'mr', 'mauricio lorry', 'jarvis', 'lorry', 'jarvis lorr']",tellson,0,0.36,incorrect,barclays,0,0.45,incorrect,tellson,0,0.36,incorrect,jesus,0,0.36,incorrect,tellson,0,0.36,incorrect,god,0,0.29,incorrect,te manahune,0,0.32,incorrect,te manahune,0,0.32,incorrect,telecom,0,0.36,incorrect,william shakespeare,0,0.29,incorrect,barclays,0,0.45,incorrect,bankin,0,0.33,incorrect,barclays,0,0.45,incorrect,jesus,0,0.36,incorrect,god,0,0.29,incorrect,te manahune,0,0.32,incorrect,william shakespeare,0,0.29,incorrect,bankin,0,0.33,incorrect,tellson,0,0.36,incorrect,wellington,0,0.29,incorrect,tellson,0,0.36,incorrect,bayan,0,0.24,incorrect,ngan hang tellson,0,0.31,incorrect,ngan,0,0.2,incorrect,gerente,0,0.22,incorrect,shakespeare,0,0.27,incorrect,wellington,0,0.29,incorrect,bayan,0,0.24,incorrect,ngan,0,0.2,incorrect,shakespeare,0,0.27,incorrect
"['lorry', 'mr lorry', 'mr']",charles dickens,0,0.17,incorrect,charles darwin,0,0.27,incorrect,charles dickens,0,0.17,incorrect,charles darwin,0,0.27,incorrect,charles darwin,0,0.27,incorrect,botswana,0,0.15,incorrect,shakespeare,0,0.15,incorrect,wellington,0,0.27,incorrect,jonah,0,0.2,incorrect,atlantis,0,0.15,incorrect,charles darwin,0,0.27,incorrect,david,0,0.0,incorrect,charles darwin,0,0.27,incorrect,charles darwin,0,0.27,incorrect,botswana,0,0.15,incorrect,wellington,0,0.27,incorrect,atlantis,0,0.15,incorrect,david,0,0.0,incorrect,magwitch,0,0.2,incorrect,turner,0,0.36,incorrect,defoe,0,0.2,incorrect,jack london,0,0.32,incorrect,duc,0,0.0,incorrect,dover,0,0.4,incorrect,robinson crusoe,0,0.26,incorrect,dover,0,0.4,incorrect,turner,0,0.36,incorrect,jack london,0,0.32,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect
"['manette', 'miss manette', 'miss']",anna,0,0.36,incorrect,abel,0,0.36,incorrect,oliver twist,0,0.33,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham lincoln,0,0.22,incorrect,adam,0,0.25,incorrect,charlie chaplin,0,0.3,incorrect,mr. rochester,0,0.4,incorrect,job,0,0.0,incorrect,manana,0,0.46,incorrect,abel,0,0.36,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,mr. rochester,0,0.4,incorrect,manana,0,0.46,incorrect,jarndyce,0,0.4,incorrect,manager,0,0.57,incorrect,pinokyo,0,0.21,incorrect,bay,0,0.2,incorrect,dang,0,0.36,incorrect,thu,0,0.2,incorrect,estefania,0,0.38,incorrect,senorita,0,0.3,incorrect,manager,0,0.57,incorrect,bay,0,0.2,incorrect,thu,0,0.2,incorrect,senorita,0,0.3,incorrect
"['lorry', 'mr lorry', 'mr']",santa,0,0.0,incorrect,israel,0,0.29,incorrect,oliver twist,0,0.24,incorrect,abraham,0,0.22,incorrect,modimoeng,0,0.24,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,adam,0,0.33,incorrect,defoe,0,0.2,incorrect,heathcliff,0,0.13,incorrect,job,0,0.25,incorrect,jereo,0,0.31,incorrect,israel,0,0.29,incorrect,abraham,0,0.22,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,heathcliff,0,0.13,incorrect,jereo,0,0.31,incorrect,provis,0,0.29,incorrect,telemann,0,0.2,incorrect,robinson crusoe,0,0.26,incorrect,hz. isa,0,0.13,incorrect,hamlet,0,0.29,incorrect,duc,0,0.0,incorrect,sancho,0,0.18,incorrect,ulises,0,0.18,incorrect,telemann,0,0.2,incorrect,hz. isa,0,0.13,incorrect,duc,0,0.0,incorrect,ulises,0,0.18,incorrect
"['lorry', 'mr lorry', 'mr']",abel,0,0.22,incorrect,israel,0,0.29,incorrect,oliver twist,0,0.24,incorrect,brown,0,0.31,incorrect,shakespeare,0,0.15,incorrect,barclays,0,0.38,incorrect,abraham,0,0.22,incorrect,abraham,0,0.22,incorrect,shylock holmes,0,0.21,incorrect,shylock,0,0.33,incorrect,bank of america,0,0.26,incorrect,jeremiah,0,0.2,incorrect,israel,0,0.29,incorrect,brown,0,0.31,incorrect,barclays,0,0.38,incorrect,abraham,0,0.22,incorrect,shylock,0,0.33,incorrect,jeremiah,0,0.2,incorrect,banker,0,0.25,incorrect,heathcliff,0,0.13,incorrect,heathcliff,0,0.13,incorrect,bankaci,0,0.0,incorrect,thuy kieu,0,0.14,incorrect,dong trang,0,0.27,incorrect,shylock,0,0.33,incorrect,maria,0,0.57,incorrect,heathcliff,0,0.13,incorrect,bankaci,0,0.0,incorrect,dong trang,0,0.27,incorrect,maria,0,0.57,incorrect
"['madame', 'señora defarge', 'madame defarge', 'señora', 'madam defarge', 'madam', 'defarge']",abel,0,0.4,incorrect,senatla,0,0.62,incorrect,oduduwa,0,0.33,incorrect,jesus,0,0.18,incorrect,esther,0,0.5,incorrect,esther,0,0.5,incorrect,abraham lincoln,0,0.3,incorrect,obama,0,0.4,incorrect,madame loisel,0,0.63,incorrect,charlotte,0,0.38,incorrect,abraham lincoln,0,0.3,incorrect,abrahamy,0,0.46,incorrect,senatla,0,0.62,incorrect,jesus,0,0.18,incorrect,esther,0,0.5,incorrect,obama,0,0.4,incorrect,charlotte,0,0.38,incorrect,abrahamy,0,0.46,incorrect,mrs. snagsby,0,0.33,incorrect,madame defarge,1,1.0,correct,bayan,0,0.4,incorrect,abraham lincoln,0,0.3,incorrect,nguyen thi,0,0.25,incorrect,do huu vi,0,0.18,incorrect,sancha,0,0.5,incorrect,marido,0,0.55,incorrect,madame defarge,1,1.0,correct,abraham lincoln,0,0.3,incorrect,do huu vi,0,0.18,incorrect,marido,0,0.55,incorrect
"['madame', 'señora defarge', 'madame defarge', 'señora', 'madam defarge', 'madam', 'defarge']",abel,0,0.4,incorrect,abraham lincoln,0,0.3,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,themba,0,0.36,incorrect,israel,0,0.5,incorrect,jesus,0,0.18,incorrect,christ,0,0.17,incorrect,oliver twist,0,0.23,incorrect,newton,0,0.33,incorrect,adam,0,0.89,correct,adam,0,0.89,correct,abraham lincoln,0,0.3,incorrect,jesus,0,0.18,incorrect,israel,0,0.5,incorrect,christ,0,0.17,incorrect,newton,0,0.33,incorrect,adam,0,0.89,correct,madame defarge,1,1.0,correct,christian,0,0.27,incorrect,pinokyo,0,0.31,incorrect,shakespeare,0,0.48,incorrect,ngoc,0,0.4,incorrect,nghe,0,0.36,incorrect,fortunata,0,0.4,incorrect,zeus,0,0.2,incorrect,christian,0,0.27,incorrect,shakespeare,0,0.48,incorrect,nghe,0,0.36,incorrect,zeus,0,0.2,incorrect
"['mösyö defarge', 'mösyö', 'monsieur', 'defarge', 'monsieur defarge']",israel,0,0.36,incorrect,abel,0,0.36,incorrect,abraham,0,0.29,incorrect,jesus,0,0.31,incorrect,esther,0,0.43,incorrect,israel,0,0.36,incorrect,adam,0,0.36,incorrect,abraham,0,0.29,incorrect,abraham lincoln,0,0.26,incorrect,shakespeare,0,0.44,incorrect,abrahamy,0,0.31,incorrect,adam,0,0.36,incorrect,abel,0,0.36,incorrect,jesus,0,0.31,incorrect,israel,0,0.36,incorrect,abraham,0,0.29,incorrect,shakespeare,0,0.44,incorrect,adam,0,0.36,incorrect,defarge,1,1.0,correct,husband,0,0.2,incorrect,madam bovary,0,0.35,incorrect,karisi,0,0.31,incorrect,duc,0,0.2,incorrect,nguyen,0,0.31,incorrect,el tabernero,0,0.42,incorrect,don quijote,0,0.42,incorrect,husband,0,0.2,incorrect,karisi,0,0.31,incorrect,nguyen,0,0.31,incorrect,don quijote,0,0.42,incorrect
['defarge'],morena,0,0.31,incorrect,long,0,0.18,incorrect,lucifer,0,0.29,incorrect,jesus,0,0.17,incorrect,long gone demo,0,0.19,incorrect,jesus,0,0.17,incorrect,lucifer,0,0.29,incorrect,diabolo,0,0.29,incorrect,voltaire,0,0.4,incorrect,god,0,0.2,incorrect,job,0,0.0,incorrect,adam,0,0.36,incorrect,long,0,0.18,incorrect,jesus,0,0.17,incorrect,jesus,0,0.17,incorrect,diabolo,0,0.29,incorrect,god,0,0.2,incorrect,adam,0,0.36,incorrect,heathcliff,0,0.24,incorrect,god,0,0.2,incorrect,seytan,0,0.31,incorrect,platon,0,0.15,incorrect,duc,0,0.2,incorrect,thales,0,0.31,incorrect,belcebu,0,0.29,incorrect,diablo,0,0.31,incorrect,god,0,0.2,incorrect,platon,0,0.15,incorrect,thales,0,0.31,incorrect,diablo,0,0.31,incorrect
"['lorry', 'mr lorry', 'mr']",seleka,0,0.18,incorrect,seleka,0,0.18,incorrect,abraham,0,0.22,incorrect,jesus,0,0.0,incorrect,abel,0,0.22,incorrect,jesus,0,0.0,incorrect,adam,0,0.33,incorrect,abraham,0,0.22,incorrect,abraham lincoln,0,0.35,incorrect,shakespeare,0,0.15,incorrect,adam,0,0.33,incorrect,abrahamy,0,0.31,incorrect,seleka,0,0.18,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,abraham,0,0.22,incorrect,shakespeare,0,0.15,incorrect,abrahamy,0,0.31,incorrect,heathcliff,0,0.13,incorrect,emmeline,0,0.25,incorrect,bay ham,0,0.22,incorrect,hamlet,0,0.29,incorrect,duc,0,0.0,incorrect,thuy kieu,0,0.14,incorrect,don alvaro,0,0.33,incorrect,shakespeare,0,0.15,incorrect,emmeline,0,0.25,incorrect,hamlet,0,0.29,incorrect,thuy kieu,0,0.14,incorrect,shakespeare,0,0.15,incorrect
