Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['alicia', 'alice']",alice,1,1.0,correct,michael,0,0.5,incorrect,alice,1,1.0,correct,mo,0,0.0,incorrect,alice,1,1.0,correct,ke,0,0.29,incorrect,alice,1,1.0,correct,noa,0,0.25,incorrect,alice,1,1.0,correct,rahul,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,ahmet,0,0.4,incorrect,alice,1,1.0,correct,co,0,0.29,incorrect,alice,1,1.0,correct,alicia,1,1.0,correct,ahmet,0,0.4,incorrect,co,0,0.29,incorrect,michael,0,0.5,incorrect,mo,0,0.0,incorrect,ke,0,0.29,incorrect,noa,0,0.25,incorrect,rahul,0,0.4,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",alice,1,1.0,correct,noah,0,0.22,incorrect,alice,1,1.0,correct,mu mi,0,0.2,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,james,0,0.4,incorrect,mai,0,0.5,incorrect,alice,1,1.0,correct,me,0,0.29,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,ama,0,0.44,incorrect,alice,1,1.0,correct,khong du thong tin,0,0.09,incorrect,alice,1,1.0,correct,alicia,1,1.0,correct,ama,0,0.44,incorrect,khong du thong tin,0,0.09,incorrect,noah,0,0.22,incorrect,mu mi,0,0.2,incorrect,alice,1,1.0,correct,mai,0,0.5,incorrect,me,0,0.29,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",alice,1,1.0,correct,mme,0,0.25,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,"it is challenging to deduce the exact name from the provided passage as it does not explicitly offer proper contextual clues. therefore, i would guess ""anna"" given the common linguistic tendencies.",0,0.06,incorrect,ke,0,0.29,incorrect,tom,0,0.0,incorrect,teva,0,0.22,incorrect,alice,1,1.0,correct,jigyasu,0,0.31,incorrect,alice,1,1.0,correct,sara,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,dios,0,0.22,incorrect,alice,1,1.0,correct,halim,0,0.6,incorrect,alice,1,1.0,correct,croke,0,0.4,incorrect,alice,1,1.0,correct,dios,0,0.22,incorrect,halim,0,0.6,incorrect,croke,0,0.4,incorrect,mme,0,0.25,incorrect,alice,1,1.0,correct,ke,0,0.29,incorrect,teva,0,0.22,incorrect,jigyasu,0,0.31,incorrect,sara,0,0.4,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,mary,0,0.22,incorrect,alice,1,1.0,correct,michael,0,0.5,incorrect,alice,1,1.0,correct,me,0,0.29,incorrect,alice,1,1.0,correct,amu,0,0.25,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,co,0,0.29,incorrect,alice,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,co,0,0.29,incorrect,mary,0,0.22,incorrect,michael,0,0.5,incorrect,me,0,0.29,incorrect,amu,0,0.25,incorrect,alice,1,1.0,correct,alice,1,1.0,correct
"['alicia', 'alice']",alice,1,1.0,correct,keletso,0,0.33,incorrect,john,0,0.0,incorrect,ona,0,0.25,incorrect,keletso,0,0.33,incorrect,none,0,0.22,incorrect,jesus,0,0.2,incorrect,maria,0,0.55,incorrect,alice,1,1.0,correct,hope,0,0.22,incorrect,alice,1,1.0,correct,not enough context to determine a specific name,0,0.15,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,dogal,0,0.4,incorrect,alice,1,1.0,correct,co,0,0.29,incorrect,alice,1,1.0,correct,alicia,1,1.0,correct,dogal,0,0.4,incorrect,co,0,0.29,incorrect,keletso,0,0.33,incorrect,ona,0,0.25,incorrect,none,0,0.22,incorrect,maria,0,0.55,incorrect,hope,0,0.22,incorrect,not enough context to determine a specific name,0,0.15,incorrect
['dodo'],nkosi,0,0.22,incorrect,unknown,0,0.18,incorrect,adebayo,0,0.36,incorrect,mo,0,0.33,incorrect,john,0,0.25,incorrect,eno,0,0.29,incorrect,jesus,0,0.0,incorrect,tura,0,0.0,incorrect,ram,0,0.0,incorrect,ram,0,0.0,incorrect,speaker,0,0.0,incorrect,rasoa,0,0.22,incorrect,walrus,0,0.0,incorrect,smith,0,0.0,incorrect,presidente,0,0.14,incorrect,juan,0,0.0,incorrect,mask,0,0.0,incorrect,ben,0,0.0,incorrect,nam,0,0.0,incorrect,trinh,0,0.0,incorrect,smith,0,0.0,incorrect,juan,0,0.0,incorrect,ben,0,0.0,incorrect,trinh,0,0.0,incorrect,unknown,0,0.18,incorrect,mo,0,0.33,incorrect,eno,0,0.29,incorrect,tura,0,0.0,incorrect,ram,0,0.0,incorrect,rasoa,0,0.22,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,john,0,0.0,incorrect,ola,0,0.44,incorrect,no clear name discernible,0,0.27,incorrect,kgosi,0,0.2,incorrect,tshepo,0,0.18,incorrect,maria,0,0.55,incorrect,te,0,0.29,incorrect,kamfit,0,0.36,incorrect,charu,0,0.36,incorrect,alice,1,1.0,correct,soa,0,0.25,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,habia,0,0.55,incorrect,ahmet,0,0.4,incorrect,tam,0,0.25,incorrect,trao,0,0.22,incorrect,co,0,0.29,incorrect,alice,1,1.0,correct,habia,0,0.55,incorrect,tam,0,0.25,incorrect,co,0,0.29,incorrect,john,0,0.0,incorrect,no clear name discernible,0,0.27,incorrect,tshepo,0,0.18,incorrect,te,0,0.29,incorrect,charu,0,0.36,incorrect,soa,0,0.25,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,thimble,0,0.33,incorrect,peter,0,0.2,incorrect,sola,0,0.4,incorrect,john,0,0.0,incorrect,le,0,0.57,incorrect,mana'o,0,0.33,incorrect,maria,0,0.55,incorrect,alice,1,1.0,correct,thimble,0,0.33,incorrect,alice,1,1.0,correct,thimble,0,0.33,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,don quijote,0,0.25,incorrect,ali,0,0.75,correct,ahmet,0,0.4,incorrect,lan,0,0.44,incorrect,lan,0,0.44,incorrect,alice,1,1.0,correct,don quijote,0,0.25,incorrect,ahmet,0,0.4,incorrect,lan,0,0.44,incorrect,thimble,0,0.33,incorrect,sola,0,0.4,incorrect,le,0,0.57,incorrect,maria,0,0.55,incorrect,thimble,0,0.33,incorrect,thimble,0,0.33,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,lebohang,0,0.31,incorrect,oriire,0,0.36,incorrect,oriire,0,0.36,incorrect,lesego,0,0.36,incorrect,kaelo,0,0.4,incorrect,tahiri,0,0.5,incorrect,no guess,0,0.15,incorrect,alice,1,1.0,correct,unknown,0,0.0,incorrect,alice,1,1.0,correct,soa,0,0.25,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,rasim,0,0.4,incorrect,ali,0,0.75,correct,alice,1,1.0,correct,hung,0,0.0,incorrect,alice,1,1.0,correct,alicia,1,1.0,correct,ali,0,0.75,correct,hung,0,0.0,incorrect,lebohang,0,0.31,incorrect,oriire,0,0.36,incorrect,kaelo,0,0.4,incorrect,no guess,0,0.15,incorrect,unknown,0,0.0,incorrect,soa,0,0.25,incorrect
"['alicia', 'alice']",bohlale,0,0.5,incorrect,<output>oho,0,0.0,incorrect,peter,0,0.2,incorrect,bawo,0,0.22,incorrect,ao,0,0.29,incorrect,mary,0,0.22,incorrect,peter,0,0.2,incorrect,nahea,0,0.4,incorrect,munshi,0,0.18,incorrect,ram,0,0.25,incorrect,john,0,0.0,incorrect,ry,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,maria,0,0.55,incorrect,mustafa,0,0.31,incorrect,ahmet,0,0.4,incorrect,linh,0,0.44,incorrect,ngoc,0,0.22,incorrect,alice,1,1.0,correct,maria,0,0.55,incorrect,ahmet,0,0.4,incorrect,ngoc,0,0.22,incorrect,<output>oho,0,0.0,incorrect,bawo,0,0.22,incorrect,mary,0,0.22,incorrect,nahea,0,0.4,incorrect,ram,0,0.25,incorrect,ry,0,0.0,incorrect
