Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['chad'],alex,0,0.25,incorrect,sarah,0,0.22,incorrect,sarah,0,0.22,incorrect
['chad'],james,0,0.22,incorrect,hope,0,0.25,incorrect,hope,0,0.25,incorrect
['chad'],jake,0,0.25,incorrect,hope,0,0.25,incorrect,hope,0,0.25,incorrect
['chad'],john,0,0.25,incorrect,griffon,0,0.0,incorrect,griffon,0,0.0,incorrect
['maddy'],emma,0,0.44,incorrect,sarah,0,0.2,incorrect,sarah,0,0.2,incorrect
['maddy'],sarah,0,0.2,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['maddy'],alex,0,0.22,incorrect,alex,0,0.22,incorrect,alex,0,0.22,incorrect
['brad'],rex,0,0.29,incorrect,faith,0,0.22,incorrect,faith,0,0.22,incorrect
['brad'],alex,0,0.25,incorrect,joe,0,0.0,incorrect,joe,0,0.0,incorrect
['brad'],mark,0,0.25,incorrect,unknown,0,0.0,incorrect,unknown,0,0.0,incorrect
['brad'],emma,0,0.25,incorrect,guys,0,0.0,incorrect,guys,0,0.0,incorrect
['lutsen'],yosemite,0,0.29,incorrect,october,0,0.31,incorrect,october,0,0.31,incorrect
['brad'],john,0,0.0,incorrect,pitch,0,0.0,incorrect,pitch,0,0.0,incorrect
['brad'],chris,0,0.22,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect
['brad'],alex,0,0.25,incorrect,me,0,0.0,incorrect,me,0,0.0,incorrect
['brad'],<output>maybe dr. phil had a point.,0,0.21,incorrect,pan,0,0.29,incorrect,pan,0,0.29,incorrect
['maddy'],google,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['maddy'],emma,0,0.44,incorrect,hawaii,0,0.18,incorrect,hawaii,0,0.18,incorrect
['emma'],michael,0,0.36,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['brad'],emma,0,0.25,incorrect,devon,0,0.22,incorrect,devon,0,0.22,incorrect
['brad'],emma,0,0.25,incorrect,look,0,0.0,incorrect,look,0,0.0,incorrect
['maddy'],alex,0,0.22,incorrect,james,0,0.2,incorrect,james,0,0.2,incorrect
['maddy'],emily,0,0.4,incorrect,bill,0,0.0,incorrect,bill,0,0.0,incorrect
['maddy'],sarah,0,0.2,incorrect,my,0,0.57,incorrect,my,0,0.57,incorrect
['amber'],sarah,0,0.4,incorrect,florida,0,0.17,incorrect,florida,0,0.17,incorrect
['maddy'],alex,0,0.22,incorrect,mary,0,0.67,incorrect,mary,0,0.67,incorrect
['maddy'],dad,0,0.5,incorrect,mom,0,0.25,incorrect,mom,0,0.25,incorrect
['muse'],goddess,0,0.18,incorrect,angel,0,0.22,incorrect,angel,0,0.22,incorrect
['maddy'],emma,0,0.44,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['maddy'],james,0,0.2,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect
['maddy'],alex,0,0.22,incorrect,atlanta,0,0.17,incorrect,atlanta,0,0.17,incorrect
['brad'],george,0,0.2,incorrect,reddit,0,0.4,incorrect,reddit,0,0.4,incorrect
['maddy'],alex,0,0.22,incorrect,michael,0,0.33,incorrect,michael,0,0.33,incorrect
['emma'],emily,0,0.44,incorrect,emma,1,1.0,correct,emma,1,1.0,correct
['alex'],ryan,0,0.25,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['sarah'],susan,0,0.4,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['mcdonald'],flowers,0,0.13,incorrect,led,0,0.36,incorrect,led,0,0.36,incorrect
['maddy'],sarah,0,0.2,incorrect,sarah,0,0.2,incorrect,sarah,0,0.2,incorrect
['emma'],maria,0,0.44,incorrect,maria,0,0.44,incorrect,maria,0,0.44,incorrect
['maddy'],emma,0,0.44,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
