Single_ent,en_masked,en_masked_shuffled
['adela'],"“I’m [MASK],” she said. She had an eye patch and blond hair the same color and texture as hay. “I’m the Vice Secretary.”","and Vice blond said. had “I’m She color hair Secretary.” “I’m she the hay. same as an texture patch and [MASK],” eye the"
['adela'],"“The Wellness team think their adjustment will be negatively impacted if they’re held on the wards any longer,” said [MASK], dry as a filing system.","a team system. Wellness any they’re on dry negatively be will filing as “The their impacted adjustment if longer,” [MASK], held think the said wards"
['graham gore'],"[MASK] (Commander, Royal Navy; c.1809–c.1847) had been in the twenty-first century for five weeks, though, like the other expats, he’d been lucid for only a handful of those days. The extraction process had merited a fortnight of hospitalization. Two of the original seven expats had died because of it, and only five remained. He’d been treated for pneumonia, for severe frostbite, for the early stages of scurvy, and two broken toes on which he had been blithely walking. Lacerations too, from a Taser—he’d shot at two of the team members who’d come to expatriate him, and a third was forced to fire.","handful had had shot only century Lacerations fortnight Taser—he’d been [MASK] a of the been been Two frostbite, of a for pneumonia, two to for process severe team c.1809–c.1847) of those and been for of original treated it, days. to from he’d members too, Royal which blithely the a remained. for lucid (Commander, merited and scurvy, only two expatriate for extraction though, died five had in of the a he expats at expats, toes forced five come him, weeks, fire. Navy; the and seven The walking. who’d of had hospitalization. other like on because He’d third the was early broken twenty-first stages"
['gore'],"The house that the Ministry had provided was a late-Victorian redbrick, originally designed for local workers. [MASK] would have seen them built, if he’d lived into his eighties. As it was, he was thirty-seven years old and had not experienced crinolines, A Tale of Two Cities, or the enfranchisement of the working classes.","local classes. he’d would built, lived late-Victorian if As Two or not thirty-seven was, designed that [MASK] was the had and had the eighties. originally workers. have he for provided redbrick, Cities, experienced of of them was into Ministry A crinolines, The house working seen enfranchisement his the old it a years Tale"
['mm'],"“[MASK]. Beside your elbow is a white box with a handle. It’s a refrigerator—a fridge, we call it. Could you open the door and take out the milk, please?”","a your “[MASK]. out open Beside handle. the the take with white elbow It’s a box Could it. call a is you door and milk, please?” fridge, refrigerator—a we"
['gore'],"[MASK] was already fully dressed and sitting on the edge of the bath, smoking. The bottom of the bath had a low-tide mark of cigarette ash and soap scum. Two cigarettes were crushed out in the soap dish.","the already Two dish. and ash and edge fully had cigarettes crushed dressed the were mark of [MASK] a scum. the smoking. soap in cigarette of bottom The on bath was of sitting bath, out soap the low-tide"
['gore'],"All this was to come. On that first morning, there was [MASK] chain-smoking and a bleeding water-supply line. The toilet’s cistern lay on the floor, gleaming like a slain whale. A vile smell was seeping up from the floor.","the a there toilet’s this The up chain-smoking was that line. On on and was the [MASK] cistern floor, gleaming smell a like to A first vile come. lay floor. bleeding was water-supply seeping from All whale. morning, slain"
['gore'],"[MASK] was an officer from the dusk of the Age of Sail, not an engineer. I’m sure he knew plenty about ship’s rigging, but he’d probably never handled an instrument more technologically complex than a sextant. Men in their right minds are not usually overcome with a mania for pulling the plumbing apart. I suggested he might like to wash his hands at the sink downstairs, and I could, perhaps, call a plumber, and we could, potentially, take a constitutional walk on the nearby heath.","right technologically take call suggested a plumbing hands the he’d complex of but about for dusk could, never I of plumber, a rigging, the sextant. a might nearby his sink usually I potentially, and on their sure constitutional in probably handled instrument apart. could, an at from mania Men more ship’s the walk I’m we Age he are a perhaps, engineer. minds officer knew plenty to with he [MASK] Sail, wash like the downstairs, the and not not was overcome pulling an an heath. than"
['gore'],"The more I got to know him, the more I discovered [MASK] was the most entirely realized person I’d ever met. In his own time, he had liked hunting, sketching, flute playing (he was very good at this), and the company of other people. Hunting was out of the question, and socializing was limited by order of the Ministry. By the end of the first week he was visibly going bonkers with no one but me to talk to.","time, (he person and had no discovered visibly very he was the In this), first entirely got I’d of met. by order talk was me other his hunting, he out but bonkers company going I Ministry. more [MASK] playing of flute week end most more people. the socializing limited to liked good the the and one know was The own was realized the question, sketching, the at I of to was him, of By Hunting with to. ever the"
['gore'],"[MASK] was internally displaced in this way. I could sometimes see him regarding the modern world as if through a telescope. He stood forever on the deck of a ship somewhere in the early 1800s. He must have done it even in his own era, coming down from the ports to note with alarm that women were wearing their sleeves wide again, that some European country had declared war on another again, while he was months or years away at sea. He told me stories as if he were trying to catch himself in amber. Just like my mother, though I didn’t tell him that.","was even European or stood if had amber. country I regarding coming stories through another wide have were note to I early ship with this that see declared displaced He months somewhere catch the a Just that it wearing alarm their a way. didn’t forever though away sometimes from could in his to trying him He [MASK] ports in in he tell were world while at of the him was telescope. if mother, again, he war that. on the years done internally modern as told on my sleeves me 1800s. deck era, own sea. He like some the again, must women down in as himself"
