Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['mauricio lorry', 'mauricio', 'mr jarvis lorry', 'mr', 'jarvis', 'lorr', 'jarvis lorry', 'jarvis lorr', 'lorry']",tellson's,0,0.31,incorrect,tellson,0,0.36,incorrect,jerry cruncher,0,0.4,incorrect,jerry cruncher,0,0.4,incorrect,tellson,0,0.36,incorrect,madame defarge,0,0.29,incorrect,tellson,0,0.36,incorrect,tellson,0,0.36,incorrect,ttelsn bainksn,0,0.3,incorrect,bainksn,0,0.46,incorrect,tellson,0,0.36,incorrect,tellson,0,0.36,incorrect,tellson,0,0.36,incorrect,jerry cruncher,0,0.4,incorrect,madame defarge,0,0.29,incorrect,tellson,0,0.36,incorrect,bainksn,0,0.46,incorrect,tellson,0,0.36,incorrect
"['mr', 'mr lorry', 'lorry']",dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,thomas dover,0,0.4,incorrect,jan kemp,0,0.2,incorrect,jan kemp,0,0.2,incorrect,dover,0,0.4,incorrect,te arikinui ariiriki,0,0.29,incorrect,dmn,0,0.4,incorrect,gel /,0,0.2,incorrect,dover,0,0.4,incorrect,god,0,0.25,incorrect,dover,0,0.4,incorrect,thomas dover,0,0.4,incorrect,jan kemp,0,0.2,incorrect,te arikinui ariiriki,0,0.29,incorrect,gel /,0,0.2,incorrect,god,0,0.25,incorrect
"['manette', 'miss', 'miss manette']",thomas,0,0.4,incorrect,matante,0,0.71,correct,donald trump,0,0.21,incorrect,amaka igwe,0,0.35,incorrect,samora machel,0,0.4,incorrect,mathibelle,0,0.47,incorrect,te ariki,0,0.27,incorrect,te ariki,0,0.27,incorrect,big brdr,0,0.2,incorrect,besii,0,0.22,incorrect,andriamanelo,0,0.42,incorrect,andriamanelo,0,0.42,incorrect,matante,0,0.71,correct,amaka igwe,0,0.35,incorrect,mathibelle,0,0.47,incorrect,te ariki,0,0.27,incorrect,besii,0,0.22,incorrect,andriamanelo,0,0.42,incorrect
"['mr', 'mr lorry', 'lorry']",scrooge,0,0.27,incorrect,bona,0,0.22,incorrect,usain bolt,0,0.22,incorrect,atlantic,0,0.15,incorrect,thabo mooketsi,0,0.18,incorrect,thomas edison,0,0.29,incorrect,james cook,0,0.33,incorrect,te avaiki,0,0.12,incorrect,ttlmain,0,0.22,incorrect,ttlmain,0,0.22,incorrect,jean-jacques rousseau,0,0.14,incorrect,antananarivo,0,0.2,incorrect,bona,0,0.22,incorrect,atlantic,0,0.15,incorrect,thomas edison,0,0.29,incorrect,te avaiki,0,0.12,incorrect,ttlmain,0,0.22,incorrect,antananarivo,0,0.2,incorrect
"['mr', 'mr lorry', 'lorry']",matete,0,0.25,incorrect,na,0,0.0,incorrect,ati,0,0.0,incorrect,ati,0,0.0,incorrect,lebogang,0,0.31,incorrect,lebogang,0,0.31,incorrect,te ariki,0,0.25,incorrect,te ariki,0,0.25,incorrect,billii,0,0.18,incorrect,bainkr,0,0.25,incorrect,paris,0,0.29,incorrect,banky,0,0.2,incorrect,na,0,0.0,incorrect,ati,0,0.0,incorrect,lebogang,0,0.31,incorrect,te ariki,0,0.25,incorrect,bainkr,0,0.25,incorrect,banky,0,0.2,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",charles dickens,0,0.34,incorrect,queen victoria,0,0.5,incorrect,yves saint laurent,0,0.38,incorrect,george,0,0.62,incorrect,sam dithapelo,0,0.46,incorrect,lebogang phalatse,0,0.39,incorrect,michelle yeoh,0,0.3,incorrect,jacques chirac,0,0.3,incorrect,elizabeth,0,0.38,incorrect,ttuuthpiksn,0,0.24,incorrect,charles babbage,0,0.41,incorrect,charles darwin,0,0.43,incorrect,queen victoria,0,0.5,incorrect,george,0,0.62,incorrect,lebogang phalatse,0,0.39,incorrect,jacques chirac,0,0.3,incorrect,ttuuthpiksn,0,0.24,incorrect,charles darwin,0,0.43,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",israel,0,0.5,incorrect,jesus,0,0.18,incorrect,paul,0,0.22,incorrect,thomas,0,0.36,incorrect,botswana,0,0.43,incorrect,sekelese,0,0.36,incorrect,charles,0,0.43,incorrect,te ariki,0,0.4,incorrect,jkhn,0,0.2,incorrect,ttuuthpis,0,0.13,incorrect,antarctica,0,0.38,incorrect,andriamanelo,0,0.56,incorrect,jesus,0,0.18,incorrect,thomas,0,0.36,incorrect,sekelese,0,0.36,incorrect,te ariki,0,0.4,incorrect,ttuuthpis,0,0.13,incorrect,andriamanelo,0,0.56,incorrect
"['monsieur defarge', 'monsieur', 'defarge', 'mösyö defarge', 'mösyö']",matante,0,0.4,incorrect,matante,0,0.4,incorrect,john,0,0.33,incorrect,marie curie,0,0.53,incorrect,sechele,0,0.35,incorrect,matlho,0,0.36,incorrect,robert louis stevenson,0,0.32,incorrect,te ariki,0,0.4,incorrect,baabuu gaanesvr,0,0.27,incorrect,shrdaa,0,0.36,incorrect,antananarivo,0,0.21,incorrect,antananarivo,0,0.21,incorrect,matante,0,0.4,incorrect,marie curie,0,0.53,incorrect,matlho,0,0.36,incorrect,te ariki,0,0.4,incorrect,shrdaa,0,0.36,incorrect,antananarivo,0,0.21,incorrect
['defarge'],robert sobukwe,0,0.29,incorrect,matante,0,0.29,incorrect,lucifer,0,0.29,incorrect,lucifer,0,0.29,incorrect,edward edward lebopo,0,0.37,incorrect,long tlwaelegang,0,0.26,incorrect,faust,0,0.33,incorrect,devil,0,0.33,incorrect,shaitaan,0,0.13,incorrect,shaitaan,0,0.13,incorrect,antananarivo,0,0.21,incorrect,jesus,0,0.17,incorrect,matante,0,0.29,incorrect,lucifer,0,0.29,incorrect,long tlwaelegang,0,0.26,incorrect,devil,0,0.33,incorrect,shaitaan,0,0.13,incorrect,jesus,0,0.17,incorrect
"['mr', 'mr lorry', 'lorry']",lebogang phiri,0,0.32,incorrect,charles nqakula,0,0.26,incorrect,billie eilish,0,0.19,incorrect,wellesley,0,0.29,incorrect,phumula,0,0.27,incorrect,lebogang mojapelo,0,0.24,incorrect,te ari'ari'a,0,0.3,incorrect,terre,0,0.4,incorrect,birsemngkr,0,0.33,incorrect,baaburaam bhttttraaii,0,0.21,incorrect,antananarivo,0,0.2,incorrect,jean laborde,0,0.4,incorrect,charles nqakula,0,0.26,incorrect,wellesley,0,0.29,incorrect,lebogang mojapelo,0,0.24,incorrect,terre,0,0.4,incorrect,baaburaam bhttttraaii,0,0.21,incorrect,jean laborde,0,0.4,incorrect
