Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",paris hilton,0,0.5,incorrect,brad pitt,0,0.29,incorrect,ali,0,0.44,incorrect,istanbul,0,0.31,incorrect,pham van toan,0,0.24,incorrect,thien lung,0,0.4,incorrect,lucia,0,0.36,incorrect,lucia,0,0.36,incorrect,brad pitt,0,0.29,incorrect,istanbul,0,0.31,incorrect,thien lung,0,0.4,incorrect,lucia,0,0.36,incorrect
"['chuck', 'chuck parson', 'parson']",barry bonds,0,0.47,incorrect,ben johnson,0,0.35,incorrect,arnold schwarzenegger,0,0.3,incorrect,ali ihsan soydamar,0,0.27,incorrect,jack,0,0.44,incorrect,nguyen van toan,0,0.37,incorrect,lobo,0,0.2,incorrect,marion jones,0,0.44,incorrect,ben johnson,0,0.35,incorrect,ali ihsan soydamar,0,0.27,incorrect,nguyen van toan,0,0.37,incorrect,marion jones,0,0.44,incorrect
['chuck'],chip,0,0.44,incorrect,john,0,0.22,incorrect,ismet inonu,0,0.12,incorrect,italya,0,0.0,incorrect,tran dai quang,0,0.11,incorrect,pham van donh,0,0.11,incorrect,el guaymi,0,0.14,incorrect,carlos fonseca,0,0.21,incorrect,john,0,0.22,incorrect,italya,0,0.0,incorrect,pham van donh,0,0.11,incorrect,carlos fonseca,0,0.21,incorrect
"['chuc', 'chuck']",prom,0,0.0,incorrect,life,0,0.0,incorrect,ipek,0,0.22,incorrect,hicbir o,0,0.33,incorrect,tran quoc tuan,0,0.22,incorrect,nguyen du,0,0.15,incorrect,carlos,0,0.2,incorrect,alfonso,0,0.0,incorrect,life,0,0.0,incorrect,hicbir o,0,0.33,incorrect,nguyen du,0,0.15,incorrect,alfonso,0,0.0,incorrect
['angela'],veronica,0,0.29,incorrect,santa claus,0,0.47,incorrect,dostum,0,0.0,incorrect,david,0,0.18,incorrect,pham van dong,0,0.32,incorrect,noel rooney,0,0.35,incorrect,julio,0,0.18,incorrect,clausulas,0,0.4,incorrect,santa claus,0,0.47,incorrect,david,0,0.18,incorrect,noel rooney,0,0.35,incorrect,clausulas,0,0.4,incorrect
['margo'],not provided,0,0.24,incorrect,harold,0,0.55,incorrect,haydn,0,0.2,incorrect,minim,0,0.2,incorrect,pham linh,0,0.14,incorrect,pham linh,0,0.14,incorrect,carlos ruiz zafon,0,0.27,incorrect,carlos,0,0.55,incorrect,harold,0,0.55,incorrect,minim,0,0.2,incorrect,pham linh,0,0.14,incorrect,carlos,0,0.55,incorrect
['margo'],steve rogers,0,0.24,incorrect,dad,0,0.25,incorrect,omer,0,0.44,incorrect,cok,0,0.25,incorrect,pham van donh,0,0.33,incorrect,thien duong,0,0.12,incorrect,don benito,0,0.13,incorrect,carlos,0,0.55,incorrect,dad,0,0.25,incorrect,cok,0,0.25,incorrect,thien duong,0,0.12,incorrect,carlos,0,0.55,incorrect
"['margo', 'margo—']",becky,0,0.0,incorrect,,0,0.25,incorrect,asli,0,0.22,incorrect,emine,0,0.2,incorrect,pham van chanh,0,0.21,incorrect,long do,0,0.33,incorrect,carlos,0,0.55,incorrect,manana,0,0.36,incorrect,,0,0.25,incorrect,emine,0,0.2,incorrect,long do,0,0.33,incorrect,manana,0,0.36,incorrect
['margo'],jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,monticello,0,0.27,incorrect,elroy,0,0.4,incorrect,la casa blanca,0,0.11,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,monticello,0,0.27,incorrect,la casa blanca,0,0.11,incorrect
['margo'],esther,0,0.18,incorrect,william shakespeare,0,0.25,incorrect,charles,0,0.33,incorrect,universite,0,0.13,incorrect,dinh the khang,0,0.21,incorrect,phan ke bi,0,0.13,incorrect,el doctor,0,0.14,incorrect,antonio banderas,0,0.19,incorrect,william shakespeare,0,0.25,incorrect,universite,0,0.13,incorrect,phan ke bi,0,0.13,incorrect,antonio banderas,0,0.19,incorrect
